date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
24.11.22.금,"쿠폰 선물받은거 쓴건데, 닭이 작다ㅠ 추세가 그러니 어쩔수 없지만..슬프당."
24.7.17.수,여기는 집에서 가까워서 좋긴한데 약간 탄맛같은게 느껴져요
24.4.16.화,반응 남기기 방문일 24.4.16.화 2024년 4월 16일 화요일 1번째 방문 인증 수단 영수증
24.4.16.화,반응 남기기 방문일 24.4.16.화 2024년 4월 16일 화요일 1번째 방문 인증 수단 영수증
24.2.23.금,황금올리브가 다른지점보다 말라있고 촉촉하지 못하고 뻑뻑해요 다른 싼대서 사먹는게 나았을거 같아요 황금올리브와 너무 다르네요 다른지점꺼 드셔보시고 개선하셨음 합니다
23.10.20.금,포장해서 먹었는데 맛있어여
23.9.21.목,배달원이 실수하셔서 잘못배달한건 그렇다쳐도 먹다가 머리카락이 두번이 나오고 닭다리는 무슨 살하나도 없이 튀김옷만 있는걸 주셨네요. 정말 실망스럽고 다음번엔 안시켜 먹을것 같습니다.
23.6.24.토,포장주문 했는데 빠르고 친절하세요
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 1번째 방문 인증 수단 영수증
23.8.2.수,반응 남기기 방문일 23.8.2.수 2023년 8월 2일 수요일 1번째 방문 인증 수단 결제내역
23.2.8.수,맛있게 잘 먹었습니다
23.3.29.수,반응 남기기 방문일 23.3.29.수 2023년 3월 29일 수요일 5번째 방문 인증 수단 영수증
22.10.20.목,맛있어요 사장님 친절하심
22.12.4.일,반응 남기기 1 명 방문일 22.12.4.일 2022년 12월 4일 일요일 1번째 방문 인증 수단 영수증
23.2.13.월,반응 남기기 방문일 23.2.13.월 2023년 2월 13일 월요일 2번째 방문 인증 수단 영수증
22.12.25.일,반응 남기기 방문일 22.12.25.일 2022년 12월 25일 일요일 1번째 방문 인증 수단 영수증
23.2.2.목,반응 남기기 방문일 23.2.2.목 2023년 2월 2일 목요일 9번째 방문 인증 수단 영수증
22.10.29.토,반응 남기기 방문일 22.10.29.토 2022년 10월 29일 토요일 1번째 방문 인증 수단 영수증
22.8.3.수,반응 남기기 방문일 22.8.3.수 2022년 8월 3일 수요일 1번째 방문 인증 수단 영수증
22.6.24.금,반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 1번째 방문 인증 수단 영수증
22.8.19.금,반응 남기기 방문일 22.8.19.금 2022년 8월 19일 금요일 8번째 방문 인증 수단 영수증
22.6.18.토,반응 남기기 방문일 22.6.18.토 2022년 6월 18일 토요일 1번째 방문 인증 수단 영수증
22.8.26.금,반응 남기기 방문일 22.8.26.금 2022년 8월 26일 금요일 1번째 방문 인증 수단 영수증
22.7.2.토,반응 남기기 방문일 22.7.2.토 2022년 7월 2일 토요일 7번째 방문 인증 수단 영수증
22.1.22.토,반응 남기기 방문일 22.1.22.토 2022년 1월 22일 토요일 1번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 6번째 방문 인증 수단 영수증
22.2.19.토,반응 남기기 방문일 22.2.19.토 2022년 2월 19일 토요일 2번째 방문 인증 수단 영수증
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 5번째 방문 인증 수단 영수증
22.4.8.금,반응 남기기 방문일 22.4.8.금 2022년 4월 8일 금요일 4번째 방문 인증 수단 영수증
22.1.22.토,반응 남기기 방문일 22.1.22.토 2022년 1월 22일 토요일 2번째 방문 인증 수단 영수증
22.2.24.목,반응 남기기 방문일 22.2.24.목 2022년 2월 24일 목요일 3번째 방문 인증 수단 영수증
21.8.9.월,친절하고 다른곳보다 특별히 맛있어요~
22.1.16.일,반응 남기기 방문일 22.1.16.일 2022년 1월 16일 일요일 2번째 방문 인증 수단 영수증
22.1.9.일,반응 남기기 방문일 22.1.9.일 2022년 1월 9일 일요일 1번째 방문 인증 수단 영수증
21.7.11.일,반응 남기기 방문일 21.7.11.일 2021년 7월 11일 일요일 1번째 방문 인증 수단 영수증
21.2.10.수,반응 남기기 방문일 21.2.10.수 2021년 2월 10일 수요일 1번째 방문 인증 수단 영수증
20.10.3.토,네고왕 할인으로 먹었어요. 메이플은 달짝지근하고 치즈볼이 맛있음
20.10.4.일,반응 남기기 방문일 20.10.4.일 2020년 10월 4일 일요일 1번째 방문 인증 수단 영수증
20.7.24.금,반응 남기기 방문일 20.7.24.금 2020년 7월 24일 금요일 1번째 방문 인증 수단 영수증
20.10.7.수,반응 남기기 방문일 20.10.7.수 2020년 10월 7일 수요일 1번째 방문 인증 수단 영수증
20.5.15.금,황금올리브 한마리로 스트레스 관리
20.2.15.토,치즈뿌린것 먹어보았어요 맛있고 애들도 넘잘먹었어요
18.1.27.토,간편해요 그런데 콜라추가는 메뉴에 없어서 따로 전화했어요 치킨은 맛있습니다
18.2.4.일,주문+배송+맛 좋긴했는데 배달비를 따로 받네요?..
18.1.5.금,우연히 클릭했다 너무 편했어요 배달어플보다 더욱 가까운지점에서 오니까 더 뜨끈한 음식을 먹는다는느낌 많은가맹유치 해서 자주이용하고싶어요
17.12.27.수,아직 배달이 안왓는데 배달완료로 뜨고 이상하네요.....
18.1.22.월,반응 남기기 방문일 18.1.22.월 2018년 1월 22일 월요일 1번째 방문 인증 수단 배달주문
18.1.5.금,반응 남기기 1 명 방문일 18.1.5.금 2018년 1월 5일 금요일 1번째 방문 인증 수단 배달주문
18.1.31.수,반응 남기기 방문일 18.1.31.수 2018년 1월 31일 수요일 1번째 방문 인증 수단 배달주문
18.2.3.토,40분 걸린다했는데 딱 40분 걸렸네요. 배달비 1000원이 든다는 사실은 처음 알았어요 ㅠㅠ 다른곳도 그런가요?
