date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
9.6.토,아이 간식 포장해서 잘 먹었습니다. 주문 밀려도 준비 빨리 해주시네요
5.22.목,한강공원 가기 위해 포장했는데 친절하게 잘 해 주셨습니다
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 2번째 방문 인증 수단 영수증
24.12.8.일,자주 가는 테이크아웃 단골치킨집
1.17.금,반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 3번째 방문 인증 수단 포장주문
24.11.21.목,종종 시켜먹는 치킨집입니다. 좋아요!.
24.11.1.금,혼자 치킨먹을때 뿌링클 먹으러 가요 포장 굿
24.12.31.화,반응 남기기 방문일 24.12.31.화 2024년 12월 31일 화요일 12번째 방문 인증 수단 영수증
24.7.31.수,역시 맛있네요 골드킹으로 변경해서ㅜ배달로 먹었는데 믿고 먹는 치킨
24.7.13.토,한강 가기 전에 맛초킹!
24.7.25.목,반응 남기기 방문일 24.7.25.목 2024년 7월 25일 목요일 11번째 방문 인증 수단 영수증
24.4.1.월,처음 먹어보는거라 아직 평가를 못하겠네요.
24.1.2.화,동네 치킨집 테이크아웃으로 종종시켜먹어요!
24.1.27.토,맛좋아요 다만 오늘은 양념치킨 양념맛에.. 고추장 맛이 많이 났어요
23.12.30.토,반응 남기기 방문일 23.12.30.토 2023년 12월 30일 토요일 1번째 방문 인증 수단 포장주문
23.11.16.목,BHC 먹을 때 항상 성수역점 이용하는데 실망시킨 적이 없어요 ㅠㅠ 항상 맛있는 집입니다🤍
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 2번째 방문 인증 수단 영수증
23.12.18.월,반응 남기기 방문일 23.12.18.월 2023년 12월 18일 월요일 10번째 방문 인증 수단 영수증
23.11.14.화,반응 남기기 방문일 23.11.14.화 2023년 11월 14일 화요일 9번째 방문 인증 수단 영수증
23.11.5.일,반응 남기기 방문일 23.11.5.일 2023년 11월 5일 일요일 8번째 방문 인증 수단 영수증
23.11.17.금,반응 남기기 방문일 23.11.17.금 2023년 11월 17일 금요일 1번째 방문 인증 수단 영수증
23.10.21.토,반응 남기기 방문일 23.10.21.토 2023년 10월 21일 토요일 7번째 방문 인증 수단 영수증
23.9.2.토,반응 남기기 방문일 23.9.2.토 2023년 9월 2일 토요일 6번째 방문 인증 수단 영수증
23.7.28.금,반응 남기기 방문일 23.7.28.금 2023년 7월 28일 금요일 4번째 방문 인증 수단 영수증
23.7.1.토,반응 남기기 방문일 23.7.1.토 2023년 7월 1일 토요일 1번째 방문 인증 수단 결제내역
23.8.29.화,반응 남기기 방문일 23.8.29.화 2023년 8월 29일 화요일 5번째 방문 인증 수단 영수증
23.6.12.월,반응 남기기 방문일 23.6.12.월 2023년 6월 12일 월요일 1번째 방문 인증 수단 영수증
23.5.21.일,반응 남기기 방문일 23.5.21.일 2023년 5월 21일 일요일 1번째 방문 인증 수단 영수증
23.6.23.금,반응 남기기 방문일 23.6.23.금 2023년 6월 23일 금요일 1번째 방문 인증 수단 영수증
23.7.4.화,반응 남기기 방문일 23.7.4.화 2023년 7월 4일 화요일 3번째 방문 인증 수단 영수증
23.4.16.일,반응 남기기 방문일 23.4.16.일 2023년 4월 16일 일요일 1번째 방문 인증 수단 영수증
23.5.9.화,반응 남기기 방문일 23.5.9.화 2023년 5월 9일 화요일 1번째 방문 인증 수단 결제내역
23.6.7.수,반응 남기기 방문일 23.6.7.수 2023년 6월 7일 수요일 1번째 방문 인증 수단 영수증
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 결제내역
23.2.22.수,아이들이 좋아하는 치킨이에요
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 1번째 방문 인증 수단 영수증
22.9.20.화,네이버에서 바로구입할수 있는지 이제야 알았네요...언제나 맛납니다^^
22.12.4.일,아이들이 요즘 여기껏만먹어요
22.8.21.일,반응 남기기 방문일 22.8.21.일 2022년 8월 21일 일요일 1번째 방문 인증 수단 영수증
23.1.22.일,반응 남기기 방문일 23.1.22.일 2023년 1월 22일 일요일 1번째 방문 인증 수단 영수증
22.10.9.일,반응 남기기 방문일 22.10.9.일 2022년 10월 9일 일요일 2번째 방문 인증 수단 영수증
22.7.17.일,배달 빠르고 맛있어요
22.5.15.일,뿌링클 맛있어요 아이들이 좋아해요
22.5.15.일,쿠폰 주문하기 편하고 친절해요
22.8.10.수,반응 남기기 방문일 22.8.10.수 2022년 8월 10일 수요일 2번째 방문 인증 수단 영수증
22.8.19.금,반응 남기기 방문일 22.8.19.금 2022년 8월 19일 금요일 1번째 방문 인증 수단 영수증
22.8.18.목,역시 뿌링클은 최고
22.7.19.화,반응 남기기 방문일 22.7.19.화 2022년 7월 19일 화요일 1번째 방문 인증 수단 영수증
22.7.9.토,반응 남기기 방문일 22.7.9.토 2022년 7월 9일 토요일 1번째 방문 인증 수단 영수증
22.9.30.금,반응 남기기 방문일 22.9.30.금 2022년 9월 30일 금요일 1번째 방문 인증 수단 영수증
21.12.20.월,뿌링클 가루도 많이 주시고 맛있었어요!!다음에도 또 주문할께요!!!역시 뿌링클 !!
22.5.3.화,반응 남기기 방문일 22.5.3.화 2022년 5월 3일 화요일 1번째 방문 인증 수단 영수증
22.2.12.토,눅눅하지 않고 바삭바삭 따듯해서 너무 맛있었어요~
21.12.24.금,순살 쁘링클 먹었는데 순살의 살이 다 뻑뻑살이더라고요. 쁘링클은 제맛은 아니였어요. 롯데리아 양념감자맛ㅋㅋㅋ
22.7.5.화,반응 남기기 방문일 22.7.5.화 2022년 7월 5일 화요일 1번째 방문 인증 수단 영수증
22.2.14.월,반응 남기기 방문일 22.2.14.월 2022년 2월 14일 월요일 1번째 방문 인증 수단 배달주문
22.2.8.화,반응 남기기 방문일 22.2.8.화 2022년 2월 8일 화요일 1번째 방문 인증 수단 영수증
21.9.4.토,포장하면 할인은안해주네요ㅠ 커리치킨맛나요
21.10.5.화,사장님 친절하시고 또 올게요
21.8.31.화,다른 어느 지점보다 맛있습니다!
22.3.16.수,반응 남기기 방문일 22.3.16.수 2022년 3월 16일 수요일 1번째 방문 인증 수단 영수증
21.12.19.일,반응 남기기 방문일 21.12.19.일 2021년 12월 19일 일요일 3번째 방문 인증 수단 영수증
21.11.14.일,반응 남기기 방문일 21.11.14.일 2021년 11월 14일 일요일 2번째 방문 인증 수단 영수증
21.11.4.목,반응 남기기 방문일 21.11.4.목 2021년 11월 4일 목요일 1번째 방문 인증 수단 영수증
21.6.30.수,뿌링멘보샤 너무 맛있어요ㅎㅎ 치킨은 쏘소합니다...
21.6.30.수,골드킹 존맛. 또먹고싶당. 직원도 친절함
21.7.19.월,항상 빠른 배달
21.7.4.일,네이버 간편주문하기로 시킬땐 배달비 안나왔는데 배달와서 배달비 달라고하네요. 주문할때 같이 결제하게 해주세요
21.9.12.일,반응 남기기 방문일 21.9.12.일 2021년 9월 12일 일요일 1번째 방문 인증 수단 영수증
21.4.19.월,반응 남기기 방문일 21.4.19.월 2021년 4월 19일 월요일 6번째 방문 인증 수단 배달주문
