date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
10.12.일,버거앤타코 비프치즈핫 버거 넘 맛있어요!! 버거 번이 퐁신퐁신 맛있고 패티도 짱맛~ 매콤한소스 들어있어서 느끼하지않게 먹을수 있어서 넘 좋습니다!!
8.24.일,"남편이 맛있는 햄버거 가게 찾았다고해서 따라와 봤는데요! 2인 세트 (햄버거 2개, 감튀, 음료2잔, 타코 2개 까지) 가성비도 좋고 특히 햄버거 빵이랑 타코가 진챠 맛있습니다!! 재료도 다 신선한 느낌스~ 매장 내 테이블은 4인석 2개, 2인석 2개 밖에 없어서 조금 좁긴한데, 깔끔하고 인테리어도 예뻐요!! 자주 올 듯합니다."
10.2.목,패티가 두툼한게 맛있네요 감자튀김도 굳! 회사근처라 자주올거같아요!
9.7.일,가격이 착한데 맛은 엄청나요!! 햄버거도 맛있고 타코도 맛있어요!! 감자튀김도 바로 튀겨서 바삭하고 따뜻해요!! 집앞이라 자주 올게요🤤
9.23.화,"성수에서 러닝하고 집에가는길에 포장했어요. 주문 즉시 만들어져서 따뜻하고 신선한 품질에서의 맛을 느낄 수 있어요. 작짐나 안쪽에 앉아서 먹을 수 있는 공간도 있고, 사장님이 친절해요. 1인 세트로 비프 오리지널과 치킨 타코, 비프 타코 먹었는데 가격대비 맛있어요. 성수 버거 앤 타코 맛집이에요 👍"
6.10.화,무한리필행사때 목젖 바로 밑까지 먹고 나가다가 옆테이블에서 '비프치즈매니아가 맛있다' 소리가 맘에 걸려 옹인 기흥에서 자전거 2시간 타고 또 왔어요.  생일 주간이라 500원 FLex해서 버터 토스팅 멜트번으로 변경했구요. 다이어트를 생각해서 감튀말고 타코를 추가햇어요(+2900원)  유명 수제버거집보다 저렴하지믄 맛은 그렇게 크게 차이가 안나는 게 가장 큰 장점이구요. 타코도 같이 맛볼수 있는 건 세컨드 장점입니다. 탄산도 1회리필 가능하니 저처럼 분량조절말고 쭉쭉 드세요  네거티브요소는 매장공간 협소 인테리어 평범한 것인데 성수동에 놀러오신분들보다는 직장인. 거주인에겐 오히려 조아 세컨드는 타코의 살사소쓰가 양파 토마토 고추다진것이 아닌 시판 액상살사라는 점.(그래서 2900원이라 이해감
10.19.일,다양하고 맛았는 타코를 가성비 있게 즐길 수 있어요
8.12.화,야근때 종종 옵니다 언제나 신선하고 맛나요
