date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
7.10.목,사장님의 기억력에 매번 감탄하며... 가성비 최고! 맛도 최고!
3.29.토,커피냄새가 좋고 가성비도 좋고 친절해요 음료도 맛있어요
24.9.30.월,가격도 너무 저렴하고 성수동에서 오래된 커피 맛집인것 같아요 재방문의사 100프로입니다
24.12.18.수,가격이 저렴한데 맛있어요~ 그리고 친절하세요^^
24.12.23.월,반응 남기기 방문일 24.12.23.월 2024년 12월 23일 월요일 25번째 방문 인증 수단 결제내역
24.12.20.금,반응 남기기 방문일 24.12.20.금 2024년 12월 20일 금요일 23번째 방문 인증 수단 결제내역
24.11.29.금,오곡라떼 엄청 찐~~~~하고 맛있어요. 미숫가루도 맛있규
24.11.19.화,아이스라떼 오곡라떼 미숫가루 맛있오요 따봉
24.11.22.금,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.11.22.금 2024년 11월 22일 금요일 17번째 방문 인증 수단 결제내역
24.11.14.목,사장님 짱 친절 그자체!
24.11.30.토,반응 남기기 방문일 24.11.30.토 2024년 11월 30일 토요일 22번째 방문 인증 수단 결제내역
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 14번째 방문 인증 수단 결제내역
24.11.26.화,반응 남기기 방문일 24.11.26.화 2024년 11월 26일 화요일 20번째 방문 인증 수단 결제내역
24.11.25.월,반응 남기기 방문일 24.11.25.월 2024년 11월 25일 월요일 19번째 방문 인증 수단 결제내역
24.11.23.토,반응 남기기 방문일 24.11.23.토 2024년 11월 23일 토요일 18번째 방문 인증 수단 결제내역
24.11.18.월,반응 남기기 방문일 24.11.18.월 2024년 11월 18일 월요일 15번째 방문 인증 수단 결제내역
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 12번째 방문 인증 수단 결제내역
24.11.4.월,반응 남기기 방문일 24.11.4.월 2024년 11월 4일 월요일 10번째 방문 인증 수단 결제내역
24.10.31.목,반응 남기기 방문일 24.10.31.목 2024년 10월 31일 목요일 9번째 방문 인증 수단 결제내역
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 11번째 방문 인증 수단 결제내역
24.10.28.월,반응 남기기 방문일 24.10.28.월 2024년 10월 28일 월요일 8번째 방문 인증 수단 결제내역
24.10.12.토,반응 남기기 방문일 24.10.12.토 2024년 10월 12일 토요일 3번째 방문 인증 수단 결제내역
24.10.26.토,반응 남기기 방문일 24.10.26.토 2024년 10월 26일 토요일 7번째 방문 인증 수단 결제내역
24.10.23.수,반응 남기기 방문일 24.10.23.수 2024년 10월 23일 수요일 6번째 방문 인증 수단 결제내역
24.10.15.화,반응 남기기 방문일 24.10.15.화 2024년 10월 15일 화요일 4번째 방문 인증 수단 결제내역
24.10.11.금,반응 남기기 방문일 24.10.11.금 2024년 10월 11일 금요일 2번째 방문 인증 수단 결제내역
24.10.16.수,반응 남기기 방문일 24.10.16.수 2024년 10월 16일 수요일 5번째 방문 인증 수단 결제내역
24.10.1.화,반응 남기기 방문일 24.10.1.화 2024년 10월 1일 화요일 1번째 방문 인증 수단 결제내역
24.3.22.금,가성비 테이크아웃 커피숍
23.12.8.금,가성비 좋은 테이크아웃 커피전문점
24.3.12.화,반응 남기기 방문일 24.3.12.화 2024년 3월 12일 화요일 1번째 방문 인증 수단 결제내역
24.5.29.수,반응 남기기 방문일 24.5.29.수 2024년 5월 29일 수요일 376번째 방문 인증 수단 영수증
24.5.28.화,반응 남기기 방문일 24.5.28.화 2024년 5월 28일 화요일 375번째 방문 인증 수단 영수증
24.5.27.월,반응 남기기 방문일 24.5.27.월 2024년 5월 27일 월요일 374번째 방문 인증 수단 영수증
24.1.8.월,반응 남기기 방문일 24.1.8.월 2024년 1월 8일 월요일 1번째 방문 인증 수단 결제내역
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 373번째 방문 인증 수단 영수증
24.5.23.목,반응 남기기 방문일 24.5.23.목 2024년 5월 23일 목요일 372번째 방문 인증 수단 영수증
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 371번째 방문 인증 수단 영수증
23.10.13.금,가성비 넘치는 커피로 점심식사 이후에 오기좋아요!!
24.5.21.화,반응 남기기 방문일 24.5.21.화 2024년 5월 21일 화요일 370번째 방문 인증 수단 영수증
24.5.20.월,반응 남기기 방문일 24.5.20.월 2024년 5월 20일 월요일 369번째 방문 인증 수단 영수증
24.5.17.금,반응 남기기 방문일 24.5.17.금 2024년 5월 17일 금요일 368번째 방문 인증 수단 영수증
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 367번째 방문 인증 수단 영수증
24.5.14.화,반응 남기기 방문일 24.5.14.화 2024년 5월 14일 화요일 366번째 방문 인증 수단 영수증
24.5.13.월,반응 남기기 방문일 24.5.13.월 2024년 5월 13일 월요일 365번째 방문 인증 수단 영수증
24.5.10.금,반응 남기기 방문일 24.5.10.금 2024년 5월 10일 금요일 364번째 방문 인증 수단 영수증
24.5.9.목,반응 남기기 방문일 24.5.9.목 2024년 5월 9일 목요일 363번째 방문 인증 수단 영수증
