date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
24.10.11.금,퍼윅에서 새로 오픈한 룸템퍼레이쳐🤍 너무너무너무 맘에 들어요! 인테리어도 예쁘고 지금 딱 야외공간도 즐길 수 있고 무엇보다 친절하셔서 기분 좋아져요🥰 팬케이크도 대박 맛있더라구요🥞🫐
24.7.13.토,"요즘 성수동에서 괜찮은 와인바 찾기 힘든데 퍼윅은 갈때마다 늘 만족만족대만족! 혼술하기도 좋고 가볍게 글라스와인하기도 좋고 친구, 연인, 부모님 누구와 가도 좋은 공간이에요! 만취하고싶은 와인바💛💛💛"
24.3.13.수,"밥 먹을 곳 찾다가 우연히 들렀어요 공간이 깔끔하고, 조명 빛이 테이블에만 떨어지게끔 디자인하셔서 눈이 피로하지도, 음식이 어둡게 보이지도 않아 좋았어요! 시킨 음식은 글라스 와인이랑 잘 어울려서 좋았습니다 사장님도 친절하고 대화하기에도 편안해서 좋은 저녁식사가 되었습니다~"
24.3.15.금,"와인을 잘 몰라도 설명 및 추천을 세심하게 해주셔서 초보자도 맛있는 와인을 마실 수 있어요! 안주도 맛있지만, 유일한 단점은 화장실이 별로라는 점..."
23.9.6.수,"광고따위 필요없고 진심 나만 알고 싶은 그런 와인바. 요리면 요리 와인이면 와인, 거를 타선 없이 찰떡같음🦕 언제든 혼자라도 올 수 있는 곳"
23.7.6.목,음식도 다 맛있고 사장님도 너무친절하시구 분위기도좋고 매장음악도 너무좋고 친구생일이였는데 좋은시간보내고가요..💖 성수오면 꼭 다시오고싶네용 서비스도 감사합니다🫶🏻 (사장님 배우같으심 멋있는사람보면 당황하는데 당황했어요)
23.6.5.월,"분위기가 좋고 음식도 맛있고, 와인 추천도 잘 해주셔서 자주 방문합니다. 글라스나 하프보틀로도 판매하고 있어서 혼술 하기 좋아요! 너무 시끌벅적하지 않고 편안한 느낌이라 더 좋은 공간입니다✨"
23.6.2.금,오랜만에 재방문했습니다. 오늘은 바틀로 마셨지만 여러가지 글라스와인도 팔고 음식도 맛있네요!! 바질버터파스타👍👍
23.6.1.목,색다른 음식과 다양한 와인이 존재하는 멋진 공간입니다! 바 테이블에서는 혼술하기도 좋아요🙂
23.6.2.금,"바질파스타, 돼지뽈살찜 넘 맛있어요! !"
23.6.7.수,"종종 퇴근길에 혼자 와인 한잔 하러 오는 가게인데, 맘 편하게 하루 정리하기 너무 좋습니다. 혼술, 혼와인, 퇴근길 적적함 달래러 오실 분들에게 추천."
23.4.27.목,크래커랑 올리브 간단한 안주인데도 넘 맛있어요! 와인도 여러가지 추천해주셔서 맛있게 먹었습니다❤️ 분위기도 넘 좋아유!!
23.3.21.화,오랜만에 방문했는데도 기억해주시고 친절하게 말걸어주시는 김래원 닮은 사장님
22.12.9.금,성수동 올때마다 방문하고 있습니다. 분위기가 너무 좋아서 자주 방문하게 되네요. 이번에는 친구랑 같이 갔는데 친구도 마음에 들어하네요(사장님잘생김)
23.2.13.월,사장님이 간지나요 와인 설명도 잘해주시고 친절해요
22.12.24.토,분위기 좋고 조용 하게 시간 보내기 좋아요 연말 모임 했는데 와인과 음식 모두 훌륭했습니다!
22.11.21.월,사장님 정말 친절하시구^^ 메뉴 3개 시켰는데 전부 맛있었어요. 특히 타르타르 감태 조합 너무 맛있어요👍👍👍
22.12.9.금,지나가다 들렸는데 분위기가 너무 좋아요. 와인을 잘 모르는데 사장님이 친절하게 설명해주셨어요. 음식도 맛있네요! 그리고 여기 bgm 맛집*
23.3.6.월,사장님이 추천해주시는 와인먹고 반했습니다!!다음에 또 올게요!!
22.12.10.토,사장님 친절하시고 음식 깔끔하고 맛있습니다. 분위기가 너무 좋아서 혼술도 좋을 것 같고 연말에 사랑하는 사람들과 함께오면 더 좋을 것 같아요.
23.5.20.토,반응 남기기 방문일 23.5.20.토 2023년 5월 20일 토요일 1번째 방문 인증 수단 영수증
23.3.3.금,분위기 좋게 잘 마신곳!!
22.9.24.토,성수동 와인바 중 분위기 끝판왕입니다!  와인 종류도 많고 인테리어 너무 고급져서 자주 이용하게 될것 같아요
22.9.28.수,분위기좋고 다양한 와인 사장님이 친절하게 설명과함께 추천해주셔서 기분좋게 즐기다 왔습니다 느낌있는 와인바 찾으시는 분들께 추천드려요
22.9.27.화,와인바는 처음가보았는데 사장님이 친절하게 하나하나 설명해주시고 추천까지 해주셔서 아주 재밌게 놀다가 갑니다! 다음에 또갈께요!^^
22.10.27.목,반응 남기기 방문일 22.10.27.목 2022년 10월 27일 목요일 1번째 방문 인증 수단 영수증
22.9.25.일,반응 남기기 방문일 22.9.25.일 2022년 9월 25일 일요일 1번째 방문 인증 수단 영수증
