date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
9.25.목,다찌석만 있어서 혼밥하기 좋아요 날씨가 흐릴때 늘 생각나는 밀푀유 나베 갓성비 음식점입니당
9.7.일,아이들이 좋아하는 메뉴라 들어갔는데 가정식마냥 맛있었어요. 조용한 분위기라 혼밥하기 좋을 것 같고 너무 어린 아이들은 (의자 땜에) 안될 것 같아요.
7.29.화,양도 많고 맛있어요 연어킬러에게는 넘 좋은 식사예요..💕
8.12.화,스테이크 덮밥 맛나요
6.29.일,음식은 맛있는데 사장님 손이 너무너무 느리세요ㅠㅠ 12분에 키오스크로 주문했는데 음식 나온 시각은 43분...ㅠㅠ 제가 매장에 들어갔을 때 손님이 6명 정도 앉아 있었는데 음식을 받고 먹고 있는 사람은 아무도 없었어요ㅠ 6명 모두 같은 일행도 아니었는데 말이죠... 아무리 손님들이 몰려서 그렇다 생각하려 해도 음식을 느릿느릿 만드시는 모습을 보니 너무 답답했습니다ㅜ 음식이 늦게 나와 뒤에 예약해둔 일정에도 차질이 있었어요...ㅠㅠ 그래도 맛은 있었습니다...!
6.16.월,"제가 정말 좋아하고 자주 방문하는 맛집이에요! 언제 가도 맛있는 음식과 편안한 분위기 덕분에 행복하게 식사하고 있습니다. 다름이 아니라, 사장님께서 어머님과 함께 운영하시는 것 같은데, 식사 중에 가끔 어머님께 언성을 높이시는 모습을 보면 제 마음이 조금 불편해져요. 저도 집에서 가족과 그럴 때가 있어서 이해는 하지만, 손님 입장에서는 편안하게 식사하는 공간에서 어머니를 혼내는 것 같은 소리가 들리면 아무래도 신경이 쓰이더라고요. 두 분이 서로를 좀 더 아껴주시고 좋은 분위기 속에서 함께 일하시면, 손님들도 더욱 기분 좋게 식사할 수 있을 것 같아요. 작은 부탁이지만 부디 헤아려주시면 감사하겠습니다.❤"
7.18.금,가격도 저렴하고 너무 맛있습니다 혼밥 하기에도 좋아요
5.26.월,양이 엄청 많아요 보글 보글 끓으면서 나오는 김치나베는 처음 먹어봐요~ 덕분에 엄청 뜨거워서 입천장 다 데었어요 ㅠㅠ 다음에는 다른 메뉴 먹어보고 싶어요~ 연어초밥도 맛있어요 🍣
4.14.월,비오는 날 땡겨서 간 나베집! 재료도 신선하고 테이블 형식이라 혼밥하디 좋아요 너무 맛있게 잘 먹었습니다 🤤
5.18.일,가성비가 좋음. 음식맛도 괜찮. 사장님 혼자서 하시는 것 같음. 테이블은 별로 깨끗하지 않아서 좀.
5.13.화,테이블바라서 혼밥하기도 좋고 2인 으로 먹기 좋아요! 일단 1인 구성이 너무 좋아서 직장인들에게 최곱니다
6.9.월,반응 남기기 방문일 6.9.월 2025년 6월 9일 월요일 5번째 방문 인증 수단 영수증
6.27.금,연어 넘 맛나요 🍣
3.24.월,연어덮밥을 이가격에 먹을 수 있다니 가성비 대박 맛도 대박 집 근처에 있으면 자주 먹으러 갈 거 같아요 포장해서 먹기도 좋아보입니다
6.29.일,음식들은 다 진짜 맛있었어요! 다만 사장님 혼자 하시는 것 같은데 음식 나오는 속도가 너무 느렸어요 ㅠㅠ 얼른 먹고 다음 일정도 가야했는데 앉아서 30분을 기다렸어요ㅠ 카드 결제 시간과 나온 시간 보니 진짜 30분 경과했더라고요.. 음식은 정말 맛있게 먹었지만 너무 오래 기다려서 재방문은 안 할 것 같습니다..
4.22.화,"자주 가는 곳인데 리뷰는 처음써보네요...ㅎㅎ 모두 바테이블로 되어있어 혼밥하기 좋아요! 음식도 맛있고 , 메뉴도 다양해요"
5.11.일,반응 남기기 방문일 5.11.일 2025년 5월 11일 일요일 1번째 방문 인증 수단 영수증
3.10.월,반응 남기기 방문일 3.10.월 2025년 3월 10일 월요일 4번째 방문 인증 수단 영수증
2.9.일,안녕하세요~가족들이랑 각자 먹고 싶은 메뉴 시켰는데 잘 먹고 왔어요 담에는 밀푀유나베 1인 메뉴 먹어보고 싶네요~~
24.11.19.화,옆으로 줄지어 앉는 식이라 여럿이 가긴 그렇고 2 인 이하 혼밥하기 좋은 곳. 재료도 신선하고 맛도 깔끔해요.
24.11.18.월,"숨길 수 없는 세 가지. 딱히 숨겨야하는 건 아니었지만. 하고 싶지 않았던 것 중 하나가 기침이었다. 어제즈음부터 칼칼한 목이 신경쓰인다. 목에 좋은 음식을 이래저래 검색해봤지만 딱히 식사로 먹을만한 게 없어보인다. 그나마 젖은 배추는 괜찮지 않을까 싶었다. 따뜻하게 목을 닦아주지 않을까. 그래 싶었다. 배춧잎 한 장 여러겹 썰려 포개어져 나왔다. 내 목을 닦기도 전에 서로를 껴안은 모습에 목이 잠긴다. 끌어안고 태어나 끌어안고 죽고, 내 목을 통과함으로 소명을 다할 배추여. 끌어안을 무언가가 있음에 당신이 부럽다면, 믿을 수 있을까? 안으로 굽은 팔이 안을 수 있는 것은 지친 물안개 뿐이었다."
3.14.금,반응 남기기 방문일 3.14.금 2025년 3월 14일 금요일 1번째 방문 인증 수단 영수증
8.31.일,반응 남기기 방문일 8.31.일 2025년 8월 31일 일요일 1번째 방문 인증 수단 영수증
24.12.26.목,인기있는 김치나베돈까스 ㅎ ㅎ 추울때 딱 좋아
24.9.13.금,"가츠동M 7,900원 치즈돈가츠(사이드) 4,500원 유자 단무지가 정말 맛있어요!!"
