date,content
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
24.9.24.화,아침에 매장 방문했는데 사람이 없어서 걱정했는데 막상 포케 받고나서 먹어보니 채소가 엄청 신선하고 밥도 맛있었습니다! 집 근처에 좋은 포케집 발견해서 넘나리 행복💕 계속 배달 주문이 울리던데 날씨 좋을때 1~2인은 매장와서 드시는걸 추천! 사장님 많이 버세요:)
24.10.21.월,이사가서도 항상 요 찰밥이 먹고싶어서 근처 들렸다 일부러 지하철타고 찾아왔어요~^^ 오늘은 포장보다 매장에서 따끈하게 먹고싶었답니다
24.10.23.수,"이 집은 진짜 찐임. 나만 알고 싶은 집!!! 맛, 양, 가격 모두 완벽하고 건강까지 챙길 수 있음!!! 특히 양을 보면 사장님의 인성을 알 것 같음!!! (사장님 제발 변하지 말아주세요🙏🙏🙏) 최근 가격이 살짝 올랐으나, 재료나 양을 봤을 때 가성비가 좋게 느껴질 정도임. 최근 먹는 음식 중 가장 만족도 높고 매일 먹을 수 있음!!!"
24.7.23.화,오늘은오리훈제 맛있게먹었네요 오리의고소함과 신선한야채~ 맛이게먹었습니다 감사합니다^-^
24.7.19.금,항상맛있게시켜먹고있어요 항상보면 깔끔하고배달도많고 현미찰밥이진짜맛있어요~
24.7.22.월,오리고기 샐러드 포장해서 먹었는데 사장님도 친절하시고 맛도 좋았습니다 😋
23.10.6.금,"드디어 우리동네에도 포케샐러드집이 생기다닛!!! 오리훈제 들어간거 맛있어요 부추랑 같이 먹었는데 조화가 찰떡이라 맛있게 먹었네용 부모님모시고 갔는데 엄마아빠 입맛에도 맞아서 종종 포장해서 먹어야겠어요 바쁘신대도 사장님이 친절하시고 맛, 서비스 만족합니당"
24.2.14.수,대부분 포장배달인듯한데 매장식사가능. 재료 신선하고 다양해서 맛있어서 자주 애용할듯. 오리고기에 부추샐러드 최고
24.1.15.월,금호동 놀러 왔는데 진짜 맛있는 샐러드 집 발견해서 엄청 좋네요 너무 신선해요 저희 동네에도 있으면 좋겠어요!!! ㅜㅜ
23.12.14.목,아가먹을거 없냐고 했더니 파스타 담아주셨어요 항상 맛있게 먹고있는 동네맛집 입니다~^*^!!
23.10.11.수,평소 샐러드 좋아해서 새로 오픈한거 보고 처음 방문해봤는데 사실 별 기대안했거든요 ㅎㄹ 근데 맛있네요 재료도 풍성하고 리코타치즈 진짜 좋아하는데 이렇게 듬뿍 얹어주는곳은 첨이에요~ 가성비 좋아요 남자분들은 양이 작을 수있지만 여자들은 딱이에요 자주 이용할거같아용 맛있더~~~ 담엔 다른 맛 또 먹어볼거에요 아 근데 리코타치즈가 흔히아는 리코타치즈보다 좀 달아요 그래서 먹다보면 약간 생크림 먹는것처럼 느끼한게있어요~ 그것만 아님 더 좋을거같아요 소고기나 닭가슴살 같은 새로운 메뉴도 있음 좋을거같아요
23.10.18.수,샐러드에 현미밥 추가했는데 직접 지은 현미밥이 찰지고 맛있었어요! 야채랑 같이 한 끼 먹으니 든든 ~ 양상추 케일 등등 믹스로 들어있어요 !
23.10.4.수,레드쉬림프랑 훈제유리랑 먹었는데 가게사장님도 힙하시고 가게도 예뻣어요 매운 가루 뿌린 새우랑 양파후레이크랑 바벼먹으니까 진짜맛있어서
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 2번째 방문 인증 수단 영수증
23.10.25.수,배달로 자주 시켜먹는데 직접와서 먹긴 처음ㅠㅠ 새우 오리 연어 3가지 다 먹었봤는데 새우 강추해요 다 맛있는데 전 살짝 매콤한게 갠취저격! 너무 맛있어요요요!! 굿굿
23.10.4.수,추석연휴에 과식해서 다이어트(?)겸 여자친구와 방문해봤는데 가게 분위기 좋았고 메뉴도 다양해서 좋았어요~~ 맛은 제가 먹어본 포케류중에 최고였어요! 번창하시길 :-D
23.9.11.월,훈제오리부추포케 맛있게 잘 먹었어요
23.11.8.수,맛있고 사장님 친절하세요🍒🥰
23.9.5.화,"훈제 먹었습니다. 샐러드, 오리, 현미 기타 등등 재료 하나하나 신선하고 맛있고 조합도 좋습니다. 추천합니다."
23.9.2.토,가게가예뻐서 들어가봤는데... 파스타샐러드가진짜맛있었네요~ 친절하시고~ 인생샐러드~~~ 번창하세여^-^
23.9.2.토,배부리게 잘 먹었습니다!!
23.10.4.수,반응 남기기 1 명 방문일 23.10.4.수 2023년 10월 4일 수요일 1번째 방문 인증 수단 영수증
23.9.5.화,금호동에 이런 맛집이 있는 줄 몰랐어요. 포케가 맛있고 샐러드가 신선해요. 사장님과 직원분도 너무 친절해요.
23.9.21.목,샐러드랑 포케 먹었는데 맛있어요 다만 양이 좀 부족해요..
23.9.2.토,가띠보울 23.9.3.일 🥹 방문해주셔서 감사합니다❤️ 리뷰도 너무 감사합니다 재방문시 리뷰 보여주시면 서비스 드릴게요 또 방문해주세요 ❤️ 접기
