date,content
1.17.금,"가장 편하게 와인을 마실수 있는 와인바 특별한 인테리어 없이 오롯이 음익과 와인마시기 좋음 소규모로 방문하면 대화하기 좋고 7,8명 단체도 예약가능해서 모임하기도 최고 와인추천을 너무 잘해주시기 때문에 꼭 와인추천 받아서 마셔보면 더 만족 근처에 금남시장이 있어 다양한 음식도 반입이가능 단 세팅비지불!! 음악선곡도 가능해서 좋아하는 음악 맘껏 들을수 있다는것도 최대장점 언제가도 아늑한곳"
23.12.27.수,애정하는 와인바 일주일에 2일은 방문하는거 같네요 안주가 다양하진 않지만 다 와인과 너무 잘 어울리는 메뉴들과 와인 셀렉이 미쳤음 가성비도 최고지만 추천해주는 와인 다 만족해서 와인을 잘 몰라도 편하게 와인을 즐기기 최고의 장소 거기에 음악을 원하는대로 들을수 있는 장점 또한 이집의 장점 소규모 모임하기에도 딱인 곳 애정하는 사람들끼리 어울리기 최고입니다 금호동 최고의 와인바
24.1.16.화,금호동와인가게라니 이런곳이 있는줄 몰랐어요 간판도 아직 광미이발 그대로!!! 근데 진짜 조명이며 노래 분위기가 좋더라구요 와인도 좋은가격이고 안주도 예약할때 미리말하면 맞춰주시더라고요 원래 기본으로 있는메뉴도 좋아요 크림와사비닭구이 진짜 맛있습니다 굴보쌈도 너무 맛있고 아롱사태수육도 쫄깃부들 좋아요  금호동가성비맛집 이라고 생각합니다!! 너무 잘먹었습니다!
24.2.21.수,이집 들어가면 못나와요 거상비 좋은 와인뿐 아니라 원하는 곡을 편하게 듣다보면 점점 기분이 업!!! 과음을 할수 밖에 없는집 좋아하는 사람들과 모여 신나는 음악에 와인을 마시다 보면 이곳만큼 신나는 곳이 없어요!!매번 한두병 예상하고 갔다 매번 만취하게 하는곳이라 더더 즐거워요 작은 와인바가 갖는 아늑함에 취향에 맞는 음악까지 너무 좋아요 와인이 생각날땐 역시 가뱅입니다 꼭 문의하시고 방문하세요^^
23.10.30.월,원래는 예약제로만 운영하는 단골 와인바 11월부터 예약과 함께 워크인도 함께 운영하신다는 소식에 방문 새로운 셰프님이 오셔서 이젠 외부 음식을 먹는 시스템이 아닌 요리 주문 가능업장 알배추샐러드는 식감부터 너무 맛있어서 연신 먹어댐 스타터로 시킨 토마토 발사믹 샐러드도 와인 안주로 너무 좋음 기존의 짜파게티도 있어 역시 마무리는 탄수화물이라면 암지척 음악도 취행껏 선곡이 가능한점이 너무 좋음11/2일 정식오픈한다길래 예약하고옴 여전히 자주 갈 와인바
23.11.22.수,동네에 새로 오픈한곳같길래... 간판은 광미이발인데 술파는곳 같아서 물어봤더니 와인바였군요 동네에서 혼술할곳 없었는데 이런곳이 생겨서 너무 좋습니다 가격도 너무 좋고 분위기가 너무 좋아서 당연히 또 갈 생각입니다 번창하세요
23.8.15.화,합리적인 가격의 와인을 편한 분위기에서 마시기 좋은곳 엄청난 인테리어나 고급스러운 공간이 아니라 동네 아지트 같은 곳에서 편안히 마시는 느낌이라 더 편안함 거기에 음악이 예술 스피커가 음악과 너무 잘 맞아 음악맛집임 외부음식을 합리적인 가격에 먹을수 있어 그점이 너무 매력적 언제나 근처 돼지갈비 집에서 시켰는데 연휴라 휴무 대안으로 은성보쌈 주문 와인과 너무 맛있음 체인 스파게티와 피자도 찰떡
23.12.31.일,바틀샵처럼 구입도 가능해요^^
24.3.28.목,맛난 와인들을 합리적인 가격에 판매하고 음악 좋고 분위기 좋고 대관 모임 하기도 👍
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 7번째 방문 인증 수단 영수증
