date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""상품이 다양해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""품질이 좋아요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""신상품이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""할인/적립을 잘 챙겨줘요""","""할인/적립을 잘 챙겨줘요"""
"""행사 상품이 다양해요""","""행사 상품이 다양해요"""
"""트렌디한 상품이 많아요""","""트렌디한 상품이 많아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""즉석조리 식품이 맛있어요""","""즉석조리 식품이 맛있어요"""
9.20.토,반응 남기기 방문일 9.20.토 2025년 9월 20일 토요일 2번째 방문 인증 수단 영수증
9.17.수,반응 남기기 방문일 9.17.수 2025년 9월 17일 수요일 104번째 방문 인증 수단 영수증
8.22.금,반응 남기기 방문일 8.22.금 2025년 8월 22일 금요일 102번째 방문 인증 수단 영수증
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 156번째 방문 인증 수단 영수증
8.18.월,아이스크림 저렴하게 잘 먹었습니다
8.17.일,반응 남기기 방문일 8.17.일 2025년 8월 17일 일요일 3번째 방문 인증 수단 영수증
8.10.일,반응 남기기 방문일 8.10.일 2025년 8월 10일 일요일 101번째 방문 인증 수단 영수증
8.4.월,반응 남기기 방문일 8.4.월 2025년 8월 4일 월요일 155번째 방문 인증 수단 영수증
7.23.수,반응 남기기 방문일 7.23.수 2025년 7월 23일 수요일 154번째 방문 인증 수단 영수증
7.21.월,상품이 다양해서 좋은데 봉투값 100원은 아깝네요...
7.20.일,반응 남기기 방문일 7.20.일 2025년 7월 20일 일요일 2번째 방문 인증 수단 영수증
7.2.수,반응 남기기 방문일 7.2.수 2025년 7월 2일 수요일 152번째 방문 인증 수단 영수증
6.30.월,반응 남기기 방문일 6.30.월 2025년 6월 30일 월요일 151번째 방문 인증 수단 영수증
6.24.화,반응 남기기 방문일 6.24.화 2025년 6월 24일 화요일 100번째 방문 인증 수단 영수증
6.23.월,반응 남기기 방문일 6.23.월 2025년 6월 23일 월요일 150번째 방문 인증 수단 영수증
6.20.금,반응 남기기 방문일 6.20.금 2025년 6월 20일 금요일 149번째 방문 인증 수단 영수증
6.14.토,반응 남기기 방문일 6.14.토 2025년 6월 14일 토요일 148번째 방문 인증 수단 영수증
6.3.화,반응 남기기 방문일 6.3.화 2025년 6월 3일 화요일 147번째 방문 인증 수단 영수증
5.27.화,반응 남기기 방문일 5.27.화 2025년 5월 27일 화요일 24번째 방문 인증 수단 영수증
5.21.수,반응 남기기 방문일 5.21.수 2025년 5월 21일 수요일 2번째 방문 인증 수단 영수증
5.12.월,반응 남기기 방문일 5.12.월 2025년 5월 12일 월요일 145번째 방문 인증 수단 영수증
5.7.수,반응 남기기 방문일 5.7.수 2025년 5월 7일 수요일 99번째 방문 인증 수단 영수증
5.4.일,반응 남기기 방문일 5.4.일 2025년 5월 4일 일요일 144번째 방문 인증 수단 영수증
4.30.수,반응 남기기 방문일 4.30.수 2025년 4월 30일 수요일 143번째 방문 인증 수단 영수증
4.29.화,반응 남기기 방문일 4.29.화 2025년 4월 29일 화요일 1번째 방문 인증 수단 영수증
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 142번째 방문 인증 수단 영수증
4.23.수,반응 남기기 방문일 4.23.수 2025년 4월 23일 수요일 141번째 방문 인증 수단 영수증
4.21.월,추억의 과자들 먹고플때 종종 가는곳 간식창고
4.18.금,반응 남기기 방문일 4.18.금 2025년 4월 18일 금요일 140번째 방문 인증 수단 영수증
4.16.수,반응 남기기 방문일 4.16.수 2025년 4월 16일 수요일 139번째 방문 인증 수단 영수증
4.14.월,반응 남기기 방문일 4.14.월 2025년 4월 14일 월요일 138번째 방문 인증 수단 영수증
4.13.일,역에서 가깝고 상품도 다양하고 넓어서 좋아요
4.10.목,반응 남기기 방문일 4.10.목 2025년 4월 10일 목요일 137번째 방문 인증 수단 영수증
4.9.수,반응 남기기 방문일 4.9.수 2025년 4월 9일 수요일 98번째 방문 인증 수단 영수증
3.29.토,매장 넓고 깔끔해서 좋아요
3.19.수,반응 남기기 방문일 3.19.수 2025년 3월 19일 수요일 135번째 방문 인증 수단 영수증
3.5.수,반응 남기기 방문일 3.5.수 2025년 3월 5일 수요일 134번째 방문 인증 수단 영수증
2.6.목,반응 남기기 방문일 2.6.목 2025년 2월 6일 목요일 133번째 방문 인증 수단 영수증
2.4.화,반응 남기기 방문일 2.4.화 2025년 2월 4일 화요일 132번째 방문 인증 수단 영수증
1.23.목,서주 쿠로미 먹는건 항상 나야! 😋
1.23.목,반응 남기기 방문일 1.23.목 2025년 1월 23일 목요일 131번째 방문 인증 수단 영수증
1.11.토,집근처 무인점포 소소한 간식거리 짱
1.9.목,반응 남기기 방문일 1.9.목 2025년 1월 9일 목요일 130번째 방문 인증 수단 영수증
24.12.31.화,반응 남기기 방문일 24.12.31.화 2024년 12월 31일 화요일 129번째 방문 인증 수단 영수증
24.12.10.화,반응 남기기 방문일 24.12.10.화 2024년 12월 10일 화요일 95번째 방문 인증 수단 영수증
24.12.3.화,반응 남기기 방문일 24.12.3.화 2024년 12월 3일 화요일 126번째 방문 인증 수단 영수증
24.12.1.일,간식창고 군것질하기 짱 좋은곳
24.11.28.목,반응 남기기 방문일 24.11.28.목 2024년 11월 28일 목요일 93번째 방문 인증 수단 영수증
24.11.19.화,반응 남기기 방문일 24.11.19.화 2024년 11월 19일 화요일 91번째 방문 인증 수단 영수증
24.11.6.수,반응 남기기 방문일 24.11.6.수 2024년 11월 6일 수요일 89번째 방문 인증 수단 영수증
24.11.5.화,저녁먹고 오는길에 꼭 들르는 참새방앗간같은 간식창고 옥수수브이콘 다섯개.야채크래커.체크.부라보콘 일케 샀는데 남표니랑 사이좋게 얼른먹고 또 와야징
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 122번째 방문 인증 수단 영수증
24.11.2.토,반응 남기기 방문일 24.11.2.토 2024년 11월 2일 토요일 1번째 방문 인증 수단 영수증
24.11.1.금,반응 남기기 방문일 24.11.1.금 2024년 11월 1일 금요일 88번째 방문 인증 수단 영수증
24.10.27.일,반응 남기기 방문일 24.10.27.일 2024년 10월 27일 일요일 86번째 방문 인증 수단 영수증
24.10.25.금,반응 남기기 방문일 24.10.25.금 2024년 10월 25일 금요일 2번째 방문 인증 수단 영수증
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 121번째 방문 인증 수단 영수증
24.10.11.금,반응 남기기 방문일 24.10.11.금 2024년 10월 11일 금요일 23번째 방문 인증 수단 영수증
24.10.7.월,반응 남기기 방문일 24.10.7.월 2024년 10월 7일 월요일 1번째 방문 인증 수단 영수증
24.10.3.목,반응 남기기 방문일 24.10.3.목 2024년 10월 3일 목요일 2번째 방문 인증 수단 영수증
24.9.28.토,반응 남기기 방문일 24.9.28.토 2024년 9월 28일 토요일 22번째 방문 인증 수단 영수증
24.9.26.목,반응 남기기 방문일 24.9.26.목 2024년 9월 26일 목요일 3번째 방문 인증 수단 영수증
24.9.25.수,반응 남기기 방문일 24.9.25.수 2024년 9월 25일 수요일 118번째 방문 인증 수단 영수증
24.9.22.일,반응 남기기 방문일 24.9.22.일 2024년 9월 22일 일요일 117번째 방문 인증 수단 영수증
24.9.16.월,반응 남기기 방문일 24.9.16.월 2024년 9월 16일 월요일 116번째 방문 인증 수단 영수증
24.9.15.일,반응 남기기 방문일 24.9.15.일 2024년 9월 15일 일요일 115번째 방문 인증 수단 영수증
24.9.9.월,반응 남기기 방문일 24.9.9.월 2024년 9월 9일 월요일 3번째 방문 인증 수단 영수증
24.9.8.일,반응 남기기 방문일 24.9.8.일 2024년 9월 8일 일요일 1번째 방문 인증 수단 영수증
24.9.7.토,반응 남기기 방문일 24.9.7.토 2024년 9월 7일 토요일 21번째 방문 인증 수단 영수증
24.9.6.금,맛있는 게 많아요
24.9.5.목,반응 남기기 방문일 24.9.5.목 2024년 9월 5일 목요일 19번째 방문 인증 수단 영수증
24.9.4.수,반응 남기기 방문일 24.9.4.수 2024년 9월 4일 수요일 113번째 방문 인증 수단 영수증
24.9.3.화,반응 남기기 방문일 24.9.3.화 2024년 9월 3일 화요일 23번째 방문 인증 수단 영수증
