date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.11.목,"'간지선술집'은 분위기부터 맛까지 완벽한 곳이었어요! 친구와 함께 방문했는데, 어둑하면서도 따뜻한 조명과 편안한 인테리어가 정말 좋았습니다. 입구에 있는 **'99육회본가'**라는 간판이 인상적이었는데, 알고 보니 육회 전문점이었네요.저희는 육회와 닭꼬치를 시켰는데, 두 메뉴 모두 최고였어요. 육회는 신선함이 눈으로 봐도 느껴질 정도로 빛깔이 좋았고, 노른자를 톡 터뜨려 비벼 먹으니 정말 고소하고 부드러웠습니다. 함께 나온 닭꼬치도 숯불 향이 은은하게 나면서 소스가 잘 어우러져서 술안주로 제격이었습니다. 매장 분위기가 너무 좋아서 술이 술술 들어갔네요. 특히, 바 테이블 쪽에 놓인 TV에서 나오는 영상도 음악도 좋았습니다.. 다양한 사케와 주류가 진열된 것도 인상 깊었습니다. 다음에도 또 방문하겠습니다"
7.25.금,"우연히 지나가다가 발견한 곳. 지인들과의 모임을 위해 예약 후 갔는데 너무 친절하시고 음식들이 하나같이 다 맛있어요!!! 술 종류도 굉장히 다양해서 색다른 술 들을 먹어볼 수 있어서 좋았어요~사장님, 직원분 다 친절하시고 분위기도 좋고 완정 강추해요!"
7.18.금,분위기 좋은 상갈동 술집 간지✨ 메뉴가 정말 다양하고 가성비 좋아요 ~ 모듬꼬치 구성 알차구 맛있어요 ! 고추장 새우강정도 바삭바삭하고 새우 통통하구 넘 맛있어요 🤍 안주 맛집 간지 !! 사장님도 친절하시고 술 마시며 대화하기 편해용 •ᴗ•  ✔️ 단체/회식/모임/친구/데이트/혼술 상갈 맛집. 상갈 술집. 이자카야 추천 ෆ
9.19.금,"친구들이랑 분위기 좋은 이자카야 왔네요^^ 리뷰도 좋고~~~ 맛도, 분위기도 좋은 간지로 오세요! 안주가 정말 맛있고, 친절해서 더 좋네요! 다음에 또 오고 싶네요ㅎㅎㅎ"
8.14.목,감태육회랑 오징어다리튀김 먹었어요~ 육회 맛집답게 육회가 정말 맛있었습니다💗 안주와 술 종류가 다양해서 골라 먹고 마시는 재미기 있는곳이에요~
6.6.금,그루브그루브~~멋진 감성 재즈음악에 취해 분위기 갑! 안주도 갑! 하이볼도 향긋!모든것이 갑인 간지나는 곳 용인이자카야 간지! 여긴 한번 가면 무조건 재방문각이에요~ 담엔 신갈천 산책후 가볍게 또한잔 하러 들리려구요 기흥역에서 신갈천 따라 산책하여 내려와 가기도 좋을듯요~용인데이트 마무리코스
8.14.목,골뱅이 막국수~~^^ 모짜렐라치즈돈까스 저녁 겸 간단한 술안주로 딱이예욧 아주 맛있게 잘먹었어용. 골뱅이도 푸짐하고 쫄깃쫄긴 굿입니닷
9.26.금,깔끔한 술집을 집 근처에서 찾았어요 분위기 좋아요
9.29.월,상갈 간지 정말 맛집입니다 다음에 또 올게요 감사합니다~~
5.25.일,"상갈동에 이런 맛집이 있다니... 일단 여사장님,남사장님 두분 다 너무너무너무 친절하시고 잘챙겨주셔서 너무 감사했어요🩷 안주도 다양하고 특히 하이볼이나 술 종류가 많아서 직원분께 추천도 받고 추천도 잘해주시고!! 가격도 저렴한편인데 심지어 너무 맛있어요 ..🩷 사장님 요리실력 장난아니심!! 닷지석도 있어서 혼술하기도 좋고 분위기도 너무 좋아요!!!!!! 완전~~~ 추천드립니다~~~~😍"
9.27.토,분위기 좋아용 감태 육회 맛있어요!!👍🏻
5.1.목,간지~ 내부 인테리어가 따뜻하고 포근한 느낌이여서 아주 맘에 들었습니다 감태육회+특수부위(살치살) 셋트를 주문하였는데요 주문한 음식과 하이볼도 너무 맛있었습니다 잔잔하게 흘러나오는 음악도 너무 좋았어요^^
5.14.수,간단히 한잔 하기 좋아요! 하이볼 도수도 조절해주시고 직원분들이 엄청 친절하십니다👍🏻 밥을 먹고와서 간단하게 먹었는데 담엔 다른 안주들 다양하게 먹어보고 싶어요! 분위기도 좋고 인테리어도 아주 좋습니다 >_<
8.19.화,예약하고 다녀왔습니다. 일단 간지육회 무조건 드십시오. 필수입니다. 다양한 하이볼 종류가 있어서 좋았습니다잉~!
4.27.일,전부터 오고 싶던 갬성 술집인데여 분위기만 맛집인줄 알았더니 음식이 다 맛있어 감동했잖아여🥺 사장님의 친절에 또 기분 좋아지는 그런 저희만 알고 싶은 아지트 술집입니당🍻 감태육회는 꼭 추천이구여 꼬치두 맛있구여 오뎅탕두😋말모 입니다 👍👍👍
7.17.목,직원분도 친절하시고 분위기가 너무 좋아요!!!  집 앞에 있었으면 술을 좋아하는 편이 아님에도 일주일에 한 번은 방문할 것 같습니다 !-!  다음에 또 올게요
6.20.금,"첫방문했을때 반해서 계속 재방문중인 간지!🩷 방문할때마다 여전히 사장님 매우엄청 친절하셔용 요번에 새로나온 스키야키 먹어봤는데 얼큰칼칼하니 술안주로 완전 제격,,,😍 분위기도 너무좋고 음식도 너무 맛있어요!!!! 동네에 이렇게 좋은 이자카야가 있어서 햄볶해용 닷지석에서 혼술하기도 굿 또 방문할게요 사장님~~돈쭐나세요제발!!!"
8.3.일,육회가 너무 맛있어요!! 감태랑 너무 잘어울리네요 하이볼도 종류 많아서 하이볼 한잔하기 좋은 이자카야에요!
8.24.일,"일주일에 한번씩은 가는 상갈동 핫플입니다! 일단 감태육회와 수비드보쌈은 필수입니다. 당일 겉절이를 만들어 주시는데 진짜 신선합니다. 분위기도 젊은 손님, 직장인 위주인듯해서 조용히 술마시기 딱입니다. 사장님과 일하시는분들 모두 친전하시구요👍"
6.25.수,A세트 너무 맛있어요ㅠㅠ 꼬치모듬도~~
7.30.수,음식 여러개 시켰는데 다 맛있고 사장님도 엄청 친절하세요!! 담에 또 올게요~
4.13.일,"백남준 아트센터 , 경기도박물관 근처 상갈역 신상 선술집 세트메뉴 가성비좋음 하이볼 맛집 생맥주 맛집 기본안주부터 확실히 맛있음🤩👍💕"
7.12.토,음식도 맛있고 일단 흘러나오는 음악이 최고임👍🏼
6.22.일,상갈에서 데이트중 처음방문했는데 너무맛있고 다들 너무 친절하셔서 술맛이 좋았어요 ㅎㅎ 다음에 또 방문하겠습니다!:)
4.30.수,🏮 동네에서 간단하게 한 잔하기 좋은 곳이에요! 2차 장소로 추천합니다 🥩 안주가 다양하지만 특히 감태 육회 추천합니다! 감태와 육회가 잘 어울려요! 🍺 특히 기네스 생맥주는 꼭 드셔보세요! 신선한 기네스 생맥주를 가지고 있는 집입니다!
7.4.금,처음 방문했는데 분위기도 좋고 음식도 맛있습니다~ 또 방문할게요~~
5.12.월,얘기하기 좋은 분위기이고 특히 수비드 보쌈과 김치가 맛있었습니다 다음에 또 오고 싶어요~~
5.1.목,"동네에 너무 좋은 술집이 생겨 좋네요. 육회, 보쌈 등 맛있는 안주 많고 친절해서 벌써 몇번 갔네요. 늘 기분 좋은 곳 입니다."
