date,content
"""친절해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
5.29.목,기대이상의 맛과 갬성~ 떡볶이도 딱 내가 좋아하는 국물떡볶이에.. 닭도 겉바속촉 대단한 맛이다. 강추~ 야장도 깔아주시니 가보셔용. 가격은 왜이리 괜찮은지..ㅜㅠ 사장님께 좀 미안하네요.
4.10.목,반응 남기기 방문일 4.10.목 2025년 4월 10일 목요일 1번째 방문 인증 수단 영수증
24.10.5.토,반응 남기기 방문일 24.10.5.토 2024년 10월 5일 토요일 1번째 방문 인증 수단 결제내역
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
22.4.24.일,양도 좋고 맛있어요
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.5.1.일,반응 남기기 방문일 22.5.1.일 2022년 5월 1일 일요일 2번째 방문 인증 수단 영수증
22.4.12.화,반응 남기기 방문일 22.4.12.화 2022년 4월 12일 화요일 1번째 방문 인증 수단 영수증
21.10.26.화,반응 남기기 방문일 21.10.26.화 2021년 10월 26일 화요일 1번째 방문 인증 수단 영수증
20.11.16.월,반응 남기기 방문일 20.11.16.월 2020년 11월 16일 월요일 1번째 방문 인증 수단 영수증
20.4.14.화,"다양한 메뉴, 적당한 가격"
