date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
9.9.화,"방배동에서 삼겹살 찐맛집을 찾았다...!!  드라이에이징으로 숙성된 한돈이라 육즙이 장말 장난 아니고, 고소함이 미쳤어요. 같이 먹는 찬들도 정갈하면서 깔끔하고 고기도 직접 구워주시니까 정말 편하더라고요.  점심 때 둘이서 이용했는데 통삼겹 2인분 + 후식차돌된장 + 공기밥2로 깔끔한 삼겹살 정식이 가능했어요.  방배동에서 삼겹살 맛집 찾는다면 무조건 이 집 강추요!!!!"
9.3.수,고기도 구워주시고 고기 너무 맛있어요!! 삼겹살 추천 ! 된장찌개에 솥밥도 존맛탱 숭늉까지 야무지게 먹었어요~ 명이나물 나오면 맛집이쥬~  동네맛집인지 주민들도 많이 오더라구용
