date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
7.30.수,재오픈한 압구정 겸상 드디어 방문해 보네요! 대표님께서 족발집 하셨다길래 믿고 주문해 봤는데 살이 완전 야들야들 부드러워여❤️ 족발 전문집에서 먹은 것보다 훨씬 더 맛있었어요 ㅠㅠㅠ 시그니처 메뉴인 들기름 막국수랑도 조합이 미쳐쓰요! 담에는 친구 생일에 방문해 보고 싶네요!!
8.28.목,대광어 사시미 진짜 미쳤어요… 식감은 쫀득하고 고소함이 입안에 퍼져요. 셀프초밥으로 직접 만들어 먹는 재미도 있어서 초밥보다 더 맛있게 느껴졌어요. 사시미가 메뉴 제일 위에 있는 이유를 알겠는 맛! 압구정로데오 술집 중 퀄리티 좋은 메뉴 찾는다면 겸상 강추합니다.
8.21.목,"사장님,알바생들이 잘생기고 연예인들이 많이오는 술집. ✌️ 연예인분들이 주고가신 화환도 있고 인스타에 연예인들이 온 사진있어서 혹시 했는데 저도 연예인분들 많이 봤습니다 ㄷ ㄷ 불족발 보쌈이랑 막국수 넘 맛있으니까 꼭 한 번 와보세용. 따로 분리된 룸 술집이랑 생일자를 위한 전광판 자리도 있어요 ㅋㅋ 전광판에 글씨 띄워주신데용"
7.19.토,"매장에 들어서자마자 너무 시끄럽지 않으면서도 활기찬 분위기가 마음에 들었습니다. 은은한 조명과 세련된 인테리어가 데이트는 물론, 친구들과의 중요한 모임을 갖기에도 손색이 없어 보였어요.  가장 먼저 시그니처 메뉴인 들기름 골뱅이 막국수를 주문했습니다. 음식이 나오자마자 고소한 들기름 향이 코를 찔러 군침이 돌았어요. 쫄깃한 막국수 면에 매콤새콤한 양념, 그리고 큼직한 골뱅이가 어우러져 정말 별미였습니다. 자칫 느끼할 수 있는 들기름 맛을 양념이 확실하게 잡아주어 끝까지 맛있게 먹을 수 있었어요.  이어서 주문한 보쌈은 잡내 하나 없이 정말 야들야들하게 잘 삶아져 입에서 녹는 듯했습니다. 함께 나온 김치와의 조합도 훌륭했죠. 여기서 끝이 아니었습니다. 의외의 메뉴인 나쵸를 추가했는데, 이게 신의 한 수였어요."
8.28.목,분위기가 완전 느좋...🩷🩵 힙한 압구정로데오 찾으시는 분들 겸상 방문 추천드립니당💚 전광판이 있는 테이블이 있어서 친구들끼리 생일파티하기에도 너무 좋겠더라구요🎀 직원분들도 완전 친절하시고... 족발도 진짜 너무 맛있어요! 다음에도 압구정 갈일있을때 겸상에서 다른 메뉴도 먹어보려구용🔆⭐️
8.3.일,압구정로데오에 새로 생겨서 다녀왔는데 너무 맛있더라구요🫶🏻 직원분들도 너무 친절하고 공간도 너무 쾌적하고 깔끔해서 좋았어요:)전체적우로 메뉴도 맛있었습니다❤️ 다음에 재방문하고 싶은 곳이에요!!
7.28.월,"신상 술집인데 첫방문에 바로 저장함,,위치 좋고 넓고 룸도 있고 안주랑 술 다 다양한데 가성비 개굿이고 실패메뉴가 없습니다,,,백순대 강강강추✨매니저님 넘 친절하신데 훈남이셔서 못 나올 뻔 했습니다 예"
7.25.금,"예약하고 왔는데, 메뉴가 다양하고, 분위기가 너무 좋아요! 생일자에게는 자리도 엄청 예쁜 인테리어 잘된곳에 앉을수 있고요? 너무 깔끔하고 좋은거 같아요! 모임할땐 단체 좌석 예약도 가능하대요 메뉴들이 다 신선하고 너무 맛있고, 너무 친절하고 좋나요 ! 추천 추천 ❤️"
7.26.토,"따끈따끈한 신상 압구정로데오 술집입니당!! 일단 생일자를 위한 테이블(+전광판에 메시지 띄우기 가능✨️), 프라이빗하게 즐길 수 있는 룸이 있고요. 안주가 정말 다양한데 주문한 것들 다 맛있었어요. 매장은 넓고 쾌적한데 눈에 띄는 멋진 외모의 직원이 있어서 더욱 빛나요. 압구정로데오 핫플 되는 건 시간문제인 곳ㅋㅋ❤️"
8.1.금,"압구정로데오 데이트하기 좋은 술집 맛집 💖 직원분들 잘생기고 넘 친절하세용 ㅋ 맛있어서 이것저것 시켜먹었는데 사진이 몇개 없네요 크크 족발이랑 사시미도 다 맛있고, 들기름골뱅이막국수도 맛나구 일단 분위기가 좋고 넓어요!! 통창이어서 바깥 보면서 수다 떨면 시간 금방 훌쩍"
8.9.토,"대박🔥 분위기 너무 좋음! 2층인데, 창도 열어주셔서 야장 느낌 장난 없는데 에어컨도 시원하고 노래도 좋아요! 대광어 광어회 셀프초밥은 진짜 두번 먹고싶은맛 또 추문 각!! 짜파게티,파김치는 불향 가득머금어서 더 맛있어요. 특히 블랙루머 맥주가 진짜 맛있음! 요즘 맥주 좋아해서, 주문해봤는데 맛있어서 순삭해버림😜✨ 압구정로데오역 근처 접근성 굿! 룸도 있으니 미리 예약추천 🔥 안주종류 개많음!"
7.24.목,오랫만에 압구정!!! 겸상.. 사진으로볼때 인테리어 블랙에 럭셔뤼한 느낌이더만 ..역시 가서보니 좋더라구요. 통창이 쫙 둘러져있어서 시야도 좋고^^ 젤 중심자리위에는 전광판?이 ㅎㅎ 저기가 생일파티 등 하는 자리고 전광판에는 미리 알려주신 멘트가 뛰워진다네요^^ 생일주인공이 되면 참 좋을듯^^ 음식이 회. 초밥. 족발. 한식. 양식? 등등 아주 다양해서 좋았어요. 족발땡겼는데 7시이후 가능하대서 조금 아쉬웠던 ㅎㅎ 축구나 야구 경기가 있는날 미리 말씀드리면 틀어주신다니.. 다음에 축구하는날 가서 다같이 응원을 ㅎㅎㅎ
