date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""잡내가 적어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
8.26.화,고기구워주는 운양동고기집 육미향! 넓은 매장과 완벽한 셀프바가 있어서 더욱 푸짐하게 먹을 수 있어서 너무 만족스러웠어요~ 사장님께서 곧 와인판매도 개시하신다는 새로운 정보도 알려주셨는데 고기와와인이라니!!조만간 재방문해야할거 같네여~ 쫄깃 담백! 냄새베임 없이 깔끔한 식사를 할 수 있어서 맛있게 잘 먹었습니다^^
9.18.목,아이랑 자주 찾는 운양동 고기 맛집입니다. 여기 가족석이 진짜 끝내줘요. 엄청 넓은 쇼파석이 프라이빗하게 있어 어른은 고기 구워 먹고 아이는 넓은 곳에서 누워 뒹굴며 놀 수 있오요!!! 고기맛도 끝내주고 유아 동반 가족 모임하기 김포에서 여기가 최고인 듯.
