date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
24.11.21.목,반응 남기기 방문일 24.11.21.목 2024년 11월 21일 목요일 1번째 방문 인증 수단 영수증
24.7.8.월,일하는분들이 모두 친절하시고  음식도 맛있어요. 가성비 짱
24.7.29.월,가성비 짱이에요 음식도 맛있구요
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 1번째 방문 인증 수단 영수증
24.2.1.목,"맛집진짜로평가합니다.  뷔페인데, 처음에 허름해서 안들어가려다 그냥 들어간 곳인데 음식 정성도 있고, 맛도 있습니다. 특히 7천원에 김치찌게도 주다니 충격적입니다. 김치찌게가 일반 허접한게아니라 진짜 끓여서먹는 찌게입니다. 뷔페에 이런가격이라니 놀라울 따름! 추천입니다."
22.10.2.일,반응 남기기 방문일 22.10.2.일 2022년 10월 2일 일요일 1번째 방문 인증 수단 영수증
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
22.8.31.수,반응 남기기 방문일 22.8.31.수 2022년 8월 31일 수요일 1번째 방문 인증 수단 영수증
22.8.17.수,반응 남기기 방문일 22.8.17.수 2022년 8월 17일 수요일 1번째 방문 인증 수단 영수증
22.5.10.화,가격대비 짱 👍
21.5.3.월,반응 남기기 방문일 21.5.3.월 2021년 5월 3일 월요일 1번째 방문 인증 수단 영수증
21.1.8.금,반응 남기기 방문일 21.1.8.금 2021년 1월 8일 금요일 1번째 방문 인증 수단 영수증
20.12.23.수,반응 남기기 방문일 20.12.23.수 2020년 12월 23일 수요일 2번째 방문 인증 수단 영수증
20.10.9.금,반응 남기기 방문일 20.10.9.금 2020년 10월 9일 금요일 1번째 방문 인증 수단 영수증
20.11.27.금,반응 남기기 방문일 20.11.27.금 2020년 11월 27일 금요일 1번째 방문 인증 수단 영수증
20.7.30.목,반응 남기기 방문일 20.7.30.목 2020년 7월 30일 목요일 1번째 방문 인증 수단 영수증
20.10.9.금,반응 남기기 방문일 20.10.9.금 2020년 10월 9일 금요일 1번째 방문 인증 수단 영수증
20.10.9.금,반응 남기기 방문일 20.10.9.금 2020년 10월 9일 금요일 1번째 방문 인증 수단 영수증
20.10.9.금,반응 남기기 방문일 20.10.9.금 2020년 10월 9일 금요일 1번째 방문 인증 수단 영수증
20.10.9.금,반응 남기기 방문일 20.10.9.금 2020년 10월 9일 금요일 1번째 방문 인증 수단 영수증
