date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
23.8.16.수,반응 남기기 방문일 23.8.16.수 2023년 8월 16일 수요일 1번째 방문 인증 수단 영수증
23.7.12.수,반응 남기기 방문일 23.7.12.수 2023년 7월 12일 수요일 2번째 방문 인증 수단 영수증
22.12.18.일,먹다보니 사진을 못찍었네요 맛있고 사장님도 친절하시고 좋아요~
23.3.25.토,너무 알찬셋트메뉴에요 넘나 맛있어요
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 1번째 방문 인증 수단 영수증
22.8.31.수,반응 남기기 방문일 22.8.31.수 2022년 8월 31일 수요일 1번째 방문 인증 수단 영수증
22.4.18.월,사장님도 친절하시고 맛있어요!!!
22.1.22.토,반응 남기기 방문일 22.1.22.토 2022년 1월 22일 토요일 1번째 방문 인증 수단 영수증
