date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
22.5.26.목,반응 남기기 방문일 22.5.26.목 2022년 5월 26일 목요일 1번째 방문 인증 수단 영수증
22.5.24.화,반응 남기기 방문일 22.5.24.화 2022년 5월 24일 화요일 6번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 5번째 방문 인증 수단 영수증
22.4.18.월,반응 남기기 방문일 22.4.18.월 2022년 4월 18일 월요일 2번째 방문 인증 수단 영수증
22.3.29.화,"주인분 바뀌기 전에 많이 갔었는데, 서비스는 둘째치고 ..사장님이 좀 친절하시면 좋을 것 같아요"
22.3.26.토,반응 남기기 방문일 22.3.26.토 2022년 3월 26일 토요일 4번째 방문 인증 수단 영수증
22.3.11.금,반응 남기기 방문일 22.3.11.금 2022년 3월 11일 금요일 1번째 방문 인증 수단 영수증
22.3.6.일,반응 남기기 방문일 22.3.6.일 2022년 3월 6일 일요일 1번째 방문 인증 수단 영수증
22.3.2.수,반응 남기기 방문일 22.3.2.수 2022년 3월 2일 수요일 1번째 방문 인증 수단 영수증
22.2.26.토,사장님이 진짜 세상제일 최고 친절.....진짜 자꾸 가고싶은 친절함이에요....b
22.2.23.수,반응 남기기 방문일 22.2.23.수 2022년 2월 23일 수요일 2번째 방문 인증 수단 영수증
22.2.23.수,좋아요 사장님 친절해요~!!
22.1.31.월,친절하시고 가격은 저렴해요
22.1.14.금,반응 남기기 방문일 22.1.14.금 2022년 1월 14일 금요일 1번째 방문 인증 수단 영수증
22.1.11.화,떡갈비 맛있어요 ~~~
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 1번째 방문 인증 수단 영수증
22.1.4.화,떡갈비 완전 맛있어요~~~.
22.1.3.월,반응 남기기 방문일 22.1.3.월 2022년 1월 3일 월요일 1번째 방문 인증 수단 영수증
21.12.23.목,반응 남기기 방문일 21.12.23.목 2021년 12월 23일 목요일 1번째 방문 인증 수단 영수증
21.12.20.월,반응 남기기 방문일 21.12.20.월 2021년 12월 20일 월요일 1번째 방문 인증 수단 영수증
21.12.15.수,반응 남기기 방문일 21.12.15.수 2021년 12월 15일 수요일 1번째 방문 인증 수단 영수증
21.12.15.수,반응 남기기 방문일 21.12.15.수 2021년 12월 15일 수요일 1번째 방문 인증 수단 영수증
