date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
24.8.20.화,식당찾다가 우연히 발견하고 들어가서 맛있게 먹은 식당입니다. 친절하시고 정갈하고 맛있습니다. 된장찌개 와 육회비빔밥 만원의 행복 행복한 시간이었어요
23.6.7.수,살치살 너무 부드럽고 갈비살 너무 고소해요! 인생 고기집이예요! bbbb 남편이랑 특별한 날에만 가다가 지인 생일 기념으로 갔는데 지인이 너무 좋아했어요! 저만 아는 맛집이었는데 지인도 좋아해주니 넘 뿌듯했어요 ㅋㅋㅋ 반찬으로 주신 고추짱아찌가 입맛을 더 자극해주고 기름진 맛을 상쇄시켜줘서 더 맛있게 먹었어요! 리뷰 남기다보니 또 먹고싶습니다 +.+ 안창살도 먹고싶었는데 어제 떨어져서 넘넘 아쉬웠어요 ㅠㅠ 담엔 일찍가서 안창살도 먹어야겠어요!
23.12.18.월,반응 남기기 방문일 23.12.18.월 2023년 12월 18일 월요일 1번째 방문 인증 수단 영수증
23.12.21.목,반응 남기기 방문일 23.12.21.목 2023년 12월 21일 목요일 1번째 방문 인증 수단 영수증
23.5.8.월,여기 진짜 고기 질이 너무 좋고 된장찌개가 너무 야무져요 요즘 고기 200그람에 2만원이 넘어가는데 여기는 14000원에다가 가성비가 너무 좋아요 된장찌개도 양이 엄청 많고 맛있습니당 완전 강추에용ㅠㅡㅠ❤️
23.11.15.수,반응 남기기 방문일 23.11.15.수 2023년 11월 15일 수요일 1번째 방문 인증 수단 영수증
23.6.9.금,사진은없지만 고기질이좋은것같아요ㅎㅎ 삼겹살 맛있어요. 아이들이랑 갔는데 포크도 챙겨주시고 특히 젊은 남자 사장님? 직원분? 친절하세요.
23.2.22.수,삼겹살 먹었는데 파절이랑 궁합이 좋아요!! 육회비빔밥 + 된찌 세트가 만원인데 건더기 가득한거 보이시나요?? 식사 드시러오는거도 추천해요
23.2.22.수,고기 퀄리티가 끝내주네요. 양도 많고 사장님도 친절하셔 기분좋게 먹고 왔어요
23.1.10.화,반응 남기기 방문일 23.1.10.화 2023년 1월 10일 화요일 1번째 방문 인증 수단 결제내역
22.10.5.수,한우 품질이 좋은데 가성비까지 좋음 음식 맛있고 매장 깨끗함
22.12.7.수,반응 남기기 방문일 22.12.7.수 2022년 12월 7일 수요일 1번째 방문 인증 수단 결제내역
22.10.31.월,반응 남기기 방문일 22.10.31.월 2022년 10월 31일 월요일 1번째 방문 인증 수단 영수증
22.9.16.금,반응 남기기 방문일 22.9.16.금 2022년 9월 16일 금요일 1번째 방문 인증 수단 영수증
22.6.1.수,반응 남기기 방문일 22.6.1.수 2022년 6월 1일 수요일 2번째 방문 인증 수단 영수증
22.6.23.목,반응 남기기 방문일 22.6.23.목 2022년 6월 23일 목요일 1번째 방문 인증 수단 영수증
22.5.31.화,반응 남기기 방문일 22.5.31.화 2022년 5월 31일 화요일 1번째 방문 인증 수단 영수증
22.4.27.수,반응 남기기 방문일 22.4.27.수 2022년 4월 27일 수요일 3번째 방문 인증 수단 영수증
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 2번째 방문 인증 수단 영수증
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 1번째 방문 인증 수단 영수증
22.11.2.수,반응 남기기 방문일 22.11.2.수 2022년 11월 2일 수요일 1번째 방문 인증 수단 영수증
22.4.27.수,반응 남기기 방문일 22.4.27.수 2022년 4월 27일 수요일 2번째 방문 인증 수단 영수증
22.4.28.목,반응 남기기 방문일 22.4.28.목 2022년 4월 28일 목요일 1번째 방문 인증 수단 영수증
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 1번째 방문 인증 수단 영수증
22.3.11.금,반응 남기기 방문일 22.3.11.금 2022년 3월 11일 금요일 1번째 방문 인증 수단 영수증
21.12.31.금,반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증
