date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
10.4.토,금남시장에 위치한 골목냉면 많은 TV프로에도 방송 된 냉면맛집!! 고소함이 입안을 행복하게 해준다 비빔냉면 매콤하면서 고소미~ 물냉면도 고소함이 좋다 만두는 속이 김치와 고기로 꽉 차있어서 식감이 너무 좋다 잠심시간에는 웨이팅 필수
10.18.토,"물냉면 비빔냉면 다 맛있어요 만두, 편육 세드메뉴 좋아요"
7.23.수,처음으로 방문했는데 새롭고 좋았습니다. 만두가 속이 김치만두 느낌에 이북식 만두였어요. 매운물냉면은 정말 매콤했어요 ㅎㅎ 시원하니 좋았습니다!
5.21.수,동네라서 금남시장 갈 때마다 자주 방문하는데 비냉이랑 물냉 둘 다 맛있고 사장님 친절하셔서 좋아요! 편육이랑 먹어도 궁합최고!! 배달도 가능이라 집에서도 주말에 자주 배달시켜먹어요 ㅎㅎㅎ👍🏻👍🏻
5.5.월,"식객 허영만 백반기행에도 소개되었던 금남시장 매운냉면 맛집 골목냉면에 드디어 다녀와써요! 매운물냉면 한입하면 응? 전혀 안 매운데 ,, 매운냉면 맞아? 라고 생각이 드실 거예요~ 근데 먹다 보면 정말 맛있게 매운맛! ㅋㅋㅋㅋ 끝에서 매콤함이 은은히 올라오는데~ 완전 중독성 있어요 국물이 정말 진국입니다 !! 면도 쫄깃쫄깃하고 탱탱하니 정말 맛있어요 👍 그리고 만두가 이북식 김치만두인데 옛날에 할머니가 만들어주시던 추억의 맛이라 좋았어요! 재방문 의사 100000%%%%%👍❤️"
7.5.토,물냉면 비빔냉면 모두 맛있습니다. 가볍게 펀육이나 만두를 세트로 먹을 수도 있습니다
8.23.토,비빔냉면 먹을땐 겁나 매운데 희안하게도 다먹고나면 매운맛이 기분좋게 끝나네요 ㅎ 스트레스날리는 매운냉면 맛!! 있구요 손만두는 중독성있게 맛있는 맛이네요ㅎ
3.22.토,"금호시장 안에 있는 골목냉면! 허영만의 백반기행에 나온 곳이라 먹어보고 싶었는데 근처 온김에 혼밥했어요! 1인세트메뉴로 매운물냉면+만두 먹었는데 만두는 쏘쏘했고, 매운물냉면이 아주 맛있었습니다!!👍🏻"
7.6.일,"📍카카오맵 지도 후기 참고 필수📍  냉면 맛은 그냥 일반 분식집 수준이고, 얼음도 서너 개만 떠 있어 미지근했어요. 매장이 너무 더워서 외국인 직원에게 에어컨 온도 좀 낮춰달라 했더니 알겠다 해놓고 안 낮춤. 결국 여자 사장님께 부탁드렸더니 이미 다 켜져 있다며 같은 말만 반복. 한여름에 실내 28도인데 땀 뻘뻘 흘리면서 먹었어요. 단체 손님 오니까 그제야 방 에어컨 따로 틀고 마지못해 온도 일도 낮춤. 제가 다시 너무 덥다니까 “그래서 낮추잖아요?”라며 이상하게 받아쳐서 당황. 그러면서 이상하네 참 이렇게 말해서 아줌마 뭐라고요? 하니까 아예 죄송해요~ 이럼 한여름에 에어컨 온도 낮춰달라하면 이상하네 소리 듣는가게 ^^ 결국 맛도 별로고 서비스도 너무너무 불친절해서 다 남기고 나왔습니다."
7.11.금,"맛있는 매운맛을 기대했는데, 살짝 고춧가루 매운 맛만 느껴져서.. 조금 아쉬웠어요"
7.6.일,"😡😡인생 최악의 가게 !!!😡😡 일단! 냉면에 산처럼 올라간 고춧가루는 육수나 비빔장을 텁텁하게 만들고 본연의 맛을 퇴색시킴😩 두번째로 면 삶을 때 젓지도 않았는지 덩어리진 게 한두개가 아님😫 세번째로 4~5천원 더 주고 시킨 만두세트, 편육세트는 1조각당 천원꼴로 금액 대비 양이 너무도 적음😳 네번째로 손톱만한 얼음 6개 달랑 띄운 미지근한 육수는 냉면이란 이름을 붙이기도 민망할 정도😱😱😱 참고로 당일 기온33도에 습도57%를 육박! 가게에 50명 정도 들어서서 내부온도 28도를 넘고 있길래 에어컨온도를 낮춰달라 부탁했지만 거절 “이상하네 참”이라며 비아냥대며 지나감 마지막으로 인간 대 인간으로써 기본적인 소양도 갖추지 못한 업주의 언행에 대해 굉장히 실망함"
2.20.목,갑자기 겨울냉면이 땡기는 날.. 편육에 물냉에.. 만두칼국수는 처음 먹어봤네요 개인적으로 평냉파이긴 한데.. 우리 동네 냉면 맛집인 이곳과 부원냉면은 종종 이용하면서 맛나게 먹고있습니다 평냉 맛집들 처럼 가격도 사악하지 않고 착합니다 잘 먹고 갑니다
3.2.일,"으아앙 주말에 낭군님 일하는데 같이 나왔다. 점심도 같이 먹어야지 해서 검색하고 찾은 곳.  잘 찾아왔네~~!! 어머님의 투박하지만 맛난 손맛같은 냉면.만두.퀄러티 높은 편육. 까지.  냉면세트 하나는 만두랑 (김치손만두 세알)13,000. 하나는 편육 (족발향나는 일곱점).15,000 골고루 맛보고 좋았당.  육수는 뽀오얀 사골국물 뜨끈하게 네 컵은 마신듯 ㅎㅎㅎㅎ  다음에도 생각날 집. 여름에 와야징.  ㅡㅡㅡ 시장 공영주차장에 주차하면 할인권 주심. 우린 길 건너편 대도 주차장에 주차해서. 마트들려 할인 받아야징. ^^"
9.15.월,반응 남기기 방문일 9.15.월 2025년 9월 15일 월요일 1번째 방문 인증 수단 결제내역
7.6.일,최악의 냉면 카카오맵 리뷰 보시면 공감 1000% 내돈 내고 먹는거지 뭐 거져주나 불친절하고 맛도 없음 저 리뷰에 절대 나쁜맛 안쓰거든요? 살면서 이런 리뷰 쓰게 하는 곳 처음이네요
5.28.수,"매장 신발 벗고 들어가야되요. 셀프로 떠서 마실 수 있는 뜨끈한 육수 좋았어요. 냉면 맛은 특별한 느낌은 못받았어요. 면을 바로 삶은게 아닌지 굳어서 뭉쳐있었어요. 만두, 편육도 쏘쏘했어요."
6.9.월,매운맛 비냉인데 완존이~~~~~맛있게 매운맛이네요 🌶 🌶 🌶 🌶 만두는 손만두인데 잡채도 적당히 김치의칼칼함과 뭔가모를 꼬소미 ㅎㅎ 찐맛집입니다요^^
5.17.토,기대를 너무해서그런지 생각보다 쏘소였습니다. 흔한 함흥냉면 맛입니다. 만두는 슴슴하니 괜찮았어요
7.26.토,반응 남기기 방문일 7.26.토 2025년 7월 26일 토요일 1번째 방문 인증 수단 영수증
6.13.금,반응 남기기 방문일 6.13.금 2025년 6월 13일 금요일 1번째 방문 인증 수단 영수증
6.24.화,반응 남기기 방문일 6.24.화 2025년 6월 24일 화요일 2번째 방문 인증 수단 영수증
5.4.일,반응 남기기 방문일 5.4.일 2025년 5월 4일 일요일 1번째 방문 인증 수단 영수증
