date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.19.금,곱분이곱창 넘 맛있어요 막창 부드럽고 냄새도 없어서 밑반찬이랑 먹으니 좋더라구요 ㅎㅎ 양념맛도 잘되어 있고 볶음밥 먹었는데 치즈해서 먹으니 꿀맛!! 추천해요:)
8.9.토,오늘 친구들이랑 방문했는데 사장님 친절하시고 음식도 너무 맛있었어요~^^ 담엔 또 방문하겠습니다..
8.7.목,"한양대 알곱창집이 많이 없어서 네이버검색후 영업 1시까지라고 써있어서 편하게 먹을수 있을거라 생각해 9시에 방문했는데 10시40분에 나가라고 하시네요 아무리 손님이 없어도 그렇지 그럼 네이버 영업시간을 변경해놓으셔야 하지않을까요? 말했더니 한양대 방학기간이라 그런다는데 그럼 들어올때부터 말씀하셨어야죠 학생아닌 일반고객은 고객도 아니예요? 남자사장님은 들어올때부터 엄청 친절하시던데, 여자사장님은 저희포함 테이블 딱 두팀 이었는데 언제나가나 싶으신지 먹는내내 계속 쳐다보시고 리뷰 왠만해서 안쓰는데 결제하고 나가면서 영업시간 문의하니 너무 불친절한 변명하셔서 바로 들어가서 영수증 달라니 본인 할일 하신후(영수증받기도기다림) 휴지통에서 뒤지시는척 영수증 없는척 하시고 ㅋㅋ마지막 손님인데 영수증을 뒤질일 있나요"
5.5.월,지난번 친구들과 먹고 맛있어서 이번엔 가족과 같이 방문했어요 사장님 여전히 친절하셨구 이번에도 맛있게 잘 먹었습니다 정신이 없어 사진을 한장밖에 못찍어서 아쉽네요
4.29.화,모처럼 친구들과 맛있는거 먹고싶어서 돌다가 들어갔는데 사장님 친절하시고 음식도 빨리 나오고 맛있어서 순식간에 먹어치웠답니다 다음엔 가족들과 가서 먹으려구 합니다 즐거웠어요 맛난거 먹어서
7.11.금,반응 남기기 방문일 7.11.금 2025년 7월 11일 금요일 1번째 방문 인증 수단 결제내역
24.8.23.금,부추가 맴에 들었던 곱창집ㅋ 양이 좀 적은 편인데 쏘쏘하니 먹을만 해요~
24.8.23.금,깔끔하게 한번 먹기 좋아요ㅋ
24.6.22.토,성동구에 곱분이곱창이 오픈했다는 소식을 듣고 포장해서 먹었습니다 직화답게 불맛이 나면서 술이 생각이 안날래야 안날수가 없다는ㅋㅋ 성동구에 유일한 곱분이곱창인 만큼 오래오래 유지했으면 하는 바램입니다~~
24.6.20.목,친구랑 같이와서 오랜만에 곱창을 먹었는데 너무 맛있고 사장님도 너무 친절해서 다음에도 또 오고싶을정도에요!! 사장님 다음에 또 올께요!!!
24.6.18.화,한양대 곱분이 곱창이 생겼다해서 바로 와봤는데 사장님도 너무 친절하시고 알바생분들도 너무 잘챙겨주세요ㅠㅠ 음식 사진은 못찍었지만 그림과 똑같이 나오고 너무 맛있었어요!! 지인들과 함께오면 너무 좋을 것 같아요😊😊 다음에 또 올게요 사장님☺️
24.7.3.수,180초 보고 왔는데...OMG ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
