date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
8.26.화,"고기를 구워주는 스킬, 음식을 설명해주는 말, 이유 있는 주류 페어링, 반찬마저 맛있는 손맛...  이 모든 코스를 어우러지게 하는 스킬까지 너무 만족스러웠습니다.  음식 내주는 타이밍과 텀도 너무 편안하면서 즐거운 서비스를 받은거 같아서 좋았습니다!  음식 얘기는 리뷰로 안하겠습니다. 이건 가서 보고 듣고 맛보고 즐기는게 더 좋을겁니다.  그래서 거리도 있고한데, 와볼만 한가? 제 기준 입슐랭 1.5입니다👄😋  경기/수도권에 계시다면 와볼만한 값어치 하는 곳이라고 말할 수 있습니다! 예약 어렵지 않는데 이 가치를 아시는 분들이 많아지는게 걱정이지만! 그래도 정말 매우 추천드립니다😊  주류 페어링은 진짜 추천...! 아는 사람은 가격대비 가성비 좋다고 알 것이고 맛도 좋았습니다. 진짜 주류 페어링은 강추!!"
9.6.토,"친절+맛+양+가격까지 모든 것이 만족스러웠습니다. 평일에는 워낙 인기가 많아서 주말에 굳이 1시간 거리를 차몰고 회사 근처까지 와서 가족과 함께 갔습니다. 에피타이저부터 후식까지 총 6개 코스. 음식 하나하나 설명해주시니 아이도 좋아하고 너무 맛있게 먹고 왔습니다. 돼지고기가 입에서 녹는다는게 이런 기분이구나 싶었습니다. 저는 운전 때문에 못먹었지만 와이프는 주류 페어링까지 아주 만족스러워 했습니다. 처음에는 1인당 목살 120g, 삼겹살 100g이 양이 부족하지 않을까 걱정했는데, 천천히 음미하면서 먹는데다가 다른 음식들까지 먹다보니 후식까지 다 먹고 나서는 배가 터질듯 했습니다. 다음에는 회사사람들하고 와봐야겠습니다. 다음엔 저도 꼭 주류페어링 함께하고 싶네요. ^^"
