date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
5.16.금,바싹불고기 맛있어요.냄새고 안나고 퍽퍽하지도 않아요.칼국수 육수가 정말 맛있어요. 담백하고 진한 육수에요.칼국수가 양이 많아요.여자 들이 막었는데도 많더라구요.착한가격에 맛있네요
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 76번째 방문 인증 수단 영수증
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 75번째 방문 인증 수단 영수증
4.12.토,반응 남기기 방문일 4.12.토 2025년 4월 12일 토요일 74번째 방문 인증 수단 영수증
4.7.월,반응 남기기 방문일 4.7.월 2025년 4월 7일 월요일 73번째 방문 인증 수단 영수증
4.5.토,반응 남기기 방문일 4.5.토 2025년 4월 5일 토요일 72번째 방문 인증 수단 영수증
3.29.토,반응 남기기 방문일 3.29.토 2025년 3월 29일 토요일 70번째 방문 인증 수단 영수증
3.26.수,반응 남기기 방문일 3.26.수 2025년 3월 26일 수요일 69번째 방문 인증 수단 영수증
3.19.수,담백한 멸치육수에 국수를 말아서 먹으니 맛있어요.많도 많고 가성비가 최고에요.떡만둣국도 왕만두 김치.고기 4개에 떡국떡 ..양도 많쵸. 맛있고 우산 가격이 너무 착해요.맛있어요.
3.3.월,반응 남기기 방문일 3.3.월 2025년 3월 3일 월요일 68번째 방문 인증 수단 영수증
2.24.월,반응 남기기 방문일 2.24.월 2025년 2월 24일 월요일 65번째 방문 인증 수단 영수증
3.1.토,반응 남기기 방문일 3.1.토 2025년 3월 1일 토요일 67번째 방문 인증 수단 영수증
2.25.화,반응 남기기 방문일 2.25.화 2025년 2월 25일 화요일 66번째 방문 인증 수단 영수증
2.22.토,반응 남기기 방문일 2.22.토 2025년 2월 22일 토요일 64번째 방문 인증 수단 영수증
2.20.목,반응 남기기 방문일 2.20.목 2025년 2월 20일 목요일 63번째 방문 인증 수단 영수증
2.10.월,반응 남기기 방문일 2.10.월 2025년 2월 10일 월요일 62번째 방문 인증 수단 영수증
1.31.금,반응 남기기 방문일 1.31.금 2025년 1월 31일 금요일 61번째 방문 인증 수단 영수증
1.24.금,반응 남기기 방문일 1.24.금 2025년 1월 24일 금요일 60번째 방문 인증 수단 영수증
24.12.13.금,멸치육수가 담백하고 맛있어요.양이 엄청 많고 가성비 좋아요.
1.20.월,반응 남기기 방문일 1.20.월 2025년 1월 20일 월요일 59번째 방문 인증 수단 영수증
1.11.토,반응 남기기 방문일 1.11.토 2025년 1월 11일 토요일 58번째 방문 인증 수단 영수증
24.12.18.수,반응 남기기 방문일 24.12.18.수 2024년 12월 18일 수요일 57번째 방문 인증 수단 영수증
24.12.17.화,반응 남기기 방문일 24.12.17.화 2024년 12월 17일 화요일 56번째 방문 인증 수단 영수증
24.12.13.금,반응 남기기 방문일 24.12.13.금 2024년 12월 13일 금요일 55번째 방문 인증 수단 영수증
24.12.12.목,반응 남기기 방문일 24.12.12.목 2024년 12월 12일 목요일 54번째 방문 인증 수단 영수증
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 53번째 방문 인증 수단 영수증
24.11.20.수,찐만두에 김치만두가 매콤 하면서 맛있고 멸치국수도 국물에 깔끔하고 양도 많고 가격도 6천원이네요.
24.11.30.토,반응 남기기 방문일 24.11.30.토 2024년 11월 30일 토요일 51번째 방문 인증 수단 영수증
24.11.20.수,반응 남기기 방문일 24.11.20.수 2024년 11월 20일 수요일 49번째 방문 인증 수단 영수증
24.11.12.화,반응 남기기 방문일 24.11.12.화 2024년 11월 12일 화요일 47번째 방문 인증 수단 영수증
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 46번째 방문 인증 수단 영수증
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 44번째 방문 인증 수단 영수증
24.10.19.토,반응 남기기 방문일 24.10.19.토 2024년 10월 19일 토요일 43번째 방문 인증 수단 영수증
24.10.14.월,반응 남기기 방문일 24.10.14.월 2024년 10월 14일 월요일 41번째 방문 인증 수단 영수증
24.10.5.토,반응 남기기 방문일 24.10.5.토 2024년 10월 5일 토요일 39번째 방문 인증 수단 영수증
24.9.30.월,반응 남기기 방문일 24.9.30.월 2024년 9월 30일 월요일 37번째 방문 인증 수단 영수증
24.8.28.수,반응 남기기 방문일 24.8.28.수 2024년 8월 28일 수요일 29번째 방문 인증 수단 영수증
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 23번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 22번째 방문 인증 수단 영수증
24.8.5.월,반응 남기기 방문일 24.8.5.월 2024년 8월 5일 월요일 21번째 방문 인증 수단 영수증
24.5.27.월,멸치육수가 맛있어요.이날은 육수가 적었네요.왕만두도 괜찬아요
24.2.26.월,양이 엄청많아요 칼국수가 그릇으로 한가득 이어서 엄마랑 나눠 먹고 멸치국수는 나중에 먹었어요.양도 많고 멸치육수도 맛있고 우선 가격도 싸요
24.5.2.목,양도 푸짐하고 육수가 담백하니 맛있어요
23.10.14.토,멸치국수 보통 주문했는데 곱빼기인줄~ 비빔&멸치 간만에 맛있는 국수 먹었어요~~~
23.10.31.화,양도 많고 멸치육수가 맛있어요.
