date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
9.21.일,사장님두 넘 친절하시구 카페분위기가 일본느낌으로 너무 귀여워용 요즘같은 계절에 야장으로 즐기기도 넘 좋아요
4.9.수,넘나 애정하는 곳🫶🏻 커피가 너무 맛있어서 이쪽 부근 갈일이 있으면 꼭 들르려고해요. 녹차라테에 샷들어간 케로라테도 별미🌿 공간도 넘나 구욷👍🏻
2.9.일,일본 소도시의 작은 동네카페 느낌이 낭낭합니다 인테리어도 너무 귀엽고 그릇들두 아기자기 이뻐요 도란도란 얘기나누기나 책읽기에도 분위기가 그만이예요~~ 특히 레모니카노가 정말 맛있드라구요 일반 아샷추보다 탄산감이 있고 덜 달아서 완전 취향저격이었습니다👍🏻
1.25.토,용답역 답십리역 근처 볼일이 있어서 검색하가가 왔는데 일본 너낌카페ㅋ 아기자기하고 분위기 좋아요 😀 라떼도 맛나고 입가심 디저트도 주셨는데 얼린포도 넘 상콤하네요~
8.3.일,반응 남기기 방문일 8.3.일 2025년 8월 3일 일요일 1번째 방문 인증 수단 영수증
1.24.금,공유 2호점은 왠지 마음의 고향같은 곳..이 되어버렸습니다… 나만 알고 싶지만 모두가 알았으면 좋겠는 곳… 좋아하는 곳입니다…강추!👍
3.9.일,이동네에서 아바라는 여기가 진리임
5.16.금,반응 남기기 방문일 5.16.금 2025년 5월 16일 금요일 1번째 방문 인증 수단 영수증
5.6.화,반응 남기기 방문일 5.6.화 2025년 5월 6일 화요일 8번째 방문 인증 수단 영수증
24.11.12.화,🌟🌟🌟🌟🌟 도쿄에서 마셨던 핸드드립커피 맛이 나서 사장님께 여쭤봤더니 도쿄에서 오래 커피하셨다고🫶🏻 핸드드립 최고예요. 너무 맛있오요. 버터샌드 냥이도 꼭 같이 드세요🤤
3.4.화,"뭔가 사람들이랑 와서 수다떨어야 될 것 같은 동네카페의 느낌이었고, 바닐라라떼 특색있고 맛있었어요~~"
24.9.2.월,용답역 커피 맛집. 일본 편집숍을 연상케하는 인테리어와 빵빵한 스피커에 좋은 음악 취향. 단맛 밸런스가 좋은 필터커피를 마실 수 있는 곳!
2.1.토,반응 남기기 방문일 2.1.토 2025년 2월 1일 토요일 1번째 방문 인증 수단 영수증
24.8.18.일,커피가 너무 맛있어서 자주 들리는 카페예요! 특히 라떼 강추 드립니다. 방문 할 때 마다 사장님 너무 친절하세요!
24.7.4.목,친구가 커피가 맛있다고 해서 왔는데 아담한 매장이었지만 카페 분위기도 취향저격 이었고 커피가 진짜 맛있었어요. 특히 케로라떼 정말 반했네요.
24.8.11.일,"사장님 안녕하세요. 일요일 점심 방문한 까미 보호자 입니다. 저도 까미도 반려동물 동반 가능한 카페는 처음인지라 어설픈 부분이 많았는데, 밝게 맞이해주시고 많은 부분 웃으며 배려해주셔서 정말 감사합니다:)) 내부에 계셨던 손님분들도 까미를 다 이뻐해주신 덕분에 편하게 쉬다가 이동할 수 있었어요. 쭉 번창하세요! (라떼 왕맛있어요☕️)"
24.6.7.금,"집 근처라 매번 산책하면서 지나가다가 오늘 처음 갔는데 핸드드립 커피 맛집을 뒤늦게 알았네요, 커피도 맛있고 감각적인 내부 인테리어도 사진 찍기도 좋고.. 무엇보다 사장님이 왕왕 친절하심.. 진짜 카페 많이 다녀봤지만 자전거 타고 왔다고 센스있게 음료수 안 쏟아지게 랩핑(?)까지해서 주심😹 여기 사장님처럼 엄청 친절하신분은 처음 봤어요 담에 또 갈게요잉♥︎"
24.6.1.토,여기 두번째 간건데 사장님 너무 친절하셔요!! 커피 진짜 맛있고 카페 일본 느낌이라서 좋아요!! 사진도 잘나와요!!! 커피 시키면 포도 얼린거 주시는데 진짜진짜 맛있어요!!!
24.5.19.일,"쨍한 여름날과 잘어울리는 카페... 겨울에도 아늑하니 좋았는데, 창문을 시원하게 개방한 분위기도 정말 근사해요. 오랜만에 재방문인데 메뉴가 다양해져서 좋았어요.  시장과 대로변에서 떨어져있어서 조용하게 커피 마시고 환기하기 좋아요. 순식간에 일본의 골목길에 놀러온듯한 분위기에 짧게 기분전환하고 갈 수 있었어요."
24.4.1.월,분위기 너무 좋고 커피도 너무 맛있고 사장님도 너무 친절하신 .. 빼놓을 게 없는 곳입니다!!... 동네라 너무 좋아요 -“.”- 행복해요~... 쿠폰 찍어주는 곳이라 더 좋아요•.• 인테리어도 너무 제가 좋아하는 감성이라.... 좋아요 ... 최고....
24.3.24.일,넘 귀엽고 감성있는 카페•• 동네에 생겨서 너무 좋습니당 주말엔 사람이 많네요! 바닐라라떼가 품절돼서 그냥 라떼 마셨는데 이 날 특히 커피가 더 맛있었어요 ㅎㅎ
24.4.25.목,분위기 개성있고 독특해요 일본풍 분위기예요 글구 커피맛있고 친절하세요 재방문의사 100%입니다
24.5.26.일,호우지라떼 정말 너무 특색있고 맛있어요
24.3.31.일,"호우지라떼, 바닐라라떼 모두 맛있어요!"
23.9.28.목,원래는 커피를 마시려고 했는데 메론소다가 있길래 메론소다로 마셨어요! 어릴적 스카이락에서 먹던 추억의 맛 그대로예요
24.4.10.수,반응 남기기 방문일 24.4.10.수 2024년 4월 10일 수요일 1번째 방문 인증 수단 결제내역
24.3.1.금,반응 남기기 방문일 24.3.1.금 2024년 3월 1일 금요일 7번째 방문 인증 수단 영수증
24.2.24.토,반응 남기기 방문일 24.2.24.토 2024년 2월 24일 토요일 6번째 방문 인증 수단 영수증
24.1.28.일,반응 남기기 방문일 24.1.28.일 2024년 1월 28일 일요일 1번째 방문 인증 수단 결제내역
23.8.31.목,멀리 가지 않아도 우리동네 멋진 카페 메론소다를 맛볼수있어요!
23.10.28.토,반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 2번째 방문 인증 수단 영수증
24.2.16.금,반응 남기기 방문일 24.2.16.금 2024년 2월 16일 금요일 3번째 방문 인증 수단 영수증
23.10.29.일,조용하고 라떼가 맛있는집이네요 -
23.6.11.일,"용답에 이런 이국적이고 유니크한 카페가 있었다니요~ 매장 분위기와 인테리어 하나하나에 사장님의 취향과 정성이 담겨 있고, 음악까지 좋아 깊은 대화 나누고 여유를 만끽했습니댜><"
23.7.24.월,아늑하고 음료도 맛있고 사장님도 친절하세요~ 쿠폰 찍어주시구 음악도 일본 느낌나고 좋아용 쿠폰 다찍으면 원하는 음료 한잔 무료라고 하네욥
23.9.10.일,용답동 최고의 카페... 음악 선곡도 좋고 새로 나온 디저트도 너무 맛있어요! 왕 큰 썬드라이토마토 올라가있음😋
23.5.12.금,분위기 너무좋은 동네카페 느낌쓰! 사장님도 엄청 친절하시고 좋아요ㅋㅋ 카페다녀왔는데해외여행다녀 온듯한 힐링을 느꼈어요 ㅋㅋ
23.7.1.토,매장이 유니크하고 커피가 맛았었어요
23.8.26.토,사장님이 진짜진짜 친절하시고 라떼가 고소하고 맛있어요!!
23.6.4.일,아기자기한 공간이에요 라떼가 고소해요
23.3.23.목,마치 일본에 온듯한 깔끔함이… 너무 좋은 공간이에요. 커피와 포도도 페어링 완전 굿굿
23.1.19.목,일본감성의 아기자기한 내부인테리어도 예쁘구 씨티팝 음악까지 도쿄의 작은 카페를 다녀온 기분이었어요:) 메론소다는 비주얼만큼이나 맛이 좋더라구요 사장님의 취향이 오롯하게 느껴지는 공간이라 세심한 디테일이 돋보였습니다!
23.2.13.월,"컨셉이 독특해서 언젠간 방문해봐야지, 하고 눈여겨본 곳이에요. 부러 찾아가기에는 거리가 꽤 있어서 못 가다가, 시간이 뜨던 차에 마침 가게가 영업 중이길래 틈타서 방문했어요.  가게 내 음악은 신나는 곡들로 틀어져 있어서 예상했던 차분한 분위기는 아니었지만, 독특한 일본풍 인테리어의 밝은 가게 분위기와 묘하게 잘 어울렸어요.  늦은 시간대라 카페인이 덜한 호우지라떼를 시켰어요. 예상 외로 달지 않고 고소해서 정말 맛있었고 쿠키랑도 잘 어울렸어요. 함께 나온 포도와 물로 입가심 해가면서 먹으니 맛이 더 잘 느껴졌어요.  커피가 맛있고 사장님이 친절하시다는 리뷰를 미리 보고 갔는데, 모든 게 기대 이상이었어요. 덕분에 마감 전까지 편하게 잘 쉬다가 갑니다."
23.5.29.월,동네에서 맘놓고 갈 수 있는 카페고 편한 분위기라 넘 좋아요~~
23.1.13.금,인테리어이뻐요 동네에 이런 감성적인 카페가 생기다니~!~! 호우지라떼 꾸수하니 맛있어요 👍🏻 핸드드립커피도 있고 수족관 너무신기 새우들 이뻐요
23.5.7.일,"친절하신 사장님, 미쳐버리는 선곡 센스… 시원한 아메리카노에 후식과일까지… 나만의 방앗간으로 인정~~~"
23.3.18.토,특별한 음료와 여유로운 오후 였습니다! 친절하게 대해주셔서 감사했습니다:)
23.5.28.일,반응 남기기 방문일 23.5.28.일 2023년 5월 28일 일요일 1번째 방문 인증 수단 영수증
23.7.7.금,자주 가는 곳 ㅎㅎ
23.2.18.토,"사장님 너~무 친절하시구 음료,커피도맛있어용!!! 카페 인테리어도 예뻐서 좋아요^^"
23.8.2.수,반응 남기기 방문일 23.8.2.수 2023년 8월 2일 수요일 2번째 방문 인증 수단 영수증
23.5.1.월,몇 번을 방문했는지 모르겠어요 최고
23.3.24.금,좋네요~~한적하고 커피도 맛있어요.
23.7.6.목,반응 남기기 방문일 23.7.6.목 2023년 7월 6일 목요일 1번째 방문 인증 수단 영수증
23.6.18.일,반응 남기기 방문일 23.6.18.일 2023년 6월 18일 일요일 5번째 방문 인증 수단 영수증
23.3.23.목,반응 남기기 방문일 23.3.23.목 2023년 3월 23일 목요일 1번째 방문 인증 수단 영수증
