date,content
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
24.10.7.월,잘 놀고 잘 마셨어요
23.5.23.화,반응 남기기 방문일 23.5.23.화 2023년 5월 23일 화요일 1번째 방문 인증 수단 영수증
23.2.8.수,반응 남기기 방문일 23.2.8.수 2023년 2월 8일 수요일 1번째 방문 인증 수단 영수증
22.8.4.목,커피가 맛 있어요
22.6.30.목,반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 1번째 방문 인증 수단 영수증
22.2.26.토,싸다보니까 잘 갔다오고 있어요!!
21.5.21.금,"건강하고 맛있는 맛 플러스, 올때마다 사장님때문에 기분좋아져요:)"
21.5.6.목,반응 남기기 방문일 21.5.6.목 2021년 5월 6일 목요일 1번째 방문 인증 수단 영수증
20.10.16.금,여기 샌드위치 대박이에요
20.6.16.화,사장님 친절하시고 샌드위치가 진짜 맛있어요!!! 몇년째 간간히 잘 먹으러 오고있습니당😊😊 안에 있는 베리소스?? 가 특이하고 종종 계속 생각이 나요 햄치즈도 맛있는데 오믈렛도 맛났어요ㅎㅎ
20.9.9.수,반응 남기기 방문일 20.9.9.수 2020년 9월 9일 수요일 1번째 방문 인증 수단 영수증
20.5.4.월,반응 남기기 방문일 20.5.4.월 2020년 5월 4일 월요일 1번째 방문 인증 수단 영수증
21.2.9.화,반응 남기기 방문일 21.2.9.화 2021년 2월 9일 화요일 1번째 방문 인증 수단 영수증
19.8.29.목,친절한듯하면서도 불친절한듯도 하고...맛있는지는 않은데 그렇다고 완전 별로라고 하기는 또 뭔가 애매함. 하지만 다시 가지는 않을듯함.
