date,content
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
22.1.26.수,넘 맛있었네요~ 또 먹으러 갈게요~
21.5.11.화,한우 큼직하게 주셔서 식감이 끝내줍니다. 마장동 한우맛집으로 인정합니다. 아담하고 분위기도 조용해서 더좋은거같네요
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 1번째 방문 인증 수단 영수증
23.5.10.수,반응 남기기 방문일 23.5.10.수 2023년 5월 10일 수요일 1번째 방문 인증 수단 영수증
23.3.31.금,반응 남기기 방문일 23.3.31.금 2023년 3월 31일 금요일 1번째 방문 인증 수단 영수증
21.12.10.금,반응 남기기 방문일 21.12.10.금 2021년 12월 10일 금요일 2번째 방문 인증 수단 영수증
21.12.10.금,반응 남기기 방문일 21.12.10.금 2021년 12월 10일 금요일 1번째 방문 인증 수단 영수증
21.9.9.목,반응 남기기 방문일 21.9.9.목 2021년 9월 9일 목요일 1번째 방문 인증 수단 영수증
21.3.30.화,반응 남기기 방문일 21.3.30.화 2021년 3월 30일 화요일 1번째 방문 인증 수단 영수증
20.9.9.수,반응 남기기 방문일 20.9.9.수 2020년 9월 9일 수요일 1번째 방문 인증 수단 영수증
20.9.3.목,반응 남기기 방문일 20.9.3.목 2020년 9월 3일 목요일 2번째 방문 인증 수단 영수증
20.8.31.월,반응 남기기 방문일 20.8.31.월 2020년 8월 31일 월요일 1번째 방문 인증 수단 영수증
20.6.16.화,반응 남기기 방문일 20.6.16.화 2020년 6월 16일 화요일 1번째 방문 인증 수단 영수증
20.6.16.화,반응 남기기 방문일 20.6.16.화 2020년 6월 16일 화요일 1번째 방문 인증 수단 영수증
