date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
7.25.금,"남자친구가 커피하는데 엄청 추천해줘서 와보았습네다..❤️ 완두콩 커피라니 기대되네요..! 디카페인 변경도 무료고, 우유도 다양해서 좋은거 같아요!❤️ 다음엔 에스프레소 마시러 오려구욧 ㅎㅎ 카페두 감성적이구 예뽀요 ㅠ 왜 우리회사 바로 앞에 옶는거신지"
9.13.토,1. 아메리카노: 독특한 향 남. 호불호가 많이 갈릴 향임에도 불구하고 콩에 대한 설명 없음. 2. 핸드드립: 원두를 특정하였으나 결제 '후에' 해당 원두가 다 떨어졌다고 다른 원두로 대체해 주겠다고 통보받음. 맛이 없지는 않았지만 맛있지도 않은 커피(두종류 모두)
6.14.토,"근처 방문한김에 홀린듯 들어와서 오늘의 블랙커피를 주문했어요. 날이 좋아도 너무 좋다못해 더운날인데, 시원하게 필터커피를 마시니까 살것같아요! 목넘김이 다른곳들과 다르게 부드럽게 넘어가요. 사장님의 음악플리도 제 취향이고 딥그린우드조합의 인테리어도 제 취향입니다..! 동네엿다면 방앗간이 되엇을 거에요! 이잔 다 마시고 저는 게이샤 원두를 사가려고 합니다 ㅎㅎㅎ 우연한 행복을 마주한날이에요! 근처에 방문하게되면 또 올게요 오래오래해주세요!"
7.15.화,파나마 게이샤 넘 맛있어요🥹 커피그라니따도 처음 먹어본 맛인데 얼그레이와 커피가 합쳐진 오묘하고 달달하고 시원한게 여름에 마시기 좋아요✨ 또 올게요🫶🏻
6.14.토,사장님이 추천해주신 케이샤 드립 너무 맛있어요 샤케라또가 진짜 맛있습니다 :)  대화하기 좋은 공간에서 맛있는커피였어요
7.15.화,초록색과 원목으로 이루어진 인테리어가 너무 감각적이고 향기로운 게이샤 커피와 여름에 그라데이션 커피에서만 마실 수 있는 그라니따가 너무 맛있었습니다~~! 추천합니다👍👍
7.25.금,특별한 지인이 올때도 여기 평소 점심후 여기 원래 라떼 크림라떼 달달 마셨는데 여기 커피 맛본후 아메리카노에 눈뜸 오늘의 커피 10잔 결제하면 12장 쿠폰 줍니다 고급진 커피맛을 저렴하게 마실수 있어요 매일매일 다른 다양한 커피를 맛볼수 있지만 내 최애는 워시드 에티오피아 산 나오는날 산미 맛보는날엔 기부니가 더 좋아져요 시무실에서 여기를 오려면 경쟁 카페 9곳 앞을 지나치며 갑니다 그만큼 가치가 있어요 웬지 안사마시면 고급진 커피 마실 기회를 놓치는거 같아 아까움 자진해서 리뷰쓰고싶어 영수증 달랬더니 선물도 주심 디른곳으로 이사하면 일부러라도 찾아갈거 같아요 회사근처인게 다행이예요 이 카페땜에 회사 못관두겠어요 원래 커피에 돈 잘 안쓰는데 고급진맛이 머리에 각인되서 다른커피 돈아까워요
9.9.화,출근길 단골코스입니다 커피 전 메뉴가 맛있고 사장님 친절해서 자주 와요 !!!
8.11.월,회사 앞에 있어서 매일같이 이용하는 카페 ㅠㅠㅠ 사장님 친절하고 커피 너무 맛있어요!!
7.25.금,회사근처 카페를 찾다가 왔는데 맛있고 사장님께서 친철하셔서 앞으로 자주 올것같습니다
9.8.월,디카페인 커피도 풍미가 좋습니다.
7.15.화,벌써 4번 째 방문입니다!! 게이샤를 전문으로 하는 너무 맛있는 카페에요
7.31.목,쑥밀크티는 너무 달지 않고 적당하고 좋았어요. 오늘의 커피는 산미가 좀 있지만 딱 적당한 풍미였습니다.
3.23.일,"동네 커피 맛집이에요! 원두도 다양하고, 항상 찾아오면 기분 좋게 마시고 갑니다. 사장님도 친절하시고 커피 많이 알려주셔서 좋아요!"
3.9.일,커피가 맛있는곳이라 근처오면 들리는곳이에요! 공간이 넓진않아도 음악들으면서 커피한잔 즐기기 너무 좋은 공간이에요...✨
7.25.금,분위기 예쁘고 사장님도 친절하신 카페에요 또 올게요~!! 커피도 맛있네욥
2.3.월,"예쁜 카페만 찾아다니다가, 커피 맛에 눈 뜬 이후로 추천 받아 오게 된 카페예요! 게이샤 빌리지 쓰루마 게이샤 한 잔, 따뜻한 라떼 한 잔 마시고 갑니다:) 사장님께 저녁 영업까지 해달라고 요청드리고 왔어요...... 커피 좋아하시는 분들은 꼭 와보시길 추천드려요:)"
4.11.금,앞에서 흔들어주시는데 거품도 부드럽고 넘나 맛나네요
1.12.일,커피와 핸드드립에 진심인 사장님이 운영하는 카페라는 걸 느꼈어요. 지금까지 4주연속 매주 갈 정도로 여기 커피와 분위기를 좋아합니다^^ 다양한 원두를 마셔봤는데 다 맛있네요. 집에서 먹을 원두도 구매했어요. 반려견동반도 되어서 반려인으로써 편안하게 지내다 갈 수 있는 것도 너무 좋습니다.
3.23.일,유명해서 방문했어요! 브루잉 주문했는데 시향도 해주시고 좋았습니다 ◡̈ 브루잉 라인업도 많아서 다양한 원두 구경항 수 있습니다 !
1.24.금,거피 종류가 매우 다양해서 고르는데도 시간이 꽤걸렸어요! 밖에서부터 커피향이 솔솔나서 이끌려들어왔더니 탁월한 선택이네요!ㅎㅎ 사장님의 노래선택 센스도 넘 훌륭하시고 커피맛도 훌륭합니닷...❤️
2.11.화,사장님도 친절하시고 커피도 맛있어요! 근처에 있는줄 몰랐는데 자주 올 것 같아요 😃😀
3.9.일,성수동 제 최애 커피집!!! 이사가서 자주 못오지만 제일 좋아하는 카페에요 커피맛 최고 친절한 사장님 최고!!!!! ㅠㅠㅠ
2.2.일,드립커피 종류가 다양해요🤗 원두 추천도 해주시고 향도 맡을수 있어서 좋아요 커피 너무 맛있습니다😍
1.22.수,올 때마다 사장님이 너무 친절하시고 커피 원두도 다양해서 좋아요!! 오늘의 커피도 맛있고 원두 골라먹는 재미도 쏠쏠해요😍 강추!!
4.16.수,회사 근처 최애 카페입니다! 매일 맛있는 커피를 다양하게 먹을 수 있어서 좋아요!
1.25.토,다양한 종류의 커피들을 핸드 드립으로 즐길 수 있는 곳. 근처에 커피 가게들이 많은데 재방문하고 싶은 곳^^
4.10.목,개인소장하고 싶은 맛입니다...성수동 최고의 커피✨
3.23.일,"친구의 추천으로 방문했습니다. 커피의 종류가 되게다양하게있고, 처음 느껴보는 맛이었는데 너무 좋았습니다."
2.2.일,스페셜티커피를 배우면서 마실 수 있는 좋은 공간 다양한 싱글오리진과 게이샤 라인업이 구비돼있는 스페셜티커피 전문점.
1.24.금,회사 근처 산책하다가 발견한 카페인데 커피 종류도 많고 분위기도 너무 좋아요~~ 사장님도 너무 친절하셔서 단골되고 싶은 카페예요~!!
3.23.일,성수동에서 커피 제일 맛있는 곳
2.17.월,콜롬비아 게이샤 커피 맛이 기가막힙니다 오랜만에 재방문 했는데 커피가 더 맛있어졌어요ㅜ
2.6.목,눈 앞에서 직접 내려주시는 커피라니. 손에서 놓고 싶지 않은 커피를 만났다!!!
1.10.금,우연히 만난 커피 맛집입니다. 분위기도 good. 커피향이 너무 좋아요. 😭💕 꼭 한 번 오세요. 안 오시면 후회하실지도...
2.1.토,커피맛집인걸 회사 1년다니고 처음알았음. 몰랐던 일년이 너무 아쉽네여 사장님 친절하고 너무 커피고수같아요 🤩🤩🤩 자두에이드도 존맛
1.17.금,진짜 맛있는 커피집. 케냐 진짜 대박. 유명한 바리스타님 커피는 다르네요.
1.9.목,사무실 이사가서 멀어졌는데도 꼭 찾아가고 못갈때는 회사사람들이랑 배민으로도 자주시키는 그라데이션❣️  오늘의커피 원두도 종종바뀌고 빠르고 저렴하고 무엇보다 커피가 너무 맛있어☕️  제발 뚝섬역근처로 와주세여ㅠㅠ
2.11.화,너무 멋지고 친절하세요! 또 올게요
1.17.금,핸드드립 맛집!! 주문하면 금방 내려주셔요 내리기 전에 원두시향도 도와주셔서 조아요 커피맛도 좋습니당
1.11.토,이동네에서 제일 맛있는 커피라고 말할수 있습니당 여기 안뒤로 일주일에 한두번은 꼭 생각나서 오게되네요! 워터멜론 커피 강추입니다 ☕️
1.8.수,"필터커피 좋아하는데, 원두 종류도 많고 처음 보는 원두도 있어서 좋네요! 수박향이 나는 커피를 마셧는데, 독특한 커피 드시고싶은 분들은 추천이요🫶"
1.24.금,분위기와ㅠ인테리어가 멋져서 지나가다 슬쩍 들어왔는데 커피종류도 많고 커피도 맛있습니다.
2.9.일,"인테리어도 깔끔하고 소규모라서 조용하게 분위기 즐기기에도 좋고, 핸드드립 커피좋아하시면 무조건 가보시는거 추천해요!"
1.15.수,원두가 다양해서 뭐 마실지 고르는 맛도 있어요!!기본 아메리카노부터 게이샤까지! 맛있게 마셨습니다 :)
2.5.수,메뉴 설명에 나온 그대로의 맛이 느껴져서 너무 놀랍고 즐거웠습니다. 사진은 못찍었지만 (만들자마자 바로 마셔야 맛있다고 하셔서) 사케라또 강추드립니다!!!!!!!
2.2.일,핸드드립 커피 종류도 다양하고 너무 맛있어요!! 특히 게이샤 종류가 다양해서 고르는 재미도 있고 설명해주신 뉘앙스대로 커피에 풍미가 잘 담겨있어 정말 맛있게 마셨습니다 :)
24.11.25.월,사장님 친절하시고 커피 너무 맛있어요~ 분위기도 좋고 가끔 와서 커피 마시기 참 좋은 곳인듯 합니다.
1.8.수,"사장님, 너무 친절하시고 커피도 너무 맛있어요 💚"
2.2.일,커피 맛있어요~ 드립커피도 종류 다양합니다^^
