date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
4.4.금,메뉴 나오는데 조금 느리고 빵 종류가 많진 않지만 가성비와 친절함이 모든걸 잊게 만듭니다 주로 복권사러 오는 분들이 많아요
24.11.8.금,저렴하고 맛있고 디스플레이 실화♡ 항상 친절한사장님 덕분에 굿타임보내고가요 오늘은 기분좋게 로또도사고갑니다♡ 1등되자♡
24.11.4.월,영동대교북단정류장 맛집♡ 요기있어서 커피한잔할수있어요^^ 사장님 항상 친절하시고 오늘도 따뜻하게 몸 녹이고가여♡
24.8.3.토,가성비가 조뚭니닷. 단
24.4.9.화,귀여운 오리가 많아요 커피 쿠키 샌드위치 미숫가루 다 맛있어요 또 오고 싶어요
24.2.14.수,로또도팔고 붕어빵도 있고 커피도있고. 커피가격 적당하고 맛있어요!
24.3.14.목,우연히 걷다가 들르게 된 카페 인데 매장이 청결하고 사장님이 친절하셔서 기분좋게 커피 마셨습니다^_^  좌석도 여러개 있어 다음에 다시 들르면 매장에서 먹고 가려구용 사장님 대박나세용•_•
24.1.31.수,"매우 친절하시고 정말 기분이 좋아지는 카페에요!! 커피너 넘넘 맛있고, 가성비 쵝오입니당!! 감사합니다><!! 회사가 근처라 자주와서 사가는데 완벽한 코스+커피입니당!!"
24.2.23.금,반응 남기기 방문일 24.2.23.금 2024년 2월 23일 금요일 3번째 방문 인증 수단 영수증
24.1.17.수,딸기스무디 시켰는데 슬러시가 나와버렸어요 ㅎㅎ 양만많아요
24.1.3.수,여기 진짜 제말믿고 쿠키드셔보세요 이정도 맛과 식감에 이정도 가격이다? 이거 대한민국의 끝판이다. 샌드위치는 집에가서 먹을꺼라 후기는 다음에 쓸수있을때 얘기해드릴께요
23.10.20.금,복권사러 갔다가 카페겸 복권방이어서 빵이랑 커피 먹었는데 너무나 귀엽고+친절하시고+맛도 좋네요. 수제샌드위치 엄청 맛있어요!!!! 직접 다 만드시던데 가격도 혜자여서 앞으로 자주 갈듯해요
23.10.24.화,음료 맛있어용!!! 빵도 직접 만드셔서 그런지 맛있구 제 입맛에 딱이에옹🥐 커피랑 궁합이 좋네요😊 갈 때마다 로또 사는 재미가 쏠쏠하니까 제발 아무튼 당첨기원🙏🏻ㅋㅋㅋ
23.11.13.월,많이 달지않고 담백하게 맛있는 붕어빵 맛집이네요.
23.10.26.목,오랜만에 애호박빵 사러왔다가 붕어빵 시작했다고 하셔서 하나입에물고 오처넌어치 사가요 너무 맛잇네요ㅎㅎ저녁에 또사러 갈려고요!!
24.1.3.수,사장님이 너무 친절하시구 커피가 너무 맛있어여 수제쿠키가 쫜~득하구 너무 맛있어요 강추합니당!! 단골가게 등록할게영
23.10.25.수,"그레이덕 23.11.7.화 비엠아이45 님, 안녕하세요? 소중한 리뷰 감사합니다~! 점심시간처럼 손님들께서 몰려 오실 때는 종종 더 친절하게 응대해드리지 못하게 되는 것 같아 죄송하게 생각하고 있습니다ㅠㅠ 그래도 항상 밝은 모습으로 맛있는 커피와 디저트를 제공하기 위해 노력하는 그레이덕이 되겠습니다~ 감사합니다! ( ˃ ⩌˂) 접기"
23.12.8.금,그레이덕 24.1.5.금 ㅋㅍㅍㅍ님 안녕하세요? 소중한 리뷰 감사합니다~! 추워진 날씨 건강 유의하시고 앞으로도 그레이덕 자주 찾아주세요^^ 감사합니다! ( ˃ ⩌˂)
23.11.21.화,복권도 긁고 차도 마시고 조용히 쉬다가요~
23.10.30.월,친구 기달리려고 잠시 들어왔는데 커피 맛있네요
23.10.24.화,버스 시간이 많이 남아서 아아 마시러 왔는데 커피 저렴하고 맛있네요. 동네에서 로또 사러 멀리까지 갔었어야 했는데 버정 바로 앞이라 넘 좋아요 ㅎㅎ 다음에는 빵도 먹어보고 싶네요~
23.11.10.금,반응 남기기 방문일 23.11.10.금 2023년 11월 10일 금요일 1번째 방문 인증 수단 영수증
23.10.23.월,매주 방문하는 집 가성비 좋고 텀블러 가져가면 300원 할인해줌 요즘 붕어빵도 팔아서 매일가는중
23.11.3.금,친절하시고 가격도 저렴해서 좋아요
23.9.26.화,그레이덕 23.11.7.화 안녕하세요? 소중한 리뷰 감사합니다~! 드시는 분의 건강을 생각하며 애호박을 듬뿍 넣은 케익 메뉴를 개발해봤는데 입맛에 맞으셨다니 다행입니다. 앞으로도 건강하고 맛있는 디저트를 제공하기 위해 열심히 노력하겠습니다. 감사합니다! ( ˃ ⩌˂) 접기
23.10.24.화,지나가다가 들렸는데 너무 사장님이 친절하시고 커피맛도 좋아요!!!🥰🥰
23.10.24.화,매일 아침 출근길에 커피 테이크아웃 해가는데 커피 맛있고 가성비 좋아요!ㅎㅎㅎ
23.12.30.토,붕어빵 맛있어요. 만원이상 행운의 복권도 주시네요. 담엔 꼭 당첨되길...
