date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
7.18.금,"성수에서 진짜 제대로 된 와인 경험 하고 왔어요🍷 독일에서 십수년 살다 오신 사장님이 리슬링 와인을 한 잔씩 설명해주시는데, 지도랑 돌까지 보여주시면서 와인 수업 받는 기분! 리슬링 샘플러도 훌륭했지만 음식 만족도 진짜 미쳤어요. 슈바인스학센은 바삭하고 촉촉, 플람쿠헨은 고소하고 얇은 도우에 와인과 찰떡궁합... 분위기 좋은 데이트 장소로도 완벽했어요. 꼭 가보세요✨"
8.26.화,"와인에 대해 자세히 설명해주셔서 이제 조금은 와인을 안다고 말할 수 있을 것 같아요..! 샘플로 마신 와인들 다 너무 좋았고 소시지랑 슈바인스학세, 플람쿠헨 등 독일 음식들도 독일에서 먹던 맛이었습니다 🥹 쾰시 맥주도 맛있고요! 즐겁게 마시고 놀다 가요"
7.15.화,이곳은 성수동이 아닙니다!! 독일이에요~ 친구랑 분위기좋고 프라이빗한 와인바 찾다 들린곳입니다! 대표님께서 와인의 대한 히스토리 특징 모두 설명해주시는데 오마카세보다 훨!!!! 씬더 좋습니다~ 가격도 엄청 합리적이에요~ 다음에는 남친이랑 데이트 해야겠어요~ 성수동 방문하시는분들 예약후 꼭!!! 들려보세요~ 커피는 필수입니다!!!
10.3.금,분위기 좋은 와인바 찾아서 왔어용 리즐링 와인 처음 먹어보는데 너무 맛있네요 ♥ !! 창가자리 예약해서 왔는데 가을날씨에 너무너무 낭만있고 안주도 와인과 잘 어울리고 생소한 독일 안주들이라 잘 먹고 갑니당!!
6.6.금,와 여기 리즐링전문 와인바입니다. 리즐링을 제대로 맛보고 즐길수 있어요 그리고 음식은 리즐링 이상?으로 맛있습니다. 인테리어는 독일이나 유럽에 온듯 합니다...친절하게 설명해주신 chef님께 감사감사~~자주뵐듯요~^^
7.29.화,독일와인의 매력을 제대로 알게 되었어요~ 소세지 너무 맛있고요. 매장 아늑하고 분위기 좋아요 자주 가게 될 것 같아요~
5.28.수,성수역에서 쭉쭉 걸어가면 (8분거리) 2층에 위치한 와인레스토랑! 안주가 매우 작음 (소량) 그러나 맛은 좋아요. 슈바인스학세 (튀긴 족발) 맛나고 하트 투하트 와인 노동주인데 아주 맛나게 먹어버림! 와인 먹기 좋은곳!
6.6.금,"독일음식과 리즐링 생각이 나서 방문했어요. 바이스부어스트와 브레첼, 플람쿠헨 모두 너무 맛있었어요! 브레첼은 따뜻하게 데워주셔서 더 바삭했네요 ㅎㅎ 슈페트레제, 카비넷 한 잔씩 더 시켜서 마셔봤는데 달달하지만 각각 다른 매력이 있습니다. 다음 방문 때는 리즐링 샘플러 도전해보고 싶어요!"
4.26.토,"🍽️플람쿠헨, 올리브 🍷알테 레벤 리슬링 그룬트로 올라가는 계단에 진열된 사진부터 마음을 사로잡혔어요. 사장님이 직접 찍으신 사진들에서 이 와인집의 서사가 시작되어 와인맛이 기대 되더라고요. 추천해주신 알테 레벤 리슬링은 드라이한 화와를 좋아하는 입맛에 딱이예요! 리슬링은 달다는 편견을 깨줍니다. 유럽에 온 것 같은 인테리어도 좋았고, 사장님 메이트 고양이가 진짜 귀여워요 🥹 애교많고 호기심 많은 아깽이! 성수동 주민이라면 와인 한 잔씩 하러 가기 좋은 곳!"
8.1.금,간단하기먹기좋구 학센이 마싯다구하시더라는
6.14.토,오랜만에 애정하는 그룬트! 사장님이 독일 와인이 진심이시라 설명해주실때 눈빛이 반짝이세요✨ 믿고 마시는 추천와인 이날도 좋은 시간 보내고 왔습니당:)
7.21.월,사장님이 리슬링 와인을 좋아하시면 발생하는 그런 와인바... 독일 리슬링 안좋아하셔도 리슬링이 뭔지 아신다하면 다 오세요!! 그리고 고양이도 깜!짝!등장합니다.!!🐱
7.5.토,분명 한국 건물인데 문을 열면 유럽이에요😭 공간도 넘 예쁘고 LP음악도 좋고 와인도 한모금에 바로 사랑에 빠짐💜 잠 많은 고양이가 가끔 얼굴 보여주면 행복사합니다아..
4.18.금,남자친구랑 금요일 저녁 보내려고 왔는데 분위기도 너무너무너무 좋고 음식도 와인도 너무 맛있어요🥹💕💕💕 우연히 알게된 맛집이라 앞으로 자주 올것 같아요~! 눈도 입도 행복한 시간 아주 잘 보내고 갑니다! :)
8.16.토,분위기 좋고 맛있어요 ㅎㅎ 강추합니당 👍👍👍👍👍 다음에 또 올게요 ^_^
6.3.화,슈바인학센 두번드세요... 리슬링 와인도 여름에 너무 궁합좋고 ㅠㅠㅜ 너무 맛나요!!!
6.5.목,샘플러를 시켰는데 리슬링에 대한 강의를 듣게 되었어요! 너무 재밌는 경험이었습니다! 또 방문할게요✨
6.14.토,"친구 추천으로 왔어요! 독일 와인, 학세까지 너무 맛있어요. 와인 음식 설명도 친절히 잘 해주시고 분위기까지 좋아서 친구랑 혹은 데이트로도 오면 너무 좋을 곳이에요! 추천힙니다⭐️"
6.3.화,음식도 너무 맛있구 맥주 맛있었는데 학세하고는 와인이 잘 어울려요🤗 사장님 너무 섬세하시구 공간도 넘 깨끗하고 예쁘고 잘 관리되고 있다는걸 알 수 있어요😆
4.12.토,"오래전 인스타에서 보고 저장해 두었다가 성수 온김에 와봤는데 왠걸.... 일찍 안온 나 반성해 사장님의 센스가 깃든 인테리어, 와인 셀렉션, 요리, 음악까지... 정말 어느 하나도 빠지지않고 완벽한 디너였어요! 와인좋아하는 저와 맥주좋아하는 남편 둘다 대만족 했습니다 ㅎㅎ 퀼시 생맥은 정말 마실 기회가 잘 없는데 너무나 향기롭고 맛있었어요!!! 여기 오기위해서라도 인파를 뚫고 성수에 와야겠다 다짐했습니다 ㅎㅎ 강추강추 ! 꼭 다들 맛있는 안주에 와인 드셔보세요 와알못에게도 좋은 경험일거에요!!!!"
4.26.토,"햇살 좋은날 방문하기 너무 좋은 곳입니다🥰 사장님께서 와인 설명도 너무 잘해주시고, 와인이랑 음식 페어링도 너무 조화로워서 힐링하고 가요💚"
7.5.토,아마도 최소 5회차 방문! 성수 와인 = 그루트 입니다. 리슬링 마실 수 있는 최고의 와인바라고 자부 합니당
4.12.토,와인과 안주 모든게 완벽했습니다.. 예전에 독일 여행갔을 때 그 느낌 나서 너무 좋았어요.
