date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
9.18.목,시간날때 평일에 들렀더니 한가하고 사장님이 친절하셔서 너무 좋아요 노래도 좋고 간단한 업무나 책읽기에도 적합한것 같아요 아늑한 카페 찾으시면 추천해요!! 소금빵맛집 같아요 아아쿠폰까지..혜자예요👍🏻
6.20.금,혼자가도 여럿이 가도 좋은곳이에요 그린파파야 향기 좋아하는 카페이기도 하지만 빵 맛집 입니다😊  🥐소금빵 좋아하시면 꼭 들러보세요 성수동 자연도 소금빵 맛이랑 거의 똑같은 아니 좀더 맛있어요🧡  줄서지말고 이리로 오세요 ㅎㅎ  (용답역 2번출구랑 가까워요)  오늘도 맛있게 먹었습니다❗️  늘 바쁜와중에도 친절한 사장님 만나면 기분이 좋아져요 👍🏻😁
6.26.목,친구가 여기 진짜 맛있다고 꼭 가보라고 해서 갔어요 낮에 갓는데 소금빵 다 팔려서 좀 기다렷다가 갓 나온 소금빵먹었는데 대박 !! 유명한 소금빵 맛집 저리가라입니다 괜히 성수동가서 줄서지 마세요 친구가 강추해서 팥빙수도 먹었는데 사장님이 팥을 직접 쑤신다는 ㄷㄷ (어디 팥 쓰신댓는데 기억안나욯ㅎ) 안달고 느므 맛있어요 요근래 먹은 빙수중에 원탑 사장님 분점 내주세요...
4.29.화,날씨 좋은 날에 바람 맞으며 소금빵 먹기 참 좋습니다. 특히나 창가가 통창이여서 바람이 아주 잘 들어옵니다!  다음에는 브레드 푸딩이나 감자스프 꼭 먹어보고 싶습니다~
4.2.수,소문난 소금빵 맛집이라 오후 늦게 갔더니 (몇번 품절경험 있음^^*)  빵이 품절된줄 알고 아쉬웠는데 ㅜ 말돈 소금빵이 있어서 좋았어요^ㅇ^  골목안쪽 숨은맛집 꼭 방문해보세요  따듯한 분위기에 친절한 분위기 맛난 빵과 진하고 향긋한 커피  힐링되실거에요❣️❣️👍🏻👍🏻
