date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
9.20.토,해뮬파전이 맛있었어요 다음에 다른매뉴 먹으러 또 갈려구요
4.27.일,왕십리 근이네 포차.. 동네 맛집 포차...메뉴 다양하고 양도 푸짐하고 너무 맛있는 곳이네요.. 우연히 방문한 노포느낌의 근이네 포차.왕십리에 이런곳이 있다니 너무 좋네요.. 김치 찌개 너무 맛있고 반찬도 다양하고 즐거운 시간 이었습니다..
4.1.화,왕십리도선동 가성비 최고 친절하고 음식도 다양하게 시켜서 맛있게 먹을 수 있는 장소입니다. 사장님 너무 친절하게 잘해주심~ 바쁠때는 기다리면서 한잔두잔 술이 들어가는 곳~^^
3.3.월,"아조씨 왕십리 탐방,, 이모님,,, 손맛으로 가는 행복집,,, 방문,,,  좋은 점: 안주가 다 야무집니다,,, 이모님 혼자서 하시는데,,, 안주도 빨리 나오고,,, 요청하는 대로,,, 맞춰서 최대한 해주십니다,,, 갑오징어 코다리 꼬막 등,,, 해산물 위주도 좋고,,, 국물이나,,, 볶음도,,, 준수한 것 같읍니다,,, 유명한 곳은 아니라서,,, 조용히 앉아서 마시기 좋읍니다,,,  아쉬운 점: 딱히 없읍니다,,, 그냥 조용히,,, 알짜로 드실려면,,, 가십시오,,, 굳이 따지면,,, 동네 작은 술집 치고는,,, 안주 가격은 조금 높은 편입니다,,,  행복은,,, 어디에나 있는 것,,,^^"
8.9.토,반응 남기기 방문일 8.9.토 2025년 8월 9일 토요일 1번째 방문 인증 수단 영수증
24.11.21.목,반응 남기기 방문일 24.11.21.목 2024년 11월 21일 목요일 1번째 방문 인증 수단 영수증
24.6.29.토,이차로 갔는데 가성비도 좋고 메뉴도 싹이라 너무 괜찮았어요!
24.4.9.화,갑오징어 맛있어요. 왕십리에서 어디 갈까 고민하다 먹으러 갔는데 잘먹었어요.
24.3.6.수,소소하게 한잔하기 딱
23.1.9.월,맛잇게 잘 먹엇습니다
22.11.16.수,반응 남기기 방문일 22.11.16.수 2022년 11월 16일 수요일 2번째 방문 인증 수단 영수증
22.7.18.월,가오리찜 볼라파서리찜  오징어 볶음 진짜 맛있습니다. 숨겨진 맛집 나만 알고 싶었는데.. 미리 요청하면 삼겹살도 가능! 된장찌개에 집반찬까지 왕십리오시면 꼭 오세요!!!
22.7.20.수,"태어나서 리뷰 처음 작성합니다. 입소문나서 웨이팅 생기면 불리하지만 그래도 너무 맛있습니다. 골뱅이 뿐만 아니라 두부김치, 닭똥집, 가오리찜,각종 전 등 거의 전메뉴 다 먹어봤는데 진짜 다 맛있습니다. 참고로 사장님께서 전라도분이셔서 그런지 진짜 메인 외에 사이드도 맛있습니다. 왕십리 숨은 맛집 근이네 포차 최고입니다~!!"
22.9.26.월,집앞에서 술한잔하기 편한곳! 이모님도 친절하세요
22.11.4.금,반응 남기기 방문일 22.11.4.금 2022년 11월 4일 금요일 1번째 방문 인증 수단 영수증
22.7.16.토,반응 남기기 방문일 22.7.16.토 2022년 7월 16일 토요일 1번째 방문 인증 수단 영수증
21.7.8.목,반응 남기기 방문일 21.7.8.목 2021년 7월 8일 목요일 2번째 방문 인증 수단 영수증
21.5.25.화,반응 남기기 방문일 21.5.25.화 2021년 5월 25일 화요일 1번째 방문 인증 수단 영수증
20.2.2.일,반응 남기기 방문일 20.2.2.일 2020년 2월 2일 일요일 1번째 방문 인증 수단 영수증
