date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
5.5.월,금란시장 건너편 흑염소탕을 먹다. 다른 곳하곤 맛이 특이하다. 육개장 국맛이다. 맛있게는 먹었다. 점심 시간인데 손님이 없다. 불경기라서 인가? 어찌되든 건강하세요♡♡
9.3.수,반응 남기기 방문일 9.3.수 2025년 9월 3일 수요일 1번째 방문 인증 수단 영수증
24.9.2.월,반응 남기기 방문일 24.9.2.월 2024년 9월 2일 월요일 3번째 방문 인증 수단 영수증
24.4.20.토,금호동 찐맛집. 안가면 후회해요~
24.8.8.목,반응 남기기 방문일 24.8.8.목 2024년 8월 8일 목요일 2번째 방문 인증 수단 영수증
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 7번째 방문 인증 수단 영수증
24.5.3.금,반응 남기기 방문일 24.5.3.금 2024년 5월 3일 금요일 1번째 방문 인증 수단 영수증
24.2.27.화,반응 남기기 방문일 24.2.27.화 2024년 2월 27일 화요일 6번째 방문 인증 수단 영수증
24.1.20.토,반응 남기기 방문일 24.1.20.토 2024년 1월 20일 토요일 5번째 방문 인증 수단 영수증
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 4번째 방문 인증 수단 영수증
23.12.2.토,반응 남기기 방문일 23.12.2.토 2023년 12월 2일 토요일 3번째 방문 인증 수단 영수증
23.11.25.토,반응 남기기 방문일 23.11.25.토 2023년 11월 25일 토요일 2번째 방문 인증 수단 영수증
23.7.14.금,반응 남기기 방문일 23.7.14.금 2023년 7월 14일 금요일 1번째 방문 인증 수단 영수증
23.5.12.금,반응 남기기 방문일 23.5.12.금 2023년 5월 12일 금요일 1번째 방문 인증 수단 영수증
23.7.20.목,반응 남기기 방문일 23.7.20.목 2023년 7월 20일 목요일 1번째 방문 인증 수단 영수증
22.10.12.수,반응 남기기 방문일 22.10.12.수 2022년 10월 12일 수요일 1번째 방문 인증 수단 영수증
21.6.27.일,반응 남기기 방문일 21.6.27.일 2021년 6월 27일 일요일 1번째 방문 인증 수단 영수증
21.1.29.금,반응 남기기 방문일 21.1.29.금 2021년 1월 29일 금요일 1번째 방문 인증 수단 영수증
21.1.29.금,반응 남기기 방문일 21.1.29.금 2021년 1월 29일 금요일 1번째 방문 인증 수단 영수증
21.6.27.일,반응 남기기 방문일 21.6.27.일 2021년 6월 27일 일요일 1번째 방문 인증 수단 영수증
20.10.28.수,반응 남기기 방문일 20.10.28.수 2020년 10월 28일 수요일 1번째 방문 인증 수단 영수증
20.10.28.수,반응 남기기 방문일 20.10.28.수 2020년 10월 28일 수요일 1번째 방문 인증 수단 영수증
20.6.15.월,반응 남기기 방문일 20.6.15.월 2020년 6월 15일 월요일 1번째 방문 인증 수단 영수증
20.7.10.금,진짜 친절하시고 맛있어요!!
