date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
8.12.화,"족발 대자 앞다리살 시켜 먹었는데 여전히 쫀득하니 맛있었어요..오뎅,유부탕도 서비스로 주시니 더 맛있었네요~ 3명이 푸진 저녁이었습니다~^^"
5.27.화,지인분이 맛있다해서 첨 방문한 곳인데 족발 잡내도 없고 쫄깃하니 맛있었어요~ 사장님이 오뎅도 서비스로 주시고 친절하시더라구요..담에 또 재방문각!!!
5.10.토,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 5.10.토 2025년 5월 10일 토요일 65번째 방문 인증 수단 영수증
4.30.수,반응 남기기 1 명 방문일 4.30.수 2025년 4월 30일 수요일 64번째 방문 인증 수단 영수증
3.29.토,반응 남기기 방문일 3.29.토 2025년 3월 29일 토요일 63번째 방문 인증 수단 영수증
24.8.11.일,"오랜만에 다시 방문했는데, 족발은 이미 재료소진이여서 보쌈 작은거랑 막국수큰거 먹었어요. 막국수양이 엄청많아요. 보쌈은 엄청 부드럽고 맛있고, 김치도 좋고, 친절하시고 다 좋았습니다."
3.3.월,반응 남기기 방문일 3.3.월 2025년 3월 3일 월요일 62번째 방문 인증 수단 영수증
24.8.10.토,"족발이랑 수육보쌈, 막국수랑 아가들때문에 잔치국수 먹었는데 너무너무 맛있었어요~시장근처라 주차는 좀 힘들지만 주차해놓고 걸어갈 가치있어요👍🏻❤️"
1.4.토,반응 남기기 방문일 1.4.토 2025년 1월 4일 토요일 61번째 방문 인증 수단 영수증
24.4.7.일,"보쌈 중을 시켜서 먹었는데 고기가 부드럽고 따뜻하게 먹을 수 있고 양도 많아요. 김치는 머 말할것도 없이 맛있고, 어묵탕? 국물을 주시는데 이것도 맛있어요. 전체적으로 자극적인 맛이 아니라서 좋았고, 친절하셔서 기분이 더 좋았어요. 자주가고싶은집이에요."
24.11.24.일,반응 남기기 방문일 24.11.24.일 2024년 11월 24일 일요일 60번째 방문 인증 수단 영수증
24.10.25.금,반응 남기기 방문일 24.10.25.금 2024년 10월 25일 금요일 59번째 방문 인증 수단 영수증
24.9.22.일,반응 남기기 방문일 24.9.22.일 2024년 9월 22일 일요일 58번째 방문 인증 수단 영수증
24.8.13.화,반응 남기기 방문일 24.8.13.화 2024년 8월 13일 화요일 57번째 방문 인증 수단 영수증
24.7.31.수,반응 남기기 방문일 24.7.31.수 2024년 7월 31일 수요일 56번째 방문 인증 수단 영수증
24.7.14.일,반응 남기기 방문일 24.7.14.일 2024년 7월 14일 일요일 55번째 방문 인증 수단 영수증
24.6.23.일,반응 남기기 방문일 24.6.23.일 2024년 6월 23일 일요일 54번째 방문 인증 수단 영수증
24.6.1.토,반응 남기기 방문일 24.6.1.토 2024년 6월 1일 토요일 53번째 방문 인증 수단 영수증
24.5.19.일,반응 남기기 방문일 24.5.19.일 2024년 5월 19일 일요일 52번째 방문 인증 수단 영수증
24.5.3.금,반응 남기기 방문일 24.5.3.금 2024년 5월 3일 금요일 51번째 방문 인증 수단 영수증
24.3.30.토,반응 남기기 방문일 24.3.30.토 2024년 3월 30일 토요일 50번째 방문 인증 수단 영수증
24.3.18.월,반응 남기기 방문일 24.3.18.월 2024년 3월 18일 월요일 49번째 방문 인증 수단 영수증
24.2.26.월,반응 남기기 방문일 24.2.26.월 2024년 2월 26일 월요일 48번째 방문 인증 수단 영수증
24.2.18.일,반응 남기기 방문일 24.2.18.일 2024년 2월 18일 일요일 47번째 방문 인증 수단 영수증
24.2.4.일,반응 남기기 방문일 24.2.4.일 2024년 2월 4일 일요일 46번째 방문 인증 수단 영수증
24.1.18.목,반응 남기기 방문일 24.1.18.목 2024년 1월 18일 목요일 45번째 방문 인증 수단 영수증
23.12.14.목,반응 남기기 방문일 23.12.14.목 2023년 12월 14일 목요일 44번째 방문 인증 수단 영수증
23.12.3.일,반응 남기기 방문일 23.12.3.일 2023년 12월 3일 일요일 43번째 방문 인증 수단 영수증
23.11.18.토,반응 남기기 방문일 23.11.18.토 2023년 11월 18일 토요일 42번째 방문 인증 수단 영수증
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 41번째 방문 인증 수단 영수증
23.10.29.일,반응 남기기 방문일 23.10.29.일 2023년 10월 29일 일요일 40번째 방문 인증 수단 영수증
