date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
24.9.5.목,마장동 축산물 쪽에 카페 장소 좁아요 사장님 친절해요
24.3.18.월,반응 남기기 방문일 24.3.18.월 2024년 3월 18일 월요일 1번째 방문 인증 수단 영수증
23.7.6.목,반응 남기기 방문일 23.7.6.목 2023년 7월 6일 목요일 3번째 방문 인증 수단 결제내역
23.6.28.수,반응 남기기 방문일 23.6.28.수 2023년 6월 28일 수요일 2번째 방문 인증 수단 결제내역
23.2.7.화,반응 남기기 방문일 23.2.7.화 2023년 2월 7일 화요일 1번째 방문 인증 수단 결제내역
22.6.13.월,반응 남기기 방문일 22.6.13.월 2022년 6월 13일 월요일 1번째 방문 인증 수단 영수증
22.8.23.화,반응 남기기 방문일 22.8.23.화 2022년 8월 23일 화요일 1번째 방문 인증 수단 영수증
