date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
9.13.토,방이 먹자골목에 위치한 김경자 원조손 칼국수 다녀왔어요  대표 메뉴인 칼국수와 보쌈이 함께 나오는 세트 메뉴를 주문했습니다  칼국수는 국물이 진하고 시원했고 멸치 향이 어우러져 담백하면서 시원한 국물 맛이 좋았어요  면은 탱글하면서도 부드러워 먹는 내내 질리지 않았습니다  면의 굵기가 다 다르고 수제비도 추가되어 손칼국수 느낌이 제대로 나와서 좋았습니다  칼국수에 보쌈까지 더해 양은 생각보다 넉넉했고 고기가 잡내 없이 담백해 칼국수와 잘 어울렸어요  김치와 곁들이니 느끼함이 잡히고 보쌈 고기의 맛이 더 살아났습니다  세트 가격이 합리적이라는 느낌이었고 칼국수 한 그릇에 보쌈까지 더해 든든하게 마무리할 수 있었습니다  다만 점심 피크 시간에는 자리가 빨리 차서 웨이팅을 할 수도 있습니다
10.18.토,보쌈 : 고기는 잡내는 없고 첫식감은 부드러웠지만 식고나니 약간 퍽퍽함 비칼 vs 손칼 = 압도적 손칼 멸치국물 베이스라 깔끔하고 군더더기없었음 칼국수에 온힘을 실었다!!!
9.26.금,친구가 보쌈 먹고싶대서 잠실역 근처 보쌈집 찾아보다가 발견. 가성비도 너무 좋고 맛도 너무 좋았다!! 특히나 김치가 아주그냥 요물이었음. 김치 한 항아리 다 먹을뻔했다 ㅎ 칼국수도 너무 맛있었다!!!ㅎㅅㅎ
10.11.토,"보쌈, 비빔밥, 칼제비 먹었습니다. 정말 맛 있어요."
10.9.목,칼제비 맛있어요 수제비만 있는 메뉴도 생기면 좋겠어요 양도 많고 맛있어요 혼밥장소로 좋아요🫶🏻
9.17.수,손칼국수 세트 가격도 저렴하고 양도 푸짐하고 너무 맛있어요💛 손님도 엄청 많고 친절하셔요! 김치도 깔끔하게 맛있고 특히 보쌈고기에 같이 나오는 양념김치가 👍👍
10.11.토,"보쌈, 비빔밥 모두 맛 있습니다. 전용 주차공간이 없어서, 인근 공영주차장에 주차 합니다."
9.29.월,본점에서 너무 맛잇게 먹은 기억이 잇어서 체인점 생긴거 너무 좋아요!! 게다가 본점만큼 맛나요 양도 엄청 많습니다
8.18.월,가족과 함께 간 방이동 칼국수집 보쌈 정식과 김치 맛나네요
9.17.수,반응 남기기 방문일 9.17.수 2025년 9월 17일 수요일 1번째 방문 인증 수단 영수증
9.19.금,가성비 좋고 양도 많고 줄서는 이유가 있어요
8.21.목,"손칼국수 set 12,000원 양 진짜 많고 맛있어요 혼밥장소로도 좋고 음식도 빨리 나와요 👍"
6.13.금,"같이 식사한 분들이 모두 세트로 드셨는데, 다들 배불러했어여~ 그만큼 양이 넉넉! 보쌈고기도 야들야들 맛있었구여!"
9.29.월,좋아요.  점심에 사람 많고 잘 됩니다.
3.22.토,오픈하고 계속 궁금햇는데 근처 갈일 있어서 방문해보앗어요😚 세트로 시키면 고기도 같이 나오는데 양이 딱 좋아요! 같이 나오는 김치도 맛있고 기본으로 나오는 김치도 너무 맛있어서 김치맛집인것 같아요👍 직원분들도 친절하시고 손님 많지만 음식도 오래기다리지 않고 바로 나와요! 저렴하지만 음식도 깔끔하고 식당도 매우 청결하게 관리하고 계신것 같아요💯
7.16.수,비빔밥이나 칼국수 세트에 곁들어 나오는 보쌈 너무 맛있어요.사람들이 줄서는 이유가 있네요.롯데에서 5분 정도 걸어가면 되는데 가성비도 좋고 맛있게 먹고 왔어요.
3.15.토,"현대백화점까지 가지않아도 김경자 손칼국수, 보쌈집 생겨서 너무 좋아요. 오픈했을 때 가보고 또갔는데 너무 맛있어요. 고물가시대에 착한 가격, 푸짐한 식사 즐길 수 있는 곳 김치 정말 맛있어요. 그리고 세트메뉴만 먹었었는데 보쌈 단품 무조건 추천합니다. 너무 맛있어요. 특히 보쌈김치 양 정말 많고 시원하고 맛있어요. 다음에 또 갈게요 ^^"
9.2.화,가까워서 점심에 가기 좋아요.  김치도 맛있어요.
6.25.수,칼국수는 경자~! 커피는 메가~!
10.4.토,반응 남기기 방문일 10.4.토 2025년 10월 4일 토요일 1번째 방문 인증 수단 영수증
9.3.수,반응 남기기 방문일 9.3.수 2025년 9월 3일 수요일 2번째 방문 인증 수단 영수증
5.31.토,세트메뉴가 알차고 맛있어요
10.16.목,맛있네요 사람 많아요
7.16.수,반응 남기기 방문일 7.16.수 2025년 7월 16일 수요일 11번째 방문 인증 수단 영수증
5.9.금,비가 오면 생각나는. 메뉴로 무난무난
3.22.토,와.이동네에 이정도가격에 이정도 양을 먹을수 있다니.맛도 좋아요~~
7.17.목,반응 남기기 방문일 7.17.목 2025년 7월 17일 목요일 3번째 방문 인증 수단 영수증
7.15.화,반응 남기기 방문일 7.15.화 2025년 7월 15일 화요일 3번째 방문 인증 수단 결제내역
5.19.월,반응 남기기 방문일 5.19.월 2025년 5월 19일 월요일 1번째 방문 인증 수단 영수증
5.1.목,지나가던길에 우연히 들어갔는데 맛도 너무 좋고 보쌈이랑 김치랑 다 너무 맛있었습니다
1.25.토,"비빔밥과 칼국수는 7,000원에 보쌈을 추가하면 12,000원 세트로 식사를 즐길 수 있습니다. 보쌈도 맛있고 비빔밥에 국물도 있어서 가성비와 맛 다 좋은 식당이고 오픈 키친이라 더 안심하고 먹을수 있는 것 같습니다."
6.27.금,반응 남기기 방문일 6.27.금 2025년 6월 27일 금요일 2번째 방문 인증 수단 영수증
1.20.월,이..이럴수가 보쌈 김치의 밤 넣어주는 집은 처음 보쌈김치에 🌰 넣어주는 집은 처음 보았습니다 가격대비 맛 훌륭하구 혼밥 너무 좋습니다!
2.28.금,칼국수 세트 맛있어요! 몇번 방문했는데 직원분들도 친절하시고 맛있어요!! 비빔밥도 맛있어용!! 혼밥하기도 좋아요!
24.11.11.월,보쌈이랑 칼국수 너무 좋아하는데 이집은 두가지를  한번에 맛볼수있는 셋트메뉴가 있어서 넘 좋았습니다  새로 오픈한곳이라 매장도 깔끔하고요  맛있게 잘 먹고 나오려는데 국물에 이상한게 둥둥  떠있어서 찜찜하긴했지만 다먹고 본거라 어쩔수  없었습니다 그게 먼지 아직까지 궁금하긴합니다...😓  김치도 칼국수에먹는김치랑 보쌈김치가 따로나와서  너무 좋았구요 전체적으로 너무 좋았습니다  반창하세요~
1.9.목,"보쌈중자입니다. 고기냄새안나고부드러워요. 개인적으로 비계를안먹는데 비율이거의반반이라 전별로였어요. 그리고 고기두께도일정하지않아요. 칼제비도먹었는데, 수제비가 두꺼워서 그냥칼국수가나을듯합니다. 양념장(다데기)넣어드시면얼큰하니맛있어요. 보쌈김치와 일반김치둘다맛있어요."
2.19.수,"추위 녹이러 들러봤는데, 맛집을 찾은 것 같아 기분이 좋네용☺~ 손칼국수 너무 맛있어요!! 양도 푸짐하고 김치도 제가 많이 먹는 편인데 기본으로 충분했어요. 또 들릴게요❤"
6.3.화,깔끔하고 양도많고 너무 맛있게 잘먹었습니다👍
8.25.월,반응 남기기 방문일 8.25.월 2025년 8월 25일 월요일 2번째 방문 인증 수단 영수증
4.4.금,정말 넘넘 맛있습니다 :)
1.16.목,날씨가 추워서 칼국수가 생각나서 오랜만에 먹었는데 여전히 맛있고 국물이 진하고 고기도 맛있게 잘 먹었습니다. 직원분들도 다 친절하시고 동네에 맛집이 생겨서 좋습니다!
3.17.월,사람 많은데에는 다 이유가 있네요 ㅎ직원분들도 친절하시고 보쌈 칼국수 모두 만족스럽습니다
3.19.수,넘 자주가나 싶기도
4.26.토,좋아요 좋아요 좋아요 좋아요
8.18.월,반응 남기기 방문일 8.18.월 2025년 8월 18일 월요일 1번째 방문 인증 수단 영수증
10.1.수,반응 남기기 방문일 10.1.수 2025년 10월 1일 수요일 2번째 방문 인증 수단 영수증
1.31.금,칼국수 국물 맛있고 꼬막 비빔밥두 맛있어요 7천원이라닝 가성비 좋아요 ❤️🫢
3.17.월,점심엔 사람 완전 많아요
2.17.월,"수제비를 좋아하는데 수제비 맛있는 곳은 찾기 힘듦!  세트가 12,000원 완전 가성비 맛집"
24.10.10.목,우선 잡다한거 없이 딱 필요한 찬으로 구성 되어있는게 진짜 맛으로만 승부본다는 느낌인데 역시나 뭐 하나 거를거 없이 모두 맛있었습니다😋 앞으로도 자주 방문할 생각입니다! 브레이크타임 10분전에 갔었는데 끝까지 친절히 응대해주셔서 감사했습니다:) 브레이크타임 참고해서 다음에 또 오겠습니다 맛있게 잘 먹었어요⭐️⭐️⭐️⭐️⭐️⭐️
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 8번째 방문 인증 수단 영수증
24.9.30.월,"손칼국수 좋아해서 들렀는데 넘 맛있어요 👍 육수와 면발, 김치까지 끝내줍니다. 가볍게 트렌드를 따라다니는 맛이 아니라 오히려 조리장님의 뚝심으로 대중을 끌어당기는 듯한 근본 그 자체를 보여주는 맛이라는 느낌을 받았습니다. 먹다가 사진을 뒤늦게 찍어서 아쉽네요ㅜㅜ 양도 많아요! 또 올게요"
24.12.6.금,점심시간에 왔는데 칼국수 칠천원에 김치도 너무 맛있고 양도 진짜많아요! !! 맛있는 곳 찾았어요💖 어쩐지 사람이 많더라구요! 꼭 다시 올게요 !👍👍
2.3.월,"칼국수 양 너무 많아서 깜짝 놀랐어요,, 비빔밥 맛있어요"
