date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.2.화,반응 남기기 방문일 9.2.화 2025년 9월 2일 화요일 3번째 방문 인증 수단 영수증
24.12.11.수,김밥한줄만매번사가는데 사장님이 넘친절하셔서 기분 좋아요🩷
24.8.9.금,친절하신 사장님^^ 음식 다 맛있어요~~~
24.6.27.목,김밥최상 하지만 브레이크타임 있음 조심
23.12.14.목,김밥 맛집이네요 자주 올께요^^
24.1.5.금,김밥이 넘 맛있어용 ㅎ ㅎ 👍👍
23.8.1.화,김밥진짜맛있어요! 다른메뉴도 다맛있고 두분다 갈때마다 반겨주셔서 갈때마다 웃게되는곳이에요
23.3.10.금,진미김밥 52줄 주문했어영! 회사 단체 주문 했는데 직원들 반응이 제일 좋았던 진미김밥으로 통일 했습니당 하앍 진짜 매콤하고 너무 맛있어영 매주 50줄씩 저희 야식을 책임져 주시는 사장님 너무너무 감사합니당ㅎ 단체주문 항상 친절하게 받아주시고 시간 딱딱 맞춰서 준비해 주셔서 편리하게 픽업할 수 있어용.
23.8.7.월,사장님 두 분 너무 친절합니다 .
23.4.3.월,친절하시고 가성비 좋으면서 맛도 괜찮음
23.12.13.수,반응 남기기 방문일 23.12.13.수 2023년 12월 13일 수요일 1번째 방문 인증 수단 영수증
23.6.16.금,제발 무슨 김밥 인지 표시좀. 해주세요~~ㅠㅠ 호일을 다 까봐야 알아요~ㅠㅠ
23.4.4.화,사장님 두분다 친절하시고 멸추김밥 먹었는데 맛있더라구요.
23.8.17.목,반응 남기기 방문일 23.8.17.목 2023년 8월 17일 목요일 1번째 방문 인증 수단 영수증
23.5.8.월,점심시간 라면!! 뇸뇸
23.2.10.금,정말 친절하시구 맛있어요 :)
23.6.3.토,반응 남기기 방문일 23.6.3.토 2023년 6월 3일 토요일 2번째 방문 인증 수단 영수증
23.4.4.화,김밥 맛있고 친절해요.
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 1번째 방문 인증 수단 영수증
22.12.16.금,종종 저희직원들 식사챙기느라 포장해서 먹습니다. 너무 맛있습니다. 마약넣은거 같습니다. 중독마냥.. 믿고 먹습니다. 감사합니다.
22.12.2.금,김밥이 맛있어요 ^^
23.2.6.월,반응 남기기 방문일 23.2.6.월 2023년 2월 6일 월요일 2번째 방문 인증 수단 결제내역
23.1.10.화,반응 남기기 방문일 23.1.10.화 2023년 1월 10일 화요일 1번째 방문 인증 수단 영수증
23.2.8.수,반응 남기기 방문일 23.2.8.수 2023년 2월 8일 수요일 1번째 방문 인증 수단 결제내역
22.10.5.수,친절하고 김밥도 굿~~~
23.2.28.화,반응 남기기 방문일 23.2.28.화 2023년 2월 28일 화요일 1번째 방문 인증 수단 영수증
22.11.3.목,반응 남기기 방문일 22.11.3.목 2022년 11월 3일 목요일 1번째 방문 인증 수단 영수증
22.9.28.수,반응 남기기 방문일 22.9.28.수 2022년 9월 28일 수요일 1번째 방문 인증 수단 영수증
22.7.29.금,반응 남기기 방문일 22.7.29.금 2022년 7월 29일 금요일 1번째 방문 인증 수단 영수증
22.6.22.수,사장님 부부 친절하시고 음식도 너무 맛있어요^^
22.6.9.목,김밥 맛있네요 친절하시구요
22.6.7.화,반응 남기기 방문일 22.6.7.화 2022년 6월 7일 화요일 1번째 방문 인증 수단 영수증
22.8.16.화,행사가 있을때마다 주문하는데 맛있어요
21.11.23.화,반응 남기기 방문일 21.11.23.화 2021년 11월 23일 화요일 33번째 방문 인증 수단 영수증
21.4.21.수,모듬김밥최고 서비스도 최고~ 한번가세요 두번가세요 매일가고싶어용
21.3.24.수,오늘 점심도 회사 사람들이랑!!!! 회사랑 가까워서 죠타♡♡ 뇸뇸
21.7.9.금,돈까스 김밥 맛있어요
21.4.5.월,계란안먹는 언니가 시킨 진미김밥 내가시킨 소고기김밥 나는 소고기김밥을 시켰지만 언니의 진미김밥을 다 뺏어먹었쪙 매워매워
21.10.7.목,반응 남기기 방문일 21.10.7.목 2021년 10월 7일 목요일 9번째 방문 인증 수단 영수증
21.3.23.화,와...더블치즈떡볶이 미쳤어요!! 가격도 착하고 치즈도 혜자스러운데 맛까지있어요!살짝매콤하고 달달구리😍사진찍는걸깜빡하고 먼저떡을먹어서 이쁘게는못찍었지만 정말맛있어요! 주시는 그 국물이랑 김밥도 먹느라 찍지도못했네요! 참치김밥에 국물찍어먹으면 그냥..휴..또먹고싶네요.사장님들도 친절하시고 단무지도 많이달라니 많이주셔서 좋았습니다. 단무지를먹은건지..밥을먹은건지...😅😅또 먹으러갈게요!!여러분 고민은 시간만늦출뿐입니다. 두번드세요 세번드세요!!
21.5.20.목,치킨마요 미쳤네요 혼밥족한터 딱이야 지금까지 먹은 치킨마요중에 탑찍었다
21.3.23.화,회사 사람들 하고 치킨마요 뇸뇸 사장님 친절 하세요! 점심시간에 자리가 없어서ㅜㅜ 저번주 수요일부터 계속 못먹고 돌아갔어영ㅜㅜ
21.7.13.화,반응 남기기 방문일 21.7.13.화 2021년 7월 13일 화요일 6번째 방문 인증 수단 영수증
21.7.2.금,반응 남기기 방문일 21.7.2.금 2021년 7월 2일 금요일 3번째 방문 인증 수단 영수증
21.5.12.수,반응 남기기 방문일 21.5.12.수 2021년 5월 12일 수요일 3번째 방문 인증 수단 영수증
21.6.10.목,반응 남기기 방문일 21.6.10.목 2021년 6월 10일 목요일 32번째 방문 인증 수단 영수증
21.5.9.일,너무너무 친절하시고 항상 기분좋게 먹고 있습니다^^
21.6.8.화,반응 남기기 방문일 21.6.8.화 2021년 6월 8일 화요일 31번째 방문 인증 수단 영수증
21.3.16.화,진미김밥 죤맛집! 내앞사람 10줄싸는거 기다렸다가 받아왔다!!! 부들부들.... 오래걸려도 진미김밥은 못참지!
21.7.20.화,반응 남기기 방문일 21.7.20.화 2021년 7월 20일 화요일 8번째 방문 인증 수단 영수증
21.7.16.금,반응 남기기 방문일 21.7.16.금 2021년 7월 16일 금요일 7번째 방문 인증 수단 영수증
21.3.5.금,오늘 떡볶이 맵게 시켜봤는데 엽떡보다 맵다ㅜㅜ 얼큰라면 땡초김밥 떡볶이 맛있게 매움 스트레스 다 풀림
21.3.8.월,진미김밥 매워서 자꾸땡기는맛ㅜㅜ 출근할때 회사사람들 잠깨라고 한조각씩 나눠줌ㅋㅋ
21.5.20.목,반응 남기기 방문일 21.5.20.목 2021년 5월 20일 목요일 27번째 방문 인증 수단 영수증
21.4.13.화,반응 남기기 방문일 21.4.13.화 2021년 4월 13일 화요일 21번째 방문 인증 수단 영수증
21.2.16.화,"치즈김밥,참치김밥은 항상 여기에서 먹어요! 꾸덕꾸덕 참치김밥 내취향.. 우엉을 좋아하는데 우엉 많이 넣어달라고 부탁드리면 진짜 엄청넣어서 말아주심ㅋ.ㅋㅇ"
21.3.17.수,맛있고 친절하세요! 후식으로 요구르트까지 주셔서 좋았어요^^
21.7.8.목,반응 남기기 방문일 21.7.8.목 2021년 7월 8일 목요일 4번째 방문 인증 수단 영수증
