date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
10.17.금,리뷰 잘 안쓰는 편인데 .. 요즘 이 가격에 이렇게 푸짐한 김밥 찾기 힘든데 맛도 좋아서 놀랬습니다 .. 진심 가성비 최고입니다 .. 재료가 푸짐해서 입에 한가득이라 넘 맛있어여 ㅋㅋㅋ큐ㅠ 앞으로 김밥은 김앤밥만 이용할거 같아영
9.19.금,맛은 있는데 사장님 혼자 바쁘셔서 오래 걸리고 태도가 불친절함
8.8.금,맛은 참 맛있는데.. 위생은 조금 신경쓰셔야할 것 같습니다
8.27.수,"김밥말면서 마스크없이 김밥,재료향해서 기침하고 말하고..더러워요"
5.1.목,반응 남기기 방문일 5.1.목 2025년 5월 1일 목요일 1번째 방문 인증 수단 영수증
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 3번째 방문 인증 수단 영수증
4.7.월,반응 남기기 방문일 4.7.월 2025년 4월 7일 월요일 2번째 방문 인증 수단 영수증
24.10.24.목,언제나 친절하시고 맛있어요~ 정감있는 김밥집 ㅎㅎ 직장인들 점심 단골집이에요
1.3.금,반응 남기기 방문일 1.3.금 2025년 1월 3일 금요일 1번째 방문 인증 수단 영수증
24.5.13.월,계란김밥은 계란에 간이 안되어 있는지 심심한 맛이였고 고추김밥은 고추가 거의 쌩 청양고추 풋내가 나서 좀 아쉬웠습니다. 고추가 좀 더 절여 졌어야 하는것 같은데 뭔가 안맞고 따로 노는 느낌. 간이 전체적으로 약해서 웰빙 좋아하시는 분들 추천~
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 1번째 방문 인증 수단 영수증
24.1.26.금,반응 남기기 방문일 24.1.26.금 2024년 1월 26일 금요일 2번째 방문 인증 수단 영수증
24.1.11.목,반응 남기기 방문일 24.1.11.목 2024년 1월 11일 목요일 1번째 방문 인증 수단 결제내역
24.1.15.월,반응 남기기 방문일 24.1.15.월 2024년 1월 15일 월요일 13번째 방문 인증 수단 영수증
23.12.27.수,반응 남기기 방문일 23.12.27.수 2023년 12월 27일 수요일 12번째 방문 인증 수단 영수증
24.1.2.화,반응 남기기 방문일 24.1.2.화 2024년 1월 2일 화요일 3번째 방문 인증 수단 결제내역
23.7.14.금,맛있고 빨라서 자주가는곳입니다 어느새부턴가 깨 안뿌려주셔서 아쉽습니다ㅠ
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 1번째 방문 인증 수단 영수증
23.7.12.수,매장 위생은 쫌 그런데 메뉴는 먹을만 해용😍
23.7.21.금,가게는 좁지만 맛있어서 가요!!
23.9.14.목,반응 남기기 방문일 23.9.14.목 2023년 9월 14일 목요일 11번째 방문 인증 수단 영수증
23.9.5.화,반응 남기기 방문일 23.9.5.화 2023년 9월 5일 화요일 1번째 방문 인증 수단 결제내역
23.5.11.목,주인 두분 모두 늘 적당한 친절함을 유지하셔서 부담스럽지않고 편안합니다. 분식이지만 음식도 깔끔하고 담백해서 집밥 느낌이라 종종 찾곤합니다.
23.3.6.월,반응 남기기 방문일 23.3.6.월 2023년 3월 6일 월요일 1번째 방문 인증 수단 결제내역
23.3.6.월,라면 앤 김밥 이렇게 먹으면 7천원 ㅋ 존맛턍
23.6.16.금,반응 남기기 방문일 23.6.16.금 2023년 6월 16일 금요일 10번째 방문 인증 수단 영수증
23.6.12.월,반응 남기기 방문일 23.6.12.월 2023년 6월 12일 월요일 9번째 방문 인증 수단 영수증
23.1.10.화,우연히 방문했는데 김밥과 라면조화가 환상이었습니다.
23.6.9.금,반응 남기기 방문일 23.6.9.금 2023년 6월 9일 금요일 8번째 방문 인증 수단 영수증
23.6.7.수,반응 남기기 방문일 23.6.7.수 2023년 6월 7일 수요일 7번째 방문 인증 수단 영수증
23.2.2.목,라면과 김밥만 특화해서 팔아서 좋아요
23.5.23.화,반응 남기기 방문일 23.5.23.화 2023년 5월 23일 화요일 1번째 방문 인증 수단 결제내역
23.5.17.수,반응 남기기 방문일 23.5.17.수 2023년 5월 17일 수요일 6번째 방문 인증 수단 영수증
23.5.16.화,반응 남기기 방문일 23.5.16.화 2023년 5월 16일 화요일 5번째 방문 인증 수단 영수증
23.5.8.월,반응 남기기 방문일 23.5.8.월 2023년 5월 8일 월요일 4번째 방문 인증 수단 영수증
23.3.9.목,반응 남기기 방문일 23.3.9.목 2023년 3월 9일 목요일 1번째 방문 인증 수단 영수증
23.5.1.월,반응 남기기 방문일 23.5.1.월 2023년 5월 1일 월요일 3번째 방문 인증 수단 영수증
23.1.3.화,깁밥엔 라면이 진리인데 김앤밥이 진리입니다:)
23.4.18.화,반응 남기기 방문일 23.4.18.화 2023년 4월 18일 화요일 2번째 방문 인증 수단 영수증
23.1.20.금,처음 생겼을즈음부터 다녔는데 맛있고 깔끔합니다.
23.4.12.수,반응 남기기 방문일 23.4.12.수 2023년 4월 12일 수요일 1번째 방문 인증 수단 영수증
