date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
9.27.토,"저 백숙 진짜 좋아하는데 그 중에서도 항상 죽 제일 좋아하거든요,, 근데 누룽지? 이건 못참쥬 ,, 바삭하고 고소한 누룽지가 가득 들어간 삼계탕이 17,000원이면 진짜 가성비 좋고 든든하게 한끼 먹었어요 몸보신으로 제격 매장에서 먹었는데 배달 및 포장도 많이 오고 ~~ 너무 좋더라구오 추천"
8.24.일,그냥 닭백숙은 안 땡기고 꼭 누룽지닭백숙이 먹고싶어서 찾다가 간 곳 인데 진짜 맛있네요. 양이 엄청나게 푸짐해요. 안에 누룽지 정말 꼬숩고 닭도 너무 부드럽고 맛있어요 :) 매장은 엄청 크진 않았고 배달로도 많이 시켜드시는 것 같았어요. 주차가 좀 애매해서 다음엔 포장이나 배달로 먹으려구요 !
8.19.화,누룽지닭죽은 처음먹어보는데 완전 맛있어요! 누룽지가 닭국물에 잘 스며들어서 딱딱하지도 않고 너무 흐물거리지도 않고 맛있어요!! 닭도 잘 삶아져서 퍽퍽하지 않고 부들부들 맛있더라구요!! 사이드 왕만두도 속이 꽉 차서 완전 맛있어요~~ 세트로 먹으면 500원 더 저렴하니 세트로 시키세요!
9.3.수,이름도 귀여운 꼬숩다 누룽지 닭죽 닭이랑 누룽지랑 같이 나오는데 비주얼도 너무 좋아요 날씨도 더웠는데 몸보신 되는 느낌이에요 새로 생겨서 깨끗하고 깔끔해서 좋아요 🤭👍
9.9.화,"몸이 좋지 않아 속에 부담 없는 음식을 찾던 중 이곳을 발견했습니다.  첫인상부터 정말 만족스러웠어요. 매장이 깔끔하게 정리되어 있고, 위생적인 환경이 눈에 띄었습니다. 몸이 아플 때 찾는 곳이라 더욱 신경 쓰이는 부분인데, 안심하고 식사할 수 있는 분위기였어요.  닭죽은 정말 기대 이상이었습니다. 진한 닭육수에서 우러나는 깊은 맛이 일품이고, 닭고기도 부드럽게 잘 익어있어 소화에도 전혀 부담이 없었어요. 죽의 농도도 적당해서 마지막 한 숟가락까지 맛있게 먹을 수 있었습니다.  무엇보다 사장님의 따뜻한 배려가 인상 깊었어요. 챙겨주시는 모습에 마음까지 따뜻해졌습니다.  아플 때뿐만 아니라 평소에도 자주 찾고 싶은 곳이에요. 몸에 좋은 음식을 정성스럽게 만들어주는 이런 가"
8.23.토,누룽지를 정말 좋아해서 가봤는데 맛있었어요. 닭도 부들부들하고 작지만 한마리가 들어가서 한 그릇 다 못먹을 정도로 배불렀어요.
8.9.토,복날이라서 누룽지삼계탕 먹으러 왔는데 너무 맛있게 잘 먹었어요! 삼계탕 중에서도 누룽지 삼계탕이 많이 없는데 여기 리얼 누룽지 삼계탕입니다. 너무 맛있어서 다음에 또 오려구영~~~ 😘
8.4.월,여름 보양식으로 최고인듯요!! 특히 양이 진짜 넘사벽으로 많아서 가성비 짱!! 고소하고 담백하고 건강한 맛이라 남녀노소 맛있게 즐기실수있어요✨
8.9.토,포장주문인데 매장앞은 정차도 어려울듯하여 근처 아파트인근에 잠깐 주차하고 포장했어요 미리 전화하니 예상시간 알려주시고 시간맞춰가니 준비가 되어있었어요 부모님께서 맛있다고 잘 드셨네요
8.2.토,복날에 닭요리 먹어줘야죠! 요즘 삼계탕 맛있는곳 찾기 어려웠는데 여긴 찐으로 맛있어요
7.7.월,닭죽 양 진짜 많습니다!! 누룽지가 있어서 진짜 구수하고 맛나요 배달손님 많은 이유를 알것같아요 ㅎㅎ 만두도 속 꽉차있으니 추천!! 사장님도 정말 친절하셔요 >_<
7.13.일,누룽지가 바삭바삭하고 고소해서 넘 별미네요~ 특히 닭이 푹 익어서 사르르 녹내요❤️ 그리고 소금간이 안되있어서 취향껏 쳐서 먹을 수 있는 부분이 젤 맘에 들었어요~ 조만간 또 방문드릴게요❤️
7.18.금,직원들과 초복에 삼계탕 먹으러 같어요..지인분들이 맛있게 먹고 가리켜줘서 방문했는데 뚝배기에 한마리가 있어서 누룽지도 맛있게 먹었어요.. 깔끔하니 좋아요^^
7.5.토,누룽지옷을 입은 삼계탕이라니 올여름 몸보신이 필요한 당신께 한그릇 드립니다
8.5.화,배달 시켜먹고 맛있어서 매장와서 먹었는데 매장에서 먹으니 더 맛있어요 🥹🥹 사장님도 친절하시고 몸보신 제대로 하고 갑니다 재방문의사 1000% 에요 ❤️❤️
4.20.일,삼계탕에 가까운 진한 국물과 누릉지에 바삭과 부드러운 맛이 동시에 느껴져서 맛있고 재미있었어요 닭이 크고 부드러워서 고기의 맛과 양은 만족스러웠어요 가게 안은 깔끔하고 아담해요 ^^
3.17.월,잘먹고갑니다~~음식이 정말 맛있어요!!^^
24.12.15.일,누룽지닭죽 간이 슴슴하고 양도 적당해요. 만두도 맛있어요. 포장했는데 반찬이 더 넉넉하면 좋겠어요.
