date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
24.9.16.월,앞으로 추석엔 무조건 꽃자람 꽃송편 할거에요. 어르신들이 너무 기뻐하셔서 정말 뿌듯하더라고요ㅎㅎㅎ 맛도 너무 달지 않고 담백하고 은은한 단맛이 최고에요. 무엇보다 너무 이뻐서 눈물나요 ㅋㅋㅋ큐ㅠㅠ
24.5.29.수,원데이클레스 예약해서 6명 수업들었어요. 각자 개성이다양한데 선생님께서 잘설명해주셔서 너무 재미있게배웠어요. 와우 떡케이크만들기가 이렇게 심오한작업인줄 몰랐네용 오늘행사있는데 특별한 기념이 될것같아용  친절한 쌤이셔요. 또올게용
24.4.23.화,친구가 할머니 생신케이크 주문햇는데 너무 맛있엇다구 해서 찾아보다 원데이클래스하길래 ㅋㅋ (제가하고싶어서..) 조카 핑계로 초딩 조카랑 갔는데 선생님이 너무 잘 알려주시고 무엇보다 조카가 넘 좋아하네요!!!ㅋㅋㅋ 집중도 평소에 못하는애가 만든다고 고사리손으로 집중해서 만드는거 보니 기특하기도하고 ㅋㅋㅋㅠㅠ 초딩아이랑 가시는거 추천드려요 ㅋㅋㅋ 그 정신산만한 애가 집중도 해서 열시미 만드느 ㅣ 기특 ㅋㅋ 화과자도 넘 맛있엇어요!!! 아껴먹느라 지금 냉동실에 있는데 자연해동 하면서 먹으면 맛잇어요~~ 담에는 조카빼고 저 혼자가볼게요~~~~
