date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
24.10.18.금,"간단하게 사먹기 너무 좋아요! 꽈배기는 폭신한 식감이 너무 좋았고, 떡꼬치는 양념이 새콤달콤해서 너무 좋아요! 요즘도 이런 가격이 가능했다니 대박이에요 회사일하다 가볍게 먹고 돌아오면 기분이 좋아용~~"
24.4.24.수,분식류가 먹고싶어서 갔는데 떡볶이 김밥 튀김 다 맛있었고 생각보다 양이 많아서 남겼어요~ ㅎㅎ 이름처럼 꽈배기와 치킨도 맛있게 하시는것 같아요~!! 다음에 기회되면 먹어봐야겠어요~~
23.12.27.수,학교앞이라그런가 김밥이 살짝 단맛이 있네요
23.9.26.화,경수중학교 앞. 분식집. 친절하고 저렴하고 맛나요~ 떡볶이도 맛있고 김밥도 맛있어요~
23.9.22.금,요새 같은 고물가 시대에 분식값이 착한 몇 안되는 곳 맛있는 음식 저렴하고 좋아요
23.10.13.금,인근에서 저렴하고 배불리 먹을 수 있는 곳 이랍니다
23.6.2.금,"3,500원 떡볶이가 생각보다 칼칼하고 매운데 맛있어요. 가격대비 양도 많아요. 다 먹고 입이 매워서 천원짜리 슬러시 추가했어요"
23.3.17.금,"꽈배기맛집! 핫도그,김밥,떡볶이~ 다 맛있어요! 특히 꽈배기가 👍👍 앞으로 꽈배기는 여기서만 사먹을꺼에요"
23.3.7.화,동네 꽈배기 맛집
22.12.19.월,친절하시고 맛있습니다~! 주변 학생들이 방앗간 처럼 들리는 거보면 이유가 있네요. ㅎㅎ
23.4.14.금,반응 남기기 방문일 23.4.14.금 2023년 4월 14일 금요일 1번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 1번째 방문 인증 수단 영수증
23.8.14.월,반응 남기기 방문일 23.8.14.월 2023년 8월 14일 월요일 3번째 방문 인증 수단 영수증
23.8.2.수,반응 남기기 방문일 23.8.2.수 2023년 8월 2일 수요일 2번째 방문 인증 수단 영수증
23.8.1.화,반응 남기기 방문일 23.8.1.화 2023년 8월 1일 화요일 1번째 방문 인증 수단 영수증
22.6.4.토,맛있는 음식들이 다양하게 많아서 좋았습니다!!
22.4.30.토,꽈배기는 쫀득하니 맛있고 핫도그.팥도너츠 다 맛있었어요. 후라이드치킨도 웨지감자까지 있어서 맛있게 먹었습니다. 떡볶이 양도 많고 맛있어요~ 다음에 또 주문할게요!^^
22.11.10.목,친절하고 가까워서 좋아요
22.1.21.금,꽈배기에 반한 치킨 22.6.17.금 맛있게 드셨다니 다행입니다! 앞으로도 더욱더 노력하는 꽈배기에 반한 치킨이 되겠습니다! 리뷰 정말 감사합니다❤️
22.6.13.월,꽈배기에 반한 치킨 성수점 22.6.17.금 맛있게 드셨다니 다행입니다! 앞으로도 더욱더 노력하는 꽈배기에 반한 치킨이 되겠습니다! 리뷰 정말 감사합니다❤️
22.4.15.금,꽈배기에 반한 치킨 성수점 22.6.17.금 맛있게 드셨다니 다행입니다! 앞으로도 더욱더 노력하는 꽈배기에 반한 치킨이 되겠습니다! 리뷰 정말 감사합니다❤️
22.3.3.목,꽈배기에 반한 치킨 성수점 22.6.17.금 맛있게 드셨다니 다행입니다! 앞으로도 더욱더 노력하는 꽈배기에 반한 치킨이 되겠습니다! 리뷰 정말 감사합니다❤️
