date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
10.14.화,성수동 배달 1위 빵 방문해서 겟 했어요 !
8.30.토,딱 동네빵집! 가볍게 한두개사서 배채우기좋아요
7.25.금,퇴근길에 매번 들리는 기분좋은 동네 빵집입니다 :) 사장님 부부가 되게 친절하시고 시즌마다 다양한 빵도 맛볼 수 있어서 좋아요.. 번창하셔서 오래오래 동네 지켜주셨으면 좋겠습니다✨️🫡
4.18.금,반응 남기기 방문일 4.18.금 2025년 4월 18일 금요일 2번째 방문 인증 수단 영수증
2.9.일,반응 남기기 방문일 2.9.일 2025년 2월 9일 일요일 1번째 방문 인증 수단 영수증
24.11.29.금,저렴한 가격에 슈톨렌을 먹을 수 있다니! 너무 좋아요
4.11.금,반응 남기기 방문일 4.11.금 2025년 4월 11일 금요일 1번째 방문 인증 수단 영수증
3.22.토,반응 남기기 방문일 3.22.토 2025년 3월 22일 토요일 13번째 방문 인증 수단 영수증
3.7.금,반응 남기기 방문일 3.7.금 2025년 3월 7일 금요일 12번째 방문 인증 수단 영수증
2.3.월,반응 남기기 방문일 2.3.월 2025년 2월 3일 월요일 11번째 방문 인증 수단 영수증
24.8.16.금,빵 땡길 때 가볍게 사가기 좋아요.
24.11.21.목,반응 남기기 방문일 24.11.21.목 2024년 11월 21일 목요일 10번째 방문 인증 수단 영수증
24.4.16.화,종류도 다양한데 가격도 착해요! 맛도 있습니다 ㅎㅎ 사장님도 정말 친절하세요
24.6.21.금,동네 빵 맛집입니다 :)
24.4.19.금,가끔 사먹기 좋아요~
24.2.24.토,고구마 빵이 제가 생각했던 쫀득한 빵이 아니고 좀 딱딱한?? 그런 빵이어서 아쉬웠어요! 고로케는 무난합니다
24.4.26.금,자주 가는 빵가게 옛날 빵 느낌이에요~
24.3.26.화,반응 남기기 방문일 24.3.26.화 2024년 3월 26일 화요일 1번째 방문 인증 수단 결제내역
24.1.25.목,친절하시고 빵 맛있는 동네빵집이에요! 이런 동네빵집이 많이 있으면 좋겠어요 😃
24.5.25.토,반응 남기기 방문일 24.5.25.토 2024년 5월 25일 토요일 1번째 방문 인증 수단 영수증
24.1.16.화,친절하시고 빵도 다양해요. 맛있는데 가격까지 착해서 좋아요
24.4.26.금,반응 남기기 방문일 24.4.26.금 2024년 4월 26일 금요일 1번째 방문 인증 수단 영수증
24.1.6.토,너무 친절하고 빵도 맛있어요
24.5.28.화,반응 남기기 방문일 24.5.28.화 2024년 5월 28일 화요일 9번째 방문 인증 수단 영수증
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 8번째 방문 인증 수단 영수증
24.4.19.금,반응 남기기 방문일 24.4.19.금 2024년 4월 19일 금요일 7번째 방문 인증 수단 영수증
24.4.13.토,반응 남기기 방문일 24.4.13.토 2024년 4월 13일 토요일 6번째 방문 인증 수단 영수증
23.5.16.화,에그타르트가 너무 맛있어요.. 자꾸 생각나서 몇시간 뒤에 또 사러갔어요 타르트지가 진짜 짱입니다!!! 고구마파이도 넘 쫀득하구 맛있고 다른 빵들 다 먹어보고 싶어요ㅜㅜ 글구 빵이 너어어어무 저렴해서 놀랐어요!!
24.4.9.화,반응 남기기 방문일 24.4.9.화 2024년 4월 9일 화요일 5번째 방문 인증 수단 영수증
24.1.12.금,반응 남기기 방문일 24.1.12.금 2024년 1월 12일 금요일 1번째 방문 인증 수단 영수증
24.3.24.일,반응 남기기 방문일 24.3.24.일 2024년 3월 24일 일요일 4번째 방문 인증 수단 영수증
23.6.25.일,샌드위치랑 애플파이 맛있네요^^
24.3.10.일,반응 남기기 방문일 24.3.10.일 2024년 3월 10일 일요일 3번째 방문 인증 수단 영수증
24.3.6.수,반응 남기기 방문일 24.3.6.수 2024년 3월 6일 수요일 2번째 방문 인증 수단 영수증
23.5.13.토,존 맛 탱! 빵기사님께.. 빵이 너무너무 맛있다고 말하고싶었는데 소심해서 못말씀드렸어요…. 😭  집이 좀 거리가 있는데 중랑천 산책하러가는길에 자주 들러요!  고구마 파이 소보로 파이 맛있엇는데 걍 웬만한빵 다 맛있어요 파리바ㅇ트 저리가라임 ㅎㅎ  다른빵찝은 별루 먹을게 없어서 못고르겟는데 여기는 진심 다 담고싶어요 👍
23.11.9.목,반응 남기기 방문일 23.11.9.목 2023년 11월 9일 목요일 1번째 방문 인증 수단 영수증
24.1.19.금,반응 남기기 방문일 24.1.19.금 2024년 1월 19일 금요일 1번째 방문 인증 수단 영수증
23.11.22.수,동네 정겨운 빵집이에요
23.4.27.목,샌드위치 넘 맛있어요
23.7.27.목,반응 남기기 방문일 23.7.27.목 2023년 7월 27일 목요일 1번째 방문 인증 수단 영수증
23.7.21.금,반응 남기기 방문일 23.7.21.금 2023년 7월 21일 금요일 4번째 방문 인증 수단 영수증
23.7.19.수,반응 남기기 방문일 23.7.19.수 2023년 7월 19일 수요일 3번째 방문 인증 수단 영수증
23.7.18.화,반응 남기기 방문일 23.7.18.화 2023년 7월 18일 화요일 2번째 방문 인증 수단 영수증
23.8.17.목,반응 남기기 방문일 23.8.17.목 2023년 8월 17일 목요일 5번째 방문 인증 수단 영수증
23.7.12.수,반응 남기기 방문일 23.7.12.수 2023년 7월 12일 수요일 3번째 방문 인증 수단 영수증
