date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
9.3.수,양모듬 2인세트랑 명란밥 먹었는데 너무너무 맛있었어요👍 양고기 질이 좋아서 잡내 하나 없고 직원분이 직접 구워주셔서 더 맛있게 즐길 수 있었어요🥩🔥 특히 명란밥은 찰밥처럼 쫀득한 식감에 짭짤하고 고소해서 별도로 또 먹고 싶을 정도였어요🍚💕 분위기도 좋아서 데이트나 모임 장소로 딱! 강추합니다🙌
9.25.목,"봉명동 양고기 맛집하면 노마드! 양고기 부위별 세트메뉴도 있어서 골라먹기 좋고, 직접 그릴링해주시는 서비스덕분에 편하게 먹을 수 있어요ㅎㅎ 분위기도 좋아서 대전 데이트코스로 손색없는 봉명동 맛집입니당~"
9.7.일,일단 여기 분위기 맛집이에요!양고기집 몇군데 가봤지만 넓고 데이트하기 딱 좋은 곳 단체로도 오기 좋아요 직원분께서 직접 구워주셔서 편하게 먹을 수 있고 화로도 따로 세팅되어 있어 고기 구운 정도도 조절할 수 있어요 분위기도 좋고 맛도 좋은 봉명동 양고기 맛집 노마드!양고기 먹고 싶을 땐 아묻따 노마드로👏
9.11.목,"오랜만에 가족끼리 외식하러 노마드 왔어요 :) 양모듬 2인세트 먹었는데, 너무 맛있어서 또 추가했어요.ᐟ 분위기도 너무 좋고 고기도 맛있게 잘 구워주셔서 맛있게 잘 먹었습니다♥️ 그리고 명란밥도 추천.ᐟ 꼭드세요.ᐟ.ᐟ 짜지않고 같이 나온 김에 먹으니 순삭이었습니다~~ 너무 좋은 식당을 찾게되어 기분좋아요 다음엔 지인들 데리고 오겠습니다아 ◡̎"
9.9.화,날씨가 선선해지니 통창 활짝 열려있어서 시원하니 분위기도 좋고 사장님이 너무 친절하셔서 기분 좋은 식사 할 수 있었어요! 무엇보다 고기가 맛있어서 아기도 엄청 잘 받아먹어서 좋았습니다!! 재방문의사 200%💙
9.30.화,간만에 기름칠하러 노마드 방문했는데 진짜 부드럽고 적당히 기름진게 너무 맛있어요 🩷 다음에 회식장소로 여기 추진하고 싶을 만큼 만족스러운 식사했습니다 ㅎㅎ
