date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
9.22.월,"낙타커피로스터스 로스터리 카페 방문 주문. 사진에서처럼 원두 다양하고, 첫 방문이라 고민이 깊어질 때쯤, 👩‍🦰사장님 안내에 따라서 맞춤으로 주문했다. 라떼 기본에서 원두 변경으로 4,300원으로 주문했는데, 설명해주셨던 맛으로 잘 내려진 것 같았다. 라떼 거품의 텍스쳐도 좋고, 입안에 머금고 있을 때의 맛도 몽글몽글 했다. 공간은 협소하지만, 그래도 마시고 가기에 괜찮다. 내가 방문했을 때, 평일 피크시간을 지나서 방문했어서, 동네 주민 2명과 바리스타 지인에게 소개받아서 찾아오는 손님 1명이 있었다. 다음에 방문할 때에는 아메리카노 라인업도 마셔볼 계획이다."
8.18.월,오랜만이에용 낙타커피🐪☕️ 뚝섬가면 절대가야하는 저의 최애 낙타커피😍 영업종료시간이 다가오고 늦을까봐 진짜 열심히 갔더니 여윽시 우리 세계제일 친절하신 우리 싸장님이 반겨주셨어요👍🏻 급하게 소금라떼와 자메리카노 주문!! 저의 최애 메뉴들은 오랜만에 마셔도 변함없이 짱짱 맛있지 모에용🤩 이맛에 땀흘리며 오쥬😘 싸장님 다음에는 여유있게와서 마시고 갈래요오!!!🥰 낙타커피최고오👍🏻
9.19.금,Best coffee in the neighborhood for the best price. I've taken all my friends to the place and everyone loved the coffee here. Be sure to visit if you are around because the owner is super nice and ultra friendly. ^^)
7.11.금,천도복숭아쥬스 시원하고 맛있어요~ 매장 바쁠땐 qr로 주문 넣을 수 있어서 편합니다
9.15.월,수박쥬스가 이제 종료가 되어서 복숭아 쥬스를 마셨어요. 근데 진짜 복숭아를 갈아주셔서 타 매장의 복숭아 쥬스와는 다르게 인공적인 복숭아 향이 아닌 실제 베어문듯한 복숭아맛이 나서 너무 좋았어요.
9.17.수,딸기라떼도 너무 맛있네요 헤헤
8.29.금,항상 맛있는 낙타
5.22.목,항상 맛있습니다! 사장님도 친절하시구요.
9.16.화,커피도 맛있고 시원해요.
6.17.화,항상 친절하시고 음료도 맛나요!
5.26.월,반응 남기기 방문일 5.26.월 2025년 5월 26일 월요일 8번째 방문 인증 수단 포장주문
4.21.월,수박쥬스 시원하고 맛있어요 강추~
5.22.목,더워지니까 수박쥬스가 더 맛있어요
8.11.월,반응 남기기 방문일 8.11.월 2025년 8월 11일 월요일 14번째 방문 인증 수단 포장주문
3.10.월,커피 맛있고 분위기도 좋아용
4.15.화,드립백 사러 다녀왔어요. 언제먹어도 낙타카페가 최고! 커피도 이렇게 예쁜잔에 서비스로 주셔서 잘마셨습니다 :)
3.20.목,너무 맛있어요! 애플 민트티 최고 👍
3.7.금,애플 민트티 최애 음료입니당~ 너무 맛있어요
5.14.수,사장님 넘 친절하시고 커피도 너무 마싯어요 30년 인생 첨 입니다!!
6.11.수,반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 11번째 방문 인증 수단 포장주문
2.26.수,항상 일정양은 집에 챙겨두어야 하는 드립백이에요~ 맛도 향도 늘 최고!
2.27.목,친절하세요. 커피맛도 좋습니다.
5.20.화,반응 남기기 방문일 5.20.화 2025년 5월 20일 화요일 6번째 방문 인증 수단 포장주문
24.11.12.화,다양한 블랜딩 원두 등이 있어요. 추천도 잘해주셔서 맛있게 먹고 왔어요. 밖에서보면 커피집?!인가 긴가민가 합니다. 원두 판매도 하고 커피집이 성수 쪽에는 하도 많은데 들려보셔도 좋습니다.
2.18.화,언제와도 맛있는 카페 인정! 라떼 좋아하면 꼬옥 가세요 :)
3.26.수,반응 남기기 방문일 3.26.수 2025년 3월 26일 수요일 4번째 방문 인증 수단 포장주문
2.17.월,언제나 맛있는 커피를 마실 수 있는 곳. 그저그런 커피에 질린 사람들에게 커피의 즐거움을 제공해 주는 가게입니다.
24.12.27.금,약배전 룰로 원두 맛있어요~~
2.12.수,라떼 맛집이에요!! 여기커피 마시면 다른커피 못마셔용
3.20.목,반응 남기기 방문일 3.20.목 2025년 3월 20일 목요일 3번째 방문 인증 수단 포장주문
24.11.27.수,에티오피아 콜롬비아 블렌드였는데 약간 치즈향 같은 느낌이 나면서 정말 맛있었습니다. 점심에 여기 커피 한잔 마시면 행복해져요.
24.12.17.화,정말 매번 후회가 없는 선택입니다.
24.12.19.목,누군가 커피를 배워야 한다면 여기서 배워야 한다는 게 학계의 정설
24.12.26.목,안쪽에 자리를 마련해주셨는데 아늑하게 커피를 마실 수 있었어요
24.11.15.금,회사 근처라 방문했는데 분위기가 너무 좋아요 😆 밤라떼 무조건 드세요!!!
24.11.18.월,따듯하고 맛있고 게이샤 쵝오👍
24.11.6.수,"항상 맛있고 친절해요🙂 네이버 포장 주문하고 방문했는데, 네이버 포인트도 쌓여서 주문할 때마다 할인받는 것 같아요~!"
24.11.15.금,넘나 사랑하는 카페 아메리카노 플렉스 너무 맛남
24.11.19.화,점심시간에 갔어요. 커피 맛있어요!
24.11.15.금,항상 친절하게 좋은 커피 만들어 주시는 것 같아 감사드립니다! 고객 입맛에 적합한 커피를 만들어 주시려고 해서 항상 맛있게 느껴집니다! 감사합니다.
24.11.14.목,언제나 친절하신 사장님이 좋아요 커피도 다양하고 취향에 맞춰서 원두도 추천해주세요!!
24.11.29.금,"계속 생각날만큼 맛있고, 네이버 포장으로 편하게 테이크아웃해가네요"
24.11.5.화,최애 커피 입니다. 맛있어요
24.11.19.화,성수동 커피맛집!!!!! 사장님도 너무 친절하시고 원두도 다양한데 맛도 고퀄이라 N년째 방문하고있습니다 💛
24.11.26.화,예약으로 픽업시간 알 수 있어 좋았어요.  커피도 맛있는건 물론이구요!
24.6.18.화,커피 좋아해서 이리저리 댕기는 아재인데 여기는 꾸준히 커피맛 유지해줘서 너무 감사해요. 유명 스페셜티 전문점들 퀄리티 유지 못한곳이 많은데여긴 언제나 맛있고 재미있는 커피들이 있네요. 사장님도 친절하시고 너무 좋습니다.
24.11.11.월,사실상 커피의 근본이며 종가집
24.11.5.화,밤라떼 맛있어요! 🌰
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 3번째 방문 인증 수단 매장주문
24.4.19.금,특이한 커피 원두가 많아요! 치즈향이 나는 원두는 처음 먹어보는데 재밌는 경험이었어요 평일에만 여는 귀한 카페라 꼭 와보고 싶었는데 넘 좋았습니당🩷
24.3.21.목,뚝섬오면 꼭 찾는 저의 최애카페😍 🐪☕️ 몇년전 뚝섬 처음 왔던날 특별한 커피집 찾아 열심히 돌아다니다가 여기다! 하고 처음방문했던게 벌써 몇년전?! 우리 사장님은 여전히 친절하시고 예쁘세용❤️ 낙타커피 #소금라떼 드셔보세요 여러부운!! 크림이 기가맥혀요!!!! 아 추가로 턱별한 커피 원하신다면 제가 완전 애정하는 #자메리카노도 당연히 추천! 🐪🐪🐪🐪🐪🐪🐪🐪🐪🐪🐪🐪🐪🐪
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 1번째 방문 인증 수단 포장주문
24.5.16.목,좋은 커피 맛집 같아요.  사장님이 굉장히 친절하고 커피도 맛있습니다.  원두 종류도 다양해서 좋아하는 커피성향 말씀드리면 친절하게 알려주실 수 있을 것 같아요.  추천드립니다. ㅎㅎ
24.5.2.목,소금라떼 마셨어요 굿굿 ✨️
24.6.27.목,"사장님이 얼마나 커피에 진심이신지가 느껴져서 갈 때마다 기분좋고, 향긋한 향과 신선한 커피 맛에 코와 입도 즐거운 곳❤️ 오래오래 해주세요:)"
24.2.6.화,귀여운 낙타커피🤤🤤🤤 소금라떼 맛있어요🤡💕🤡💕
24.5.10.금,반응 남기기 방문일 24.5.10.금 2024년 5월 10일 금요일 1번째 방문 인증 수단 영수증
23.12.12.화,소금라떼 생각날때면 찾아오게되는거 같아요~! 날은춥지만 오늘도 맛있게 마시고 감니다~!ㅎㅎ
23.10.13.금,색다른 식당을 찾아 골목길에 들어갔다가 우연히 발견한 숨어있던 특별한 커피숍 낙타~~  거의 매일 점심 먹고 커피 사러 들리는 단골이 된지도 몇달인데 아직도 매일 매일 아이스라떼가 너무너무 맛있어요~  이런 맛집 오래 갈수 있도록 많이 방문하시라고 커피숍 방문리뷰 처음 올려봅니다~~
23.12.11.월,쿠폰북이 너무 귀여워요. 얼른 채우고 싶게 생겼어요. 커피맛집
24.5.27.월,반응 남기기 방문일 24.5.27.월 2024년 5월 27일 월요일 1번째 방문 인증 수단 영수증
23.11.21.화,소금라떼 마시고 감니다 단짠단짠하니 제입맛에 딱인듯~
23.11.8.수,날씨가 추워져도 아이스아메 아이스라떼 맛있어요~~
23.5.15.월,"최근 마신 산미 있는 커피중 최고였습니다. 디카페인은 고구마맛이나서 깜짝놀랐어요! 지인 기다리느라 안에서 마셨는데 테이크아웃이랑 원두구매하는분들이 더많으신거겉아요. 같이간 지인도 맛보고 좋다고 원두 드립백으로 몇개 사갔어요!! 원두 판매, 원두 고르면 그자리에서 드립백으로도 갈아 만들어주세요"
23.6.15.목,"우연히 처음 와보고 근처 올때마다 들려요. 일단 커피 너무 맛있고 사장님도 친절하게 추천을 잘해주십니다. 가게마다 스페셜티 로스팅이라고 해도 맛있다 정도만 느끼는데, 여기는 정말 원두마다 맛과 향이 특색있어서 마시는재미도있고 맛도 정말 좋아요.. 오늘은 소금라떼마셨는데 크림이일단 너무고소하고 신선해서 놀랐고, 커피도 맛있어서 크림이랑 같이 마시니 극락이었습니다. 담에또갈게요!!"
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 3번째 방문 인증 수단 결제내역
23.6.1.목,시그니처 커피들이 참 맛있어요
23.9.8.금,최애 커피집입니당 :)
23.9.13.수,최애 커피집 :)
23.7.7.금,반응 남기기 방문일 23.7.7.금 2023년 7월 7일 금요일 1번째 방문 인증 수단 영수증
23.8.22.화,반응 남기기 1 명 방문일 23.8.22.화 2023년 8월 22일 화요일 5번째 방문 인증 수단 영수증
23.5.12.금,밸런스 아아 너무 맛있슴다🙂
23.10.11.수,반응 남기기 방문일 23.10.11.수 2023년 10월 11일 수요일 1번째 방문 인증 수단 결제내역
23.4.25.화,소금커피 참 맛나용
23.2.24.금,반응 남기기 방문일 23.2.24.금 2023년 2월 24일 금요일 1번째 방문 인증 수단 영수증
