date,content
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""양이 많아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.13.월,퇴근 후 자주 찾는 펍이에요! 늘 올때마다 친절하시고 쾌적해서 자주오게되네용 올때마다 시키는 코젤 생맥주는 꼭 생크림 + 시나몬 버전으로 드세요!!! 애정하는 곳이라 오래오래 뚝섬역에 남아있어줬으면 좋겠어요☺️💗
10.19.일,"성수점에 3차로 왔는데, 너무 잘왔어요~! 3시까지 불토에 아주 적당한 곳 같아요. 다트도 있고 내기도 가능하고 ㅎㅎㅎ 굿!!! 시나몬 맥주 완전 신선해요~~~ 시나몬이 젤 밋있네요👍🏻👍🏻👍🏻성수점에 3차로 왔는데, 너무 잘왔어요~! 3시까지 불토에 아주 적당한 곳 같아요. 다트도 있고 내기도 가능하고 ㅎㅎㅎ 굿!!! 시나몬 맥주 완전 신선해요~~~ 시나몬이 젤 밋있네요👍🏻👍🏻👍🏻"
10.16.목,지나가다가 들렀는데 분위기가 넘 좋고 안주도 가성비 좋네여 직원분들 넘 친절하시고 주변에서 간단하게 술 먹는다면 너무 추천합니다😎
9.20.토,"코젤 다크를 마시고 싶어서 뚝섬역 인근 술집을 찾다가 넘버파이브 발견했어요! 생각보다 아늑한 분위기에 술 종류도 맥주, 칵테일 등등 정말 다양해서 시켜 먹을 수 있겠더라고요! 무엇보다 오신 분들이 모두 조용하게 넘버파이브를 이용해서 조용한 분위기에 술을 마시고 싶은 분에게는 정말 적격인 것 같습니다. 게다가 다트도 있어서 다트를 좋아하시는 분에게도 정말 추천드립니다! 성수나 서울숲에서 데이트하고 나시면 뚝섬 '넘버파이브' 방문 추천드립니다😍😍"
9.9.화,위스키 아포가토 보고 끌려서 들어온건데 너무 만족했어요 아포가토 꼭 드세요 2차로 마실때 디저트로 딱입니다 젤라또가 진짜 찐 젤라또예요 쫀득하고 생크림코젤다크도 맛있었어요 맛있어서 엄청 빨리 마셨습니다 ㅋㅋㅋ 최고의 맛집👍👍🍀
10.3.금,처음 오게 되었는데 분위기 진짜 좋네요 ㅎㅎ 사장님도 너무 친절하시고 매장도 넓어서 편안하게 즐기다가 갑니다 :)
8.15.금,분위기도 좋고 다트도 있어서 놀기 너무 좋아요~ 사장님도 친절하셔서 이 동네 오면 꼭 들르는집 더 알려졌음 합니다~
8.21.목,지나가다가 왔는데 분위기 너무 좋고 칵테일도 너무 맛있어서 좋은 시간 보내구 갑니다💕 다트도 할 수 있고 좌석도 넓어서 단체모임하기에도 좋아요! 담에 또 올게요🪽
7.5.토,"칵테일은 피나콜라다, 스크류드라이버이고 안주는 아무거나 주세요~입니다 ㅎㅎ 음악 선곡도 좋고 음악 소리도 적당해서 대화하기도 좋아요!! 뚝섬역에서 친목모임할 때 추천합니다~🥰"
8.13.수,예정에 없이 입간판만 보고 들어갔는데 공간도 넓고 친구들과 위스키 잔술 마시면서 즐거운 시간 보낼수 있는 조명과 인테리어가 구비된 분위기 편안한 술집!!
9.12.금,달달하고 너무 맛있어요!! 한번씩오는데 좋아요!! 분위기도 좋아요
10.8.수,혼자 오기에 부담도 없고 좋습니다~ 노래도 좋아요
8.23.토,뚝섬역에 가까이 위치해서 방문했는데 분위기랑 조명이 너무 좋아요!! 기억해놨다가 다시 방문한건데 오늘도 친절하시고 분위기가 좋네요 ㅎㅎ 다음에도 또 올게요!
5.6.화,노래 좋고 얘기하기 좋아요!! 롱티랑 애플마티니 시켰는데 술 낭낭하게 들어가있어서 ... 술 아끼지않으시는거같아요 알딸딸 해집니다 .. ㅎㅎ 분위기도 좋고 가격도 저렴해요 다음에 또올거에요!! 프레첼도 와사비맛인데 맛있어요🥰
6.28.토,다트게임하면서 술먹기 너무 좋아요! 음악도 좋고 조명과 분위기도 굳굳 ❤️
7.26.토,술이 감미롭고 노래가 맛있습니다
7.3.목,"성수 유일의 다트 판! 너무 재밌고, 사장님들 다 좋았습니다. 다트 좋아하시는 분들 많이 오셨으면 좋겠습니다. 볼링 보다 저렴하면서 도파민은 4배는 더 터지는 거 같아요 ㅋㅋㅋㅋ"
6.5.목,코젤 맥주 처음 먹어보는데 먹어본 맥주 중에 제일 맛있어요 인테리어도 멋지고 다음에도 방문하겠습니다!
8.23.토,분위기가 너무 편하고 다트 치는것도 너무 재밌어요 술이 멋있고 사장님이 너무 맛있어요!!
6.11.수,밥 먹고 칵테일 땡겨서 와봤는데 아늑하고 맛도 너무 좋아요 여자친구도 만족하고 사진도 잘 나오네요 다음에 또 올게요
7.31.목,분위기 좋고 맛있어요~
6.14.토,칵테일도 맛있고 나쵸에 살사 소스가 진짜 킥이예요 ㅎㅎ 카시스오렌지 피나콜라다 bb
8.10.일,다트가 있어서 좋았어요
7.9.수,아포가토 맛있어용 분위기랑 음악도 느좋이에요 mz 픽 츄천~~~🖤🖤
4.4.금,처음방문해봤는데 너무 친절하시고 맛있었어요^^ 다음에 재방문하겠습니다!
8.28.목,반응 남기기 방문일 8.28.목 2025년 8월 28일 목요일 1번째 방문 인증 수단 영수증
4.4.금,분위기 미쳤어요 노래 음향도 적당하고 아이스크림 맛도리임 알럽 자주올래여 !!!!! 짱 조아요 또 올래요
4.19.토,3차로 와서 다트 치고 잼나게 놀고갑니다 매장도 넓고 친절해영 칵테일 마시기 굿
