date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
9.12.금,이렇게나 푸짐할줄이야...!! 게다가 맛있어요... 쌈채소도 주셨는데 안찍혔네요ㅠ 떡볶이에 주먹밥 막국수까지 있다니... 느끼할때 떡볶이 먹어주면 계속 먹어요... 묵은지도 맛있었어요! 리뷰 잘 안다는데 너무 행복하게 먹어서 달아봅니다 대박 나셨으면 좋겠어요 또 찾을게요!
6.28.토,우연히 먹게되었는데 친절하고 맛나요~
8.6.수,늦은 점심 먹으러 왔어요 메뉴도 빨리나오고 맛있었어용 ㅎㅎ
23.12.6.수,족발 매번 시켜먹는 곳이에요. 세트구성이 좋고 서비스로 주먹밥도 주셔서 너무 좋아요ㅠㅠ
24.2.5.월,반응 남기기 방문일 24.2.5.월 2024년 2월 5일 월요일 1번째 방문 인증 수단 영수증
23.9.27.수,반응 남기기 방문일 23.9.27.수 2023년 9월 27일 수요일 2번째 방문 인증 수단 영수증
23.8.8.화,반응 남기기 방문일 23.8.8.화 2023년 8월 8일 화요일 1번째 방문 인증 수단 영수증
23.8.8.화,반응 남기기 방문일 23.8.8.화 2023년 8월 8일 화요일 1번째 방문 인증 수단 영수증
23.7.30.일,반응 남기기 방문일 23.7.30.일 2023년 7월 30일 일요일 1번째 방문 인증 수단 영수증
23.7.28.금,사장님 음식솜씨가 좋아요
22.12.1.목,잘 먹고가요~~~^^ 다른 메뉴 먹으러 또 가보겠습니다:)
22.12.5.월,제육 볶음 점심 메뉴로 잘 먹었습니다^^
22.11.2.수,사장님 친절하시고 밑반찬도 더 챙겨주셨어요
23.2.23.목,반응 남기기 방문일 23.2.23.목 2023년 2월 23일 목요일 1번째 방문 인증 수단 영수증
22.12.2.금,반응 남기기 방문일 22.12.2.금 2022년 12월 2일 금요일 2번째 방문 인증 수단 영수증
22.9.8.목,반응 남기기 방문일 22.9.8.목 2022년 9월 8일 목요일 1번째 방문 인증 수단 영수증
22.10.20.목,반응 남기기 방문일 22.10.20.목 2022년 10월 20일 목요일 2번째 방문 인증 수단 영수증
22.6.30.목,고기양이 적고 얇아서 조금 아쉽지만 맛있어요
22.7.7.목,반응 남기기 방문일 22.7.7.목 2022년 7월 7일 목요일 1번째 방문 인증 수단 영수증
22.1.19.수,반응 남기기 방문일 22.1.19.수 2022년 1월 19일 수요일 3번째 방문 인증 수단 영수증
21.11.12.금,반응 남기기 방문일 21.11.12.금 2021년 11월 12일 금요일 4번째 방문 인증 수단 영수증
21.7.1.목,반응 남기기 방문일 21.7.1.목 2021년 7월 1일 목요일 22번째 방문 인증 수단 영수증
21.6.7.월,반응 남기기 방문일 21.6.7.월 2021년 6월 7일 월요일 3번째 방문 인증 수단 영수증
21.6.18.금,반응 남기기 방문일 21.6.18.금 2021년 6월 18일 금요일 14번째 방문 인증 수단 영수증
21.6.14.월,반응 남기기 방문일 21.6.14.월 2021년 6월 14일 월요일 11번째 방문 인증 수단 영수증
21.6.10.목,반응 남기기 방문일 21.6.10.목 2021년 6월 10일 목요일 9번째 방문 인증 수단 영수증
21.9.7.화,반응 남기기 방문일 21.9.7.화 2021년 9월 7일 화요일 1번째 방문 인증 수단 영수증
21.5.20.목,맛있게 먹고 다녀갔어요~
21.6.28.월,반응 남기기 방문일 21.6.28.월 2021년 6월 28일 월요일 20번째 방문 인증 수단 영수증
20.12.15.화,된장찌개 먹고 왔네요. 먹을만 합니다.  #된장찌개 #누들보담배달만족
21.6.23.수,반응 남기기 방문일 21.6.23.수 2021년 6월 23일 수요일 1번째 방문 인증 수단 영수증
20.12.13.일,반응 남기기 방문일 20.12.13.일 2020년 12월 13일 일요일 1번째 방문 인증 수단 영수증
20.12.15.화,반응 남기기 방문일 20.12.15.화 2020년 12월 15일 화요일 1번째 방문 인증 수단 영수증
20.12.15.화,반응 남기기 방문일 20.12.15.화 2020년 12월 15일 화요일 1번째 방문 인증 수단 영수증
20.8.8.토,근래들어 가장 괜찮은 집이네요
20.8.8.토,반응 남기기 방문일 20.8.8.토 2020년 8월 8일 토요일 1번째 방문 인증 수단 영수증
