date,content
9.27.토,주말에 대부도 가서 포도 사먹었어요 맛있네요
8.17.일,대부도에서 새우구이 먹고 집에 오는 길에 이 지방 포도가 맛 있어서 사왔어요
7.29.화,포도가 엉망진창 😭 😢
23.9.23.토,반응 남기기 방문일 23.9.23.토 2023년 9월 23일 토요일 1번째 방문 인증 수단 영수증
23.9.19.화,반응 남기기 방문일 23.9.19.화 2023년 9월 19일 화요일 1번째 방문 인증 수단 영수증
22.8.27.토,반응 남기기 방문일 22.8.27.토 2022년 8월 27일 토요일 1번째 방문 인증 수단 영수증
22.8.20.토,친절하고 서비스가 좋아요. 포도즙이 진하고 맛있어요
22.7.21.목,반응 남기기 방문일 22.7.21.목 2022년 7월 21일 목요일 1번째 방문 인증 수단 영수증
21.9.12.일,반응 남기기 방문일 21.9.12.일 2021년 9월 12일 일요일 1번째 방문 인증 수단 영수증
21.9.11.토,반응 남기기 방문일 21.9.11.토 2021년 9월 11일 토요일 1번째 방문 인증 수단 영수증
21.7.31.토,포도가 싱싱하고 맛있네요
