date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
7.25.금,"“진짜 집밥 생각날 땐 이곳! 가정식백반(9,000원)과 막걸리(4,000원)로 푸짐하게 한상 드셔보세요.”  양재동 직장인 맛집, 다복식당에서 가정식백반(9,000원)과 막걸리(4,000원)로 여유롭게 한 끼 했어요. 한상 푸짐하게 차려주는 밥과 반찬들이 집밥 느낌 그대로라 만족도가 높아요. 백반 한 그릇에 나오는 제육볶음, 된장찌개, 계란부침 등 반찬 구성이 알차서 식사 내내 기분이 좋습니다. 막걸리도 저렴하게 곁들일 수 있어 간단한 반주에 딱이에요. 점심·저녁 모두 인기가 많은 집이에요. 조금 일찍 방문하시길 추천드립니다. 직장인과 지역주민 모두에게 강추하는 양재 백반맛집입니다!"
6.9.월,반응 남기기 방문일 6.9.월 2025년 6월 9일 월요일 1번째 방문 인증 수단 영수증
24.6.13.목,백반이 먹고 싶었지만 색다르게 새로운 메뉴로 갑오징어볶음 써있길래 시켜보았습니다. 맵지않게 해달라고 했더니 정말 안 맵고도 맛나게 해주시네요 ! 낄끔하고 오징어도 아낌없이 들어가 있네요. 함께 나온 가지조림 부추부침개 아삭고추무침 모두모두 맛납니다 메뉴도 다양하고 다음엔 또 뭘 먹어볼까나....
24.6.5.수,"양재동 숨은 백반 맛집 다복식당. 가정식 백반 메인 메뉴는 2가지고 매일 바뀐다고 하심. 잠깐 사이에 바로 만석. 메뉴는 바로 나오는 편. 2024/6/5 오늘의 메인은 오징어제육볶음, 고등어조림. 가격은 인당 9천원. 사장님께 여쭤보니 메인 중 하나인 생선조림 종류는 자반고등어, 코다리조림, 하나는 기억안남 3개가 돌아가면서 나온다고 하심 (생선구이는 굽고 튀길 시간이 없어서 조림만 하신다고🥲 생선구이 먹고시포요..)"
24.7.24.수,혼밥도 환영해주셔서 감사합니다. 집밥백반 좋아요^^
24.6.28.금,친절하시고 잘 먹었어요!!
24.10.2.수,반응 남기기 방문일 24.10.2.수 2024년 10월 2일 수요일 1번째 방문 인증 수단 영수증
24.3.19.화,반응 남기기 방문일 24.3.19.화 2024년 3월 19일 화요일 6번째 방문 인증 수단 영수증
24.2.23.금,반응 남기기 방문일 24.2.23.금 2024년 2월 23일 금요일 3번째 방문 인증 수단 영수증
24.4.18.목,반응 남기기 방문일 24.4.18.목 2024년 4월 18일 목요일 3번째 방문 인증 수단 영수증
