date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
10.19.일,"지난 번에 오고 너무 좋았어서 다시 왔어요! 스콘, 쿠키, 케이크 다 먹어봤는데 다 맛있어요! 설탕이랑 밀가루 없이 만들어져서 건강하고 맛있게 먹을 수 있었습니다 :) 사장님께서 다양한 차 종류도 설명해 주시고, 항상 친절하게 응대해 주셔서 좋았어요. 다른 디저트도 맛 볼 수 있게 조금 내주셨는데 다 맛있었습니다! 포장도 가능해요! 혼자 오기도 좋고, 데이트나 친구들이랑 오기에도 너무 좋아 보여요! 모든 메뉴들 다 추천합니다!"
7.23.수,사장님도 친절하시고 말차라떼랑 커피가 너무 맛있었어요! 저건 컵케이큰데 매장에서 먹기 편하라고 저렇게 만들어주셧어요 ㅎㅎ 감사합니다~! ))) 공부하기 좋아요
24.10.27.일,저장해놨던 카페인데 근처갔다가 방문해봤어요! 글루텐프리 디저트가있어서 좋더라고요 ㅎㅎ 크럼블치즈케이크에 무화과 시나몬 스콘주문했는데 저렇게 서비스 플레이트를주셨어요! 사장님인심🥹👍👍 디저트도 자극적이지않고 깔꼼하니 맛있더라고요 ㅎㅎ다른메뉴도 먹으로가고파요!
24.12.19.목,키토 식단 시작한뒤에 디저트가 너무 먹고 싶었는데 너무 맛있었습니다! 특히 초코 컵케이크가 많이 안달고 크림이랑 너무 맛있었어요!! 사장님도 왕 친절하십니다~ 성수 올때 또 방문하겠습니다:)
24.8.30.금,쿠키 꿀맛 아몬드가루라 그런가 케잌이 엄청 달지 않으면서 생크림 맛있다. 빵은 조금 퍽퍽. 맘모스빵가루애 치즈 꾸덕하고 안달고 깊은 맛 개인적으로 쿠키>레몬케잌>치즈케잌>초코케잌
24.7.9.화,저는 일반 베이커리류는 잘 먹지 않고 ✨키토베이커리✨에서만 디저트를 먹습니다 시중에서는 키토베이커리를 표방하며 실상은 전분가루를 쓰는 곳도 많은데 단과자는 찐 키토베이커리였어요! 다양한 메뉴를 보고 맛보면서 사장님이 얼마니 열정을 가지고 메뉴 개발에 임했는지 느낄 수 있습니다! 파운드 케잌부터 쿠키 치즈케잌 모두 정말 맛있었고 제 입맛에는 특히 치즈케잌이 맛있었어요! 그리고 무엇보다 인상적이었던 것은 친절한 사장님이셨습니다. 메뉴 안내도 친절하게 해주시고 포장한 메뉴를 기다리고 있을 때 저에게 내어주신 간단한 다과가 정말 너무 인상적이었어요! 가는 데에 조금 시간이 걸렸는데 그 시간이 전혀 아깝지 않을 정도로 맛있었습니다. 키토 베이커리에 관심있으신 분들이면 꼭 한 번 방문할 가치가 있는 공간입니다🫶
