date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.27.토,처음왔는데 넘 맛있어서 놀랐어요 주말에 점심에도 종종이용하러 와야겠어요 시즌메뉴 불족 덮밥도 맛있습니다!! 매콤!!!
7.9.수,"무더위에 가던길을 멈추고 잠깐 혼밥의 시간을 가지기에 좋은 곳입니다~ 저녁시간에 조용해서 들어가봤다가 의외의 맛으로 사로잡은 곳~ 명란 아보카도 덮밥을 먹고싶었으나, 우선은 요일 할인이 되는 갈비덮밥으로 시도했어요~ 목살을 상추에 싸서 드시면 되는 심플한 식사법~! 목살은 토실하고 질기지 않아 좋았어요~ 다만, 저는 마늘과 쌈장이 필요했던 식사^^!"
10.20.월,5번째 방문이에요. 집밥 느낌이고 깔끔하고 맛있어요~
8.30.토,첫 방문인데 너무 맛나게 먹었어요~~ 재방문할땐 우삼겹육회덮밥 먹어볼게옹!!
9.27.토,항상 맛있고 항상 친절하셔서 너무 좋아요!
9.13.토,신메뉴 불족덮밥 너무 맛있어요!
5.7.수,"사당덮밥맛집으로 추천하는 당당 음식도 맛있고 후식으로 나오는 간식도 맛있고, 사장님도 너무 친절하시고 좋아요 우삼겹 가득한 덮밥과 고소한 버터향이 향긋하게 느껴지는 카레까지 맛있게 먹었습니다"
