date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
10.3.금,"초등학생 때부터 오던 맛집이에요~ 지금은 .. 불혹이 다돼가는 나이인데도 가격도 많이 오르지않고, 무엇보다 너무맛있어요.. 밑반찬도 잘나오고.. 오늘 새로운친구 데려왔는데 완전 좋아하네요 보람찬 하루였어요 돼지갈비는 대가입니다. 대체불가에요^^♡"
9.6.토,"두번째 방문, 오늘은 특목살 먹었는데 정말 맛있음 신선하고 육즙과 고기향이 잘 어우러짐. 먹으면서 ‘도대체 누가 고기관리하는걸까?!’ 라는 생각이 연신들었음 후식 냉면들도 맛도리, 반찬들도 만족. 10년 넘게 이 동네 살면서 여길 이제 알았다는게 이젠 고기집 찾으러 네이버 지도 안봐도될듯 여긴 찐 맛집 내 단골"
8.11.월,한우투뿔등심 진짜 맛있어요. 입에서 살살 녹아요 ~참숯으로 구워서 숯향이 은은한게 맛있습니다. 식사로 먹는 냉면도 맛있습니다. 후식으로 아이스크림 아이스커피 쥬스도 먹을수 있어 너무 좋아요~ 직원분들도 친절하시고 주차장도 있어 편합니다~ 또 방문하겠습니다~
9.9.화,"밑반찬도 푸짐하고 돼지갈비, 육회, 된장술밥, 냉면 다 맛있어서 배 터지게 먹고 갑니다  스타벅스 원두커피, 믹스커피, 아이스크림, 망고주스, 석류주스 디저트 코너까지 완벽 그 잡채  뷔페인듯 뷔페아닌 뷔페 같은 곳이에요 가족모임으로 강추입니다"
9.8.월,"가족모임, 환갑, 칠순, 팔순 무조건 대가로 가세요 우선 넓은 주차공간과 고급스러운 외관과 내부 멋드러진 조경과 미술작품들이 걸려져있어서 대접받는 기분이 드는 곳이에요 기본찬 구성이 엄청 훌륭한데 완전 파인다이닝급의 기본찬에 맛있는 고기 사이드메뉴로 된장밥이랑 냉면 육회까지 완벽했어요"
10.19.일,고기 질이 좋아서 육즙이 가득하고 부드러웠어요! 직원분들도 친절하게 잘 챙겨주셔서 편하게 식사했습니다. 후식 아메리카노랑 아이스크림으로 아포가토 해먹었어요 ㅎㅎ 반찬도 깔끔하고 전체적으로 만족스러운 식사였어요. 또 방문하고 싶네요 😊
