date,content
8.21.목,"다신 안 갈 것 같아요😡😡😡 처음에 고기 고를 때 진열된 고기 포장된 걸 보니 가격표에 2만 원대 후반으로 써 있어서 골랐어요. 그래서 무게도 안 달아보고 그냥 가져가서 썰고 계산하려다 깜짝 놀랐습니다. 누가 봐도 6만 원어치는 아닌데 6만 원이라고 해서 당황스러웠어요. 제가 “이게 양이 얼마나 되냐” 슬쩍 물어보니,그제서야 포장된 그대로 비닐 포함해서 무게 달아봐도 3만 원 정도 나올 수준인데 가격을 두 배로 부른 겁니다. 여기 사장님이신 것 같던데 하루이틀 일 하시는 분도 아니고 가격도 조금 올린것 도 아니고 가격 두배로 부르는건 바가지 씌우는거로밖에 이해가 안 되요… 사과 한 마디 안 하셨고 ”실수였다“라며 넘어가시더라고요. 다음부터는 차라리 좀 멀더라도 정직한 대형마트로 가려고 합니다."
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 4번째 방문 인증 수단 영수증
24.5.31.금,반응 남기기 방문일 24.5.31.금 2024년 5월 31일 금요일 2번째 방문 인증 수단 영수증
24.5.2.목,반응 남기기 방문일 24.5.2.목 2024년 5월 2일 목요일 2번째 방문 인증 수단 영수증
24.4.30.화,반응 남기기 방문일 24.4.30.화 2024년 4월 30일 화요일 33번째 방문 인증 수단 영수증
24.4.22.월,반응 남기기 방문일 24.4.22.월 2024년 4월 22일 월요일 1번째 방문 인증 수단 영수증
24.4.8.월,반응 남기기 방문일 24.4.8.월 2024년 4월 8일 월요일 32번째 방문 인증 수단 영수증
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 31번째 방문 인증 수단 영수증
24.1.25.목,반응 남기기 방문일 24.1.25.목 2024년 1월 25일 목요일 30번째 방문 인증 수단 영수증
24.1.17.수,반응 남기기 방문일 24.1.17.수 2024년 1월 17일 수요일 29번째 방문 인증 수단 영수증
23.11.29.수,반응 남기기 방문일 23.11.29.수 2023년 11월 29일 수요일 28번째 방문 인증 수단 영수증
23.11.21.화,반응 남기기 방문일 23.11.21.화 2023년 11월 21일 화요일 27번째 방문 인증 수단 영수증
23.11.8.수,반응 남기기 방문일 23.11.8.수 2023년 11월 8일 수요일 26번째 방문 인증 수단 영수증
23.10.27.금,반응 남기기 방문일 23.10.27.금 2023년 10월 27일 금요일 25번째 방문 인증 수단 영수증
23.10.10.화,반응 남기기 방문일 23.10.10.화 2023년 10월 10일 화요일 24번째 방문 인증 수단 결제내역
23.9.25.월,반응 남기기 방문일 23.9.25.월 2023년 9월 25일 월요일 23번째 방문 인증 수단 영수증
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 22번째 방문 인증 수단 영수증
23.7.24.월,반응 남기기 방문일 23.7.24.월 2023년 7월 24일 월요일 21번째 방문 인증 수단 결제내역
23.7.18.화,반응 남기기 방문일 23.7.18.화 2023년 7월 18일 화요일 20번째 방문 인증 수단 결제내역
23.7.10.월,반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 결제내역
23.3.20.월,반응 남기기 방문일 23.3.20.월 2023년 3월 20일 월요일 1번째 방문 인증 수단 영수증
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 1번째 방문 인증 수단 영수증
23.2.24.금,반응 남기기 방문일 23.2.24.금 2023년 2월 24일 금요일 2번째 방문 인증 수단 영수증
23.1.25.수,반응 남기기 방문일 23.1.25.수 2023년 1월 25일 수요일 1번째 방문 인증 수단 영수증
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 1번째 방문 인증 수단 영수증
22.12.8.목,반응 남기기 방문일 22.12.8.목 2022년 12월 8일 목요일 2번째 방문 인증 수단 결제내역
22.12.5.월,주인이 친절하고 양도 많이주며 가족같은 분위기입니다 이런가게만 있다면 좋겠 습니다
22.11.21.월,반응 남기기 방문일 22.11.21.월 2022년 11월 21일 월요일 1번째 방문 인증 수단 결제내역
22.10.16.일,반응 남기기 방문일 22.10.16.일 2022년 10월 16일 일요일 1번째 방문 인증 수단 영수증
22.10.9.일,반응 남기기 방문일 22.10.9.일 2022년 10월 9일 일요일 1번째 방문 인증 수단 결제내역
22.9.6.화,차돌박이 맛 짱.
22.9.3.토,식품이 신선하고 좋아요
22.5.6.금,반응 남기기 방문일 22.5.6.금 2022년 5월 6일 금요일 1번째 방문 인증 수단 영수증
22.4.2.토,반응 남기기 방문일 22.4.2.토 2022년 4월 2일 토요일 2번째 방문 인증 수단 영수증
22.3.15.화,반응 남기기 방문일 22.3.15.화 2022년 3월 15일 화요일 4번째 방문 인증 수단 영수증
22.3.4.금,반응 남기기 방문일 22.3.4.금 2022년 3월 4일 금요일 1번째 방문 인증 수단 영수증
22.2.16.수,반응 남기기 방문일 22.2.16.수 2022년 2월 16일 수요일 1번째 방문 인증 수단 영수증
22.2.11.금,반응 남기기 방문일 22.2.11.금 2022년 2월 11일 금요일 6번째 방문 인증 수단 영수증
22.2.8.화,반응 남기기 방문일 22.2.8.화 2022년 2월 8일 화요일 1번째 방문 인증 수단 영수증
22.1.19.수,반응 남기기 방문일 22.1.19.수 2022년 1월 19일 수요일 5번째 방문 인증 수단 영수증
22.1.11.화,반응 남기기 방문일 22.1.11.화 2022년 1월 11일 화요일 3번째 방문 인증 수단 영수증
22.1.9.일,항상 처음에 요청한 양보다 많이 잘라주시고 더 받으세요..ㅋㅋ그래도 고기 질은 좋아요.
