date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
7.9.수,사장님도 너무 친절하시고 직원분도 최고십니다:) 처음 오시는 분들도 많이 오셔도 될거 같아요!!
24.12.28.토,반응 남기기 방문일 24.12.28.토 2024년 12월 28일 토요일 4번째 방문 인증 수단 영수증
24.8.30.금,빅웨이브나 산미구엘 같은 수입맥주가 다양하게 있어서 좋았고 딸기화채 아무생각 없이 시켰는데 상큼하고 달달한게 맛있어요오
23.12.7.목,요리 많이 생겨서 너무 좋아요~~~ 사장님 손맛 좋으셔서 간단한 안주만 있는 거 아쉬웠는데ㅜㅜ 바지락 술찜 칼칼 시원한 게 완전 소주맛! 다른 요리도 먹으러 올게요!! 맥주 종류도 많고 술 이외 음료도 많아서 여럿이 오기 좋을 것 같아요💗
24.2.29.목,"과일이 없어서 주문한 토마토 신선했어요~먹태랑 감튀, 너겟은 아는 맛이라 무섭죠~^^ 기본 강냉이도 눅눅하지 않고 바삭해서 좋았네요. 매장이 넓어서 단체 모임에 굿이요~"
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 1번째 방문 인증 수단 영수증
23.12.12.화,사장님 진짜 친절하시고 과일안주 너무 맛있어요ㅠㅠㅠㅠ
23.5.16.화,넓고 쾌즥하네요...가본안주 세우과자도너무맛있고 친절하시네요~~
23.4.4.화,반응 남기기 방문일 23.4.4.화 2023년 4월 4일 화요일 1번째 방문 인증 수단 영수증
23.2.8.수,향수를 일으키게 하는 동네 맥주집..ㅎ
22.10.18.화,가게 분위기도 좋고 도란도란 이야기하며 술먹기 좋았습니다!!! 일단 안주들이 다 고퀄리티여서 맛있었는데 닭짬뽕찌개 꼭 먹어보세요 안먹으면 바보 ㅠㅠㅠ 라면사리는 서비스로 주시는데 라면 넣어먹으면 국물이 사리에 흡수돼서 진짜 맛있어요 소주 5병 가능한 맛 ㅠㅜ❣️사장님도 엄청 친절하세요
22.11.15.화,깔끔하고 친절하십니다 공간도 넓어요
23.2.8.수,반응 남기기 방문일 23.2.8.수 2023년 2월 8일 수요일 1번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 3번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 2번째 방문 인증 수단 영수증
22.9.2.금,반응 남기기 방문일 22.9.2.금 2022년 9월 2일 금요일 2번째 방문 인증 수단 영수증
22.9.2.금,반응 남기기 방문일 22.9.2.금 2022년 9월 2일 금요일 1번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 1번째 방문 인증 수단 영수증
22.7.2.토,반응 남기기 방문일 22.7.2.토 2022년 7월 2일 토요일 1번째 방문 인증 수단 영수증
22.6.29.수,반응 남기기 방문일 22.6.29.수 2022년 6월 29일 수요일 1번째 방문 인증 수단 영수증
22.6.28.화,반응 남기기 방문일 22.6.28.화 2022년 6월 28일 화요일 1번째 방문 인증 수단 영수증
22.6.9.목,반응 남기기 방문일 22.6.9.목 2022년 6월 9일 목요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
22.4.13.수,반응 남기기 방문일 22.4.13.수 2022년 4월 13일 수요일 2번째 방문 인증 수단 영수증
22.4.13.수,반응 남기기 방문일 22.4.13.수 2022년 4월 13일 수요일 1번째 방문 인증 수단 영수증
21.11.21.일,반응 남기기 방문일 21.11.21.일 2021년 11월 21일 일요일 1번째 방문 인증 수단 영수증
21.11.21.일,반응 남기기 방문일 21.11.21.일 2021년 11월 21일 일요일 1번째 방문 인증 수단 영수증
21.12.2.목,반응 남기기 방문일 21.12.2.목 2021년 12월 2일 목요일 1번째 방문 인증 수단 영수증
21.5.8.토,사람들이 바글거리지 않아 담소 나누기 좋아요
21.6.25.금,반응 남기기 방문일 21.6.25.금 2021년 6월 25일 금요일 1번째 방문 인증 수단 영수증
21.4.5.월,반응 남기기 방문일 21.4.5.월 2021년 4월 5일 월요일 1번째 방문 인증 수단 영수증
20.11.6.금,반응 남기기 방문일 20.11.6.금 2020년 11월 6일 금요일 1번째 방문 인증 수단 영수증
20.11.10.화,반응 남기기 방문일 20.11.10.화 2020년 11월 10일 화요일 1번째 방문 인증 수단 영수증
20.11.10.화,반응 남기기 방문일 20.11.10.화 2020년 11월 10일 화요일 1번째 방문 인증 수단 영수증
20.10.20.화,반응 남기기 방문일 20.10.20.화 2020년 10월 20일 화요일 1번째 방문 인증 수단 영수증
20.9.6.일,반응 남기기 방문일 20.9.6.일 2020년 9월 6일 일요일 1번째 방문 인증 수단 영수증
