date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
23.6.27.화,다양한 양주를 갖추고 있으며 주인장이 친절해요.
23.11.4.토,술도 음식도 분위기도 모두 완벽했습니다
23.7.19.수,"어디서도 못보던 위스키가 너무 많아서 좋았습니다, 강추합니다!!!"
23.1.5.목,하이볼도 마시고 안주도 맛있어요 아쉬운건 매장이 좀 작은거같지만 분위기는 좋아요
23.6.10.토,반응 남기기 방문일 23.6.10.토 2023년 6월 10일 토요일 1번째 방문 인증 수단 영수증
23.4.5.수,조금 좁지만 프라이빗한 느낌도 있어요. 무엇보다 하이볼이 너무 맛있어요!!
23.5.6.토,반응 남기기 방문일 23.5.6.토 2023년 5월 6일 토요일 1번째 방문 인증 수단 영수증
22.9.21.수,위스키 설명도 해주시고 추천도 해주셔서 너무 좋아요👍👍 음식도 너무 맛있어서 잘먹었습니다 다음에 또 갈게요 🥳🥳🥳
22.12.9.금,"가격이나 분위기 안주도 괜찮음 단, 화장실이 개불편"
22.7.25.월,세트랑 에그인헬이랑 칵테일 먹었는데 맛있네요☺️ 분위기도 좋아요!
23.1.11.수,반응 남기기 방문일 23.1.11.수 2023년 1월 11일 수요일 1번째 방문 인증 수단 영수증
22.6.7.화,술 종류도 많고 2차로 가기 좋아요
22.11.7.월,반응 남기기 방문일 22.11.7.월 2022년 11월 7일 월요일 1번째 방문 인증 수단 영수증
22.4.16.토,2인세트 메뉴로 시켰는데 너무 맛있게 잘 먹었어요~
22.6.16.목,칵테일도 맛잇고 안주도 맛잇어요
22.6.17.금,반응 남기기 방문일 22.6.17.금 2022년 6월 17일 금요일 1번째 방문 인증 수단 영수증
21.10.16.토,근처에 맛집있다고해서 갔는데 대기가 길어서 옆에있는 이 집..첫손님으로 들어갔는데 기대이상으로 너무 좋았네요. 기본에충실하며 가성비좋은 에그인헬파스타. 낮술이었는데 정말 맛있었던 하이볼들.. 특히 두툼채끝스테이크 먹고선..아 여기 스테이크집이었지! 했네요. 분명 속까지 익었는데 어쩜 이렇게 녹듯 부드럽죠? 처음엔 함박처럼 부드럽게 씹히길래 함박을 시킨줄 알았는데 아니었군요.정말 고기잘구우셨네요..밥먹으러갔다 추가주문을 계속..정말 의외의 맛집
21.12.8.수,친절하시고 음식도 맛있어요 술도 다양해서 맛보기 좋았어요
22.6.6.월,반응 남기기 방문일 22.6.6.월 2022년 6월 6일 월요일 2번째 방문 인증 수단 영수증
22.2.25.금,반응 남기기 방문일 22.2.25.금 2022년 2월 25일 금요일 1번째 방문 인증 수단 영수증
21.11.2.화,회사 점심으로 먹긴 살짝 비싸지만 비주얼도 좋고 고기가 맛있어서 좋았어요 ㅋㅋ
21.10.29.금,맛있고 분위기 어늑하고 다양한 와인도 팔아요 사장님 왕친절이세요
21.11.23.화,스테이크 뭐임 이렇게 부드러운곳 처음 먹고 집사람주려고 포장하려다 집이멀어서 포기ㅠㅎ
21.12.31.금,반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증
21.9.29.수,사장님혼자서하는?작은가게이지만 칵테일과 음식들이 저렴해서 둘이서 푸짐하게 먹었어요 ㅎㅎ 날씨도좋아 테라스쪽에앉았는데 너무좋았어요^^
21.9.12.일,양도 많고 가격도 착해요~! 배부르게 잘 먹었습니다 ㅎㅎ 에이드👍
21.12.31.금,반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증
21.10.3.일,양도 많고 맛있어요 !!
21.9.12.일,메뉴 가성비가 굉장히 좋습니다. 넉넉한 1인분이라고 했는데 성인 여성 두 명이서 간단하게 먹기 적당했어요. 하이볼도 종류가 이렇게 많은 곳은 처음 봤어요! 정말 맛있고요!! 잘 즐기고 갑니다.
21.11.30.화,하이볼 존맛 ㅋㅋㅋ
21.5.22.토,분위기도 좋고 칵테일도 있어서 좋아요! 스테이크도 질기지않고 맛있었고 에그인헬파스타도 맛있었어요!ㅎㅎ
21.7.9.금,사장님 혼자 하셔서 좀 천천히 나오긴하는데 진짜 맛있어욤!!
21.12.2.목,반응 남기기 방문일 21.12.2.목 2021년 12월 2일 목요일 1번째 방문 인증 수단 영수증
21.12.2.목,반응 남기기 방문일 21.12.2.목 2021년 12월 2일 목요일 1번째 방문 인증 수단 영수증
21.11.20.토,반응 남기기 방문일 21.11.20.토 2021년 11월 20일 토요일 1번째 방문 인증 수단 영수증
21.8.19.목,테라스 분위기 좋아요
21.4.23.금,담백하고 깔끔하게 맛있었어요! 외국에서 먹었던 음식점 맛이었어요:-)
21.4.11.일,플레이트 정말 양많고 가성비 최고에요~ 분위기좋고 양주 종류 많고 친절하세요♡ 단점은 화장실이 불편해용 ㅠ
21.6.20.일,반응 남기기 방문일 21.6.20.일 2021년 6월 20일 일요일 1번째 방문 인증 수단 영수증
21.4.11.일,가격 싼거말고 별로. 맛그저그렇고 일단 홀 손님 신경1도안쓰고 플레이팅 하기 귀찮아서그런지 뒤에오는 테이블이랑 다같이느 한번에 나옴. 개노답 그럴거면 순서가왜있음?
21.5.5.수,양은 적지만 서울숲에 포장해가서 먹기 좋아요.
21.3.31.수,Good but small portions
21.7.2.금,반응 남기기 방문일 21.7.2.금 2021년 7월 2일 금요일 1번째 방문 인증 수단 영수증
21.5.20.목,반응 남기기 방문일 21.5.20.목 2021년 5월 20일 목요일 1번째 방문 인증 수단 영수증
20.11.2.월,사장님 넘 친절하시구 가성비 좋아용 칵테일 종류가 많아졋음 좋겟어요
21.2.27.토,반응 남기기 방문일 21.2.27.토 2021년 2월 27일 토요일 1번째 방문 인증 수단 영수증
20.7.15.수,마싯서요 비쥬얼은 어린이꺼 같지만 맛있구 배불러용 음료 같이나와요
20.11.16.월,반응 남기기 방문일 20.11.16.월 2020년 11월 16일 월요일 1번째 방문 인증 수단 영수증
20.7.15.수,사장님혼자해서 오래걸리는편 늦게가면 자리없고 점심시간내 복귀못할수도ㅋㅋ 지난번 부채스테이크플레이트가 양이 작아 이번엔 나눠먹을겸 파스타도 따로추가햇는데 양은많았지만 파스타가 취향과 맞지않아서.. 다음엔 플레이트에 고기추가하려구요 고기 부드럽고맛있어요~
20.7.16.목,맛있어요 ~ 잘 먹었어요
20.8.18.화,반응 남기기 방문일 20.8.18.화 2020년 8월 18일 화요일 1번째 방문 인증 수단 영수증
20.2.11.화,점심특선 돈목살정식!! 가성비짱!!!!!
20.4.20.월,반응 남기기 방문일 20.4.20.월 2020년 4월 20일 월요일 2번째 방문 인증 수단 영수증
20.2.2.일,맛있어요~ 주말에 주위에 다른 가게들이 안열어서 우연히 갔는데 괜찮았어요.
19.12.10.화,반응 남기기 방문일 19.12.10.화 2019년 12월 10일 화요일 2번째 방문 인증 수단 영수증
20.1.30.목,반응 남기기 방문일 20.1.30.목 2020년 1월 30일 목요일 1번째 방문 인증 수단 영수증
19.10.29.화,반응 남기기 방문일 19.10.29.화 2019년 10월 29일 화요일 1번째 방문 인증 수단 영수증
19.7.23.화,고기가 너무 부드럽고 맛있었어요!!😄
