date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
24.10.6.일,반응 남기기 방문일 24.10.6.일 2024년 10월 6일 일요일 2번째 방문 인증 수단 영수증
24.9.8.일,반응 남기기 방문일 24.9.8.일 2024년 9월 8일 일요일 13번째 방문 인증 수단 영수증
24.8.24.토,반응 남기기 방문일 24.8.24.토 2024년 8월 24일 토요일 12번째 방문 인증 수단 영수증
24.8.19.월,반응 남기기 방문일 24.8.19.월 2024년 8월 19일 월요일 11번째 방문 인증 수단 영수증
24.7.25.목,반응 남기기 방문일 24.7.25.목 2024년 7월 25일 목요일 13번째 방문 인증 수단 영수증
24.6.11.화,"아이스크림 종류가 다양하구, 가격도 엄청 저렴해요! 좋은 가격에 간식으로 톡톡 먹기 좋아용💛"
24.4.20.토,반응 남기기 방문일 24.4.20.토 2024년 4월 20일 토요일 1번째 방문 인증 수단 영수증
24.4.7.일,반응 남기기 방문일 24.4.7.일 2024년 4월 7일 일요일 12번째 방문 인증 수단 영수증
24.4.6.토,신제품이 많아서 좋아요
24.3.22.금,반응 남기기 방문일 24.3.22.금 2024년 3월 22일 금요일 1번째 방문 인증 수단 영수증
24.3.6.수,반응 남기기 방문일 24.3.6.수 2024년 3월 6일 수요일 10번째 방문 인증 수단 영수증
24.2.25.일,반응 남기기 방문일 24.2.25.일 2024년 2월 25일 일요일 9번째 방문 인증 수단 결제내역
24.2.15.목,반응 남기기 방문일 24.2.15.목 2024년 2월 15일 목요일 11번째 방문 인증 수단 영수증
24.2.15.목,반응 남기기 방문일 24.2.15.목 2024년 2월 15일 목요일 8번째 방문 인증 수단 결제내역
24.1.28.일,반응 남기기 방문일 24.1.28.일 2024년 1월 28일 일요일 7번째 방문 인증 수단 결제내역
24.1.14.일,반응 남기기 방문일 24.1.14.일 2024년 1월 14일 일요일 9번째 방문 인증 수단 영수증
24.1.10.수,반응 남기기 방문일 24.1.10.수 2024년 1월 10일 수요일 8번째 방문 인증 수단 영수증
23.11.26.일,반응 남기기 방문일 23.11.26.일 2023년 11월 26일 일요일 10번째 방문 인증 수단 영수증
23.11.4.토,반응 남기기 방문일 23.11.4.토 2023년 11월 4일 토요일 9번째 방문 인증 수단 영수증
23.10.24.화,반응 남기기 방문일 23.10.24.화 2023년 10월 24일 화요일 7번째 방문 인증 수단 영수증
23.10.16.월,반응 남기기 방문일 23.10.16.월 2023년 10월 16일 월요일 1번째 방문 인증 수단 영수증
23.9.21.목,반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 6번째 방문 인증 수단 영수증
23.9.20.수,반응 남기기 방문일 23.9.20.수 2023년 9월 20일 수요일 6번째 방문 인증 수단 영수증
23.9.19.화,반응 남기기 방문일 23.9.19.화 2023년 9월 19일 화요일 5번째 방문 인증 수단 영수증
23.9.17.일,반응 남기기 방문일 23.9.17.일 2023년 9월 17일 일요일 8번째 방문 인증 수단 영수증
23.9.14.목,반응 남기기 방문일 23.9.14.목 2023년 9월 14일 목요일 4번째 방문 인증 수단 영수증
23.9.7.목,아이와 함께 과자사러
23.8.31.목,반응 남기기 방문일 23.8.31.목 2023년 8월 31일 목요일 5번째 방문 인증 수단 영수증
23.8.29.화,반응 남기기 방문일 23.8.29.화 2023년 8월 29일 화요일 4번째 방문 인증 수단 영수증
23.8.24.목,반응 남기기 방문일 23.8.24.목 2023년 8월 24일 목요일 3번째 방문 인증 수단 영수증
23.8.22.화,굿 엄청 시원
23.8.21.월,진짜 종류 많다!
23.8.12.토,반응 남기기 방문일 23.8.12.토 2023년 8월 12일 토요일 12번째 방문 인증 수단 영수증
23.8.6.일,반응 남기기 방문일 23.8.6.일 2023년 8월 6일 일요일 3번째 방문 인증 수단 영수증
23.7.30.일,반응 남기기 방문일 23.7.30.일 2023년 7월 30일 일요일 2번째 방문 인증 수단 영수증
23.7.29.토,반응 남기기 방문일 23.7.29.토 2023년 7월 29일 토요일 1번째 방문 인증 수단 영수증
23.5.13.토,반응 남기기 방문일 23.5.13.토 2023년 5월 13일 토요일 2번째 방문 인증 수단 영수증
23.3.30.목,반응 남기기 방문일 23.3.30.목 2023년 3월 30일 목요일 11번째 방문 인증 수단 영수증
23.3.5.일,반응 남기기 방문일 23.3.5.일 2023년 3월 5일 일요일 2번째 방문 인증 수단 영수증
23.3.3.금,과자 끊어야 하는데 지나칠 수가 없네요
23.3.1.수,반응 남기기 방문일 23.3.1.수 2023년 3월 1일 수요일 7번째 방문 인증 수단 영수증
23.2.28.화,반응 남기기 방문일 23.2.28.화 2023년 2월 28일 화요일 38번째 방문 인증 수단 영수증
23.2.27.월,반응 남기기 방문일 23.2.27.월 2023년 2월 27일 월요일 37번째 방문 인증 수단 영수증
23.2.26.일,반응 남기기 방문일 23.2.26.일 2023년 2월 26일 일요일 36번째 방문 인증 수단 영수증
23.2.19.일,반응 남기기 방문일 23.2.19.일 2023년 2월 19일 일요일 35번째 방문 인증 수단 영수증
23.2.12.일,반응 남기기 방문일 23.2.12.일 2023년 2월 12일 일요일 6번째 방문 인증 수단 영수증
23.1.29.일,반응 남기기 방문일 23.1.29.일 2023년 1월 29일 일요일 34번째 방문 인증 수단 영수증
23.1.24.화,반응 남기기 방문일 23.1.24.화 2023년 1월 24일 화요일 6번째 방문 인증 수단 영수증
23.1.22.일,반응 남기기 방문일 23.1.22.일 2023년 1월 22일 일요일 1번째 방문 인증 수단 영수증
23.1.22.일,반응 남기기 방문일 23.1.22.일 2023년 1월 22일 일요일 33번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 1번째 방문 인증 수단 영수증
23.1.14.토,반응 남기기 방문일 23.1.14.토 2023년 1월 14일 토요일 5번째 방문 인증 수단 영수증
23.1.11.수,반응 남기기 방문일 23.1.11.수 2023년 1월 11일 수요일 1번째 방문 인증 수단 영수증
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 32번째 방문 인증 수단 영수증
22.9.10.토,반응 남기기 방문일 22.9.10.토 2022년 9월 10일 토요일 4번째 방문 인증 수단 영수증
22.5.22.일,반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 1번째 방문 인증 수단 영수증
22.5.7.토,반응 남기기 방문일 22.5.7.토 2022년 5월 7일 토요일 1번째 방문 인증 수단 영수증
22.5.6.금,반응 남기기 방문일 22.5.6.금 2022년 5월 6일 금요일 12번째 방문 인증 수단 영수증
22.4.18.월,반응 남기기 방문일 22.4.18.월 2022년 4월 18일 월요일 1번째 방문 인증 수단 영수증
22.4.17.일,반응 남기기 방문일 22.4.17.일 2022년 4월 17일 일요일 37번째 방문 인증 수단 영수증
22.4.10.일,반응 남기기 방문일 22.4.10.일 2022년 4월 10일 일요일 1번째 방문 인증 수단 영수증
22.4.10.일,반응 남기기 방문일 22.4.10.일 2022년 4월 10일 일요일 4번째 방문 인증 수단 영수증
22.4.9.토,반응 남기기 방문일 22.4.9.토 2022년 4월 9일 토요일 1번째 방문 인증 수단 영수증
22.4.8.금,반응 남기기 방문일 22.4.8.금 2022년 4월 8일 금요일 36번째 방문 인증 수단 영수증
22.4.1.금,반응 남기기 방문일 22.4.1.금 2022년 4월 1일 금요일 5번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 35번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 34번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 33번째 방문 인증 수단 영수증
22.3.21.월,반응 남기기 방문일 22.3.21.월 2022년 3월 21일 월요일 2번째 방문 인증 수단 영수증
22.3.20.일,반응 남기기 방문일 22.3.20.일 2022년 3월 20일 일요일 58번째 방문 인증 수단 영수증
22.3.12.토,반응 남기기 방문일 22.3.12.토 2022년 3월 12일 토요일 57번째 방문 인증 수단 영수증
22.3.4.금,반응 남기기 방문일 22.3.4.금 2022년 3월 4일 금요일 31번째 방문 인증 수단 영수증
22.2.28.월,요즘 가격이 계속 오르네요
22.2.24.목,반응 남기기 방문일 22.2.24.목 2022년 2월 24일 목요일 56번째 방문 인증 수단 영수증
22.2.20.일,반응 남기기 방문일 22.2.20.일 2022년 2월 20일 일요일 29번째 방문 인증 수단 영수증
