date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
4.28.월,"아조씨 성수 탐방,,, 뚝도시장 행복 선지해장국집 방문,,,  좋은 점: 생긴지 2~3년 됐는데,,, 뚝도시장 정겨운 위치에 있다보니,,, 자동,,, 노포같은 분위기를 갖추고 있읍니다,,, 해장국 시키면,,, 선지와,, 기타 건더기가 충만합니다,,, 행복,,, 식사 하십시오,,, 내장볶음 궁금해서 먹어봤는데,,, 약간 마라향이 들어간,,, 빨간 스타일 입니다,,, 단짠 느낌이라,,, 술안주로 나쁘지 않았읍니다,,,  아쉬운 점: 크게 없읍니다,,, 김치도 맛도리고 사장님도 친절하십니다,,, 선지 좋아하시면,,, 가십시오,,,  행복은,,, 어디에나 있는 것,,,^^"
6.11.수,양의 양도 많고 푸짐한데 양의 돌기가 조금 뻣뻣해요.
7.11.금,최고의 해장국 집입니다. 메뉴 거를것 없이 다 맛있고 내장볶음은 완젼 별미 강추 입니다. 꼭 드셔보세요~!!
7.11.금,저녁에 지인들과 술 마시기 최적의 메뉴 구성. 해장국 맛은 최고.
1.8.수,먹다가 찍어서 음식 사진이 별루 지만 내장러버 인 제가 전국에서 top찍은 내장탕 맛집 입니다 두툼하고 쫄깃한 다양한 종류의 내장이 끝도 없이 나오네요.. 처음에는 설렁탕같은 하얀국물 이고 고추기름과 후추 이곳에 킥 인 청양고추 다짐 을 넣으면 세상 얼큰한 내장탕 으로 변신 합니다 많이 매우니 고추다짐 은 적당히 넣으세요 일행이 먹은 소고기버섯 도 얼큰하니 해장 이 되네요 재방문 예정 x1000000
1.23.목,해내탕은 빨간국물이고 내장탕은 하얀국물. 해장의 기능적 요소로인해 고추기름과같은 매운맛이 첨사되어 빨간모습을 갖추게 된 것이었다. 얼큰함뿐 아니라 아이스크림이라던가 다른것으로도 해장하는 사람들이 있는걸보면 해장은 여러모습을 가질 수 있어보였다. 코끼리의 코가 길고 귀가 넓적한것처럼 우리는 해장의 일부분을 보는 것일까. 아니먼 애초에 해장이란것은 없는 것일까. 그저 속이 풀린다는 기분을 내게만드는 각자의 취향이 발현되는 순간일뿐일까.
24.11.15.금,소고기버섯해장국 완전 추천!!!! 소고기도 많이 들어 있고 양도 많아요 그리고 밥 모자르면 더 주세요!! 앞으로 해장국 먹으러 여기만 갈듯ㅎㅎㅎ 해장국안에 콩나물 시래기 버섯 등 내용물도 가득해요 맵지는 않고 얼큰하답니다ㅎㅎ
1.9.목,전날 내장탕 에 이어 해장국 먹었습니다...아 여긴 다 맛있네....하 미쳤습니까 ㅎ 진짜 예전 30년전 양평에서 먹었던 그 맛 두툼한 양과 소프트한 선지 적당한 콩나물 진~한 국물에 잘 어울리는 깔끔한 동치미무 짠지 까지...여긴 진짜 찐양평 해장국 이 네요.
24.12.23.월,소고기 버섯탕 먹었는데 술안마시는데도 소주 땡기는 맛이였어요 시원하고 국물 진짜 진국이예요*´ސު｀* 추운날 몸녹이고 갑니다
1.30.목,명절 날 ~~~저녁 맛있게 먹었어요
1.11.토,"소개로 갔는데, 기본적으로 프랜차이즈 매장인줄 알았지만, .시장내 로포 기본에 충실하면서 부담 없이 재밌게 먹고 왔어요"
1.6.월,사장님 오늘 지으신 밥인가요? 여쭤보고 밥이 딱딱하다고 말씀드리니 되려 그럼 어떻게 해드려요? 라는 답변 잘 들었습니다 죄송합니다 라고 먼저 하셨으면 충분히 이해 되는 상황이었는데 사장님 말투가 너무 기분 나빴네요 옆테이블은 블로그 체험단인지 잘해주시던데.. 체험단 아니여도 다른 손님도 파워블로거 일 수도 있습니다..파워블로거가 아니여도 모두에게 친절하셨으면 좋겠네요
24.9.14.토,뚝도시장 갈때마다 눈여겨 보다가 이번에 늦은 저녁먹으러 방문  인터넷에는 해내탕 15000원 으로 되있는데 12000원 이네여  양이 진짜 푸짐 내장엄청 많이 들어 있습니다 밥 반공기  주는 이유가 있었네요 . 전 공기 2개 먹었는데 배터지는줄  존맛탱 입니다
24.11.25.월,내장도 풍성하고 국물도 맛있어요
24.8.31.토,먹어도먹어도 전혀 줄지 않는 ‘더 양평 해장국’  뚝도시장에 보물 더 양평해장국이다 내장탕은 정말 먹어도먹어도 끝까지 먹어도 내장이 계속 나온다 밥과 반찬은 더 먹고 싶다고 하면 계속 주신다  다진마늘을 요청하고 고추기름과 간장 고추지를 넣어 섞은 후 내장들을 찍어먹으면 이만한게 없다  이정도면 서울에 있는 내장탕집 중에서는 원티어가 아닐까 싶다  해장이 생각나거나 든든한 한끼 혹은 소주가 땡기는 날 언제든 추천해 줄 수있는 더 양평해장국이다
24.11.13.수,양이 많고 뚝배기에 나오다 보니 따뜻함이 오래가니깐 좋아요 공기밥 무제한이 참 메리트 있네요:) 저희 남편은 공기밥 세그릇 먹은거 안비밀요!!
1.26.일,반응 남기기 방문일 1.26.일 2025년 1월 26일 일요일 4번째 방문 인증 수단 영수증
1.8.수,반응 남기기 방문일 1.8.수 2025년 1월 8일 수요일 3번째 방문 인증 수단 영수증
1.5.일,반응 남기기 방문일 1.5.일 2025년 1월 5일 일요일 2번째 방문 인증 수단 영수증
24.12.25.수,반응 남기기 방문일 24.12.25.수 2024년 12월 25일 수요일 1번째 방문 인증 수단 영수증
24.6.22.토,비와서 국밥이 먹고 싶더라고요! 성수역해장국 집 찾다가 더양평해장국에서 헤네전골 맛있게 먹고 왔어요! 내장이 듬뿍 들어있는 해네전골은 푸짐하고 깊은 국물맛에 술 한잔 하기 좋겠더라고요! 뚝도시장 안에 있고 밥 먹고 한강 산책하기도 좋아서 다음에 또 들르고 싶어요!!
24.7.13.토,아이랑 와서 편하고 너무나 맛있거ㅣ 잘 먹고갑니다~!!♡♡ 하얀 내장탕이있어서 아이도 꿀떡꿀떡 잘먹었어요~!!! 양 푸짐합니다♡!!!!!!! 강츄~♡♡♡!!!
24.12.11.수,반응 남기기 방문일 24.12.11.수 2024년 12월 11일 수요일 1번째 방문 인증 수단 영수증
24.6.21.금,"양선지해장국 처음 먹어봤는데, 정말 든든하고 맛있었습니다. 왜 성수에 2호점까지 있는지 알겠더라구요. 다음엔 버섯해장국 먹으러 오려구요~^^"
24.7.21.일,시장 안에 있는 아주 맛있는 해장국집입니다! 양이 증말 많아요 추천추첰
24.2.19.월,"자롱의 맛따라 길따라 맛집 정보방의 소개로 방문하게 됐습니다. 평일 늦은 점심 방문 했습니다. 성수 뚝도시장 골목 안쪽에 쌍방울 & 트라이 간판이 보인다면 그곳이 더양평 입니다. ㅎ 옛날간판 겜성 너무 좋습니다. 주문한 메뉴는 해장국 10.000원! 10분정도면 메뉴가 나옵니다. 지금까지 가봤던 양평해장국 st의 매장들보다 좋았던 점은 1. 양이 겁나 많습니다. 2. 양에서 냄새가 1도 안납니다. 3. 직접손질한 양인지 두툼하게 썰어내줘서 식감이 죽입니다. 4. 국물마시는 순간 그냥 해장각! 입니다.  오픈한지 얼마되지 않은걸로 아는데, 곧 해장러들의 성지가 될 곳이라고 감히 예상해봅니다. ^^"
24.9.19.목,맛있게 잘먹었습니다  음식 맛있습니다 다만 사장님 서비스 마인드는 조금 약합니다 사장님이 나쁜게 아니라. 성격인거 같습니다  조은 분 입니다 방문 하셨다가 혹시나 상처 받으실까바. 미리 말씀 드려요^^
24.5.7.화,며칠 전에 친구랑 함께 먹고 그 새 또 생각나서 재방문. 신선하고 맛좋은 선지 듬뿍. 쫄깃하고 향 좋고 식감 좋은 양 듬뿍. 국물 밸런스 너무 좋고 조합해서 먹는 양념장 또한 제대로임. 콩나물에 우거지에 조연 캐스팅 완벽😆 밥은 남을까 싶어 살짝 적은 양 나오는데 모자라면 리필 친절하게 해주심. 공깃밥 두 그릇 뚝딱. 해장국 뚝배기 바닥까지 순삭😋 근래 먹은 양평해장국 계열 중 최고입니다
24.7.4.목,정말 내장이 푸짐하면서 맛있네요! 다음에 또 재방문하고싶습니다! 친절한 사장님과 직원들 덕분에 기분도 좋았습니다만 맛이 일품입니다
24.7.8.월,고기양 대박입니다 든든하게 한끼로 추천드립니다
24.5.29.수,남편이랑 저녁밥먹을라고 들렸어용! 해내전골이라는걸 처음 먹었는데 선지도 많고 각종 내장이 많이 있더라구용!! 와 진짜 이렇게 양 많은 내장탕은 처음이에요! 사장님이 서비스해주신건가?? ㅋㅋㅋㅋㅋㅋ진짜 양이 너무 많았어용! 맛있는거 많이 주는 사람 노벨상 받아야하는 사럄🫶🏻🫶🏻 사장님을 국회로 보내고 싶은 맛집이였습니다ㅠㅠ🫶🏻 친구들에게 추천할거에용!
24.6.6.목,양 진짜 많아서 다음부터 버섯탕 먹으려구요
24.6.30.일,강서에는 해장국 맛집이 많아서 좋겠어요!! (๑>؂< ๑)۶
24.10.20.일,반응 남기기 방문일 24.10.20.일 2024년 10월 20일 일요일 1번째 방문 인증 수단 영수증
