date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
5.28.수,너무 넓고 좋아요 ㅋ 커피 가격 완전 혜자
24.9.27.금,커피 & 뷰 맛집~🏙️👍🏻
24.6.27.목,반응 남기기 방문일 24.6.27.목 2024년 6월 27일 목요일 1번째 방문 인증 수단 영수증
23.10.16.월,반응 남기기 방문일 23.10.16.월 2023년 10월 16일 월요일 11번째 방문 인증 수단 결제내역
23.9.25.월,반응 남기기 방문일 23.9.25.월 2023년 9월 25일 월요일 10번째 방문 인증 수단 결제내역
23.9.18.월,반응 남기기 방문일 23.9.18.월 2023년 9월 18일 월요일 9번째 방문 인증 수단 결제내역
23.9.13.수,반응 남기기 방문일 23.9.13.수 2023년 9월 13일 수요일 8번째 방문 인증 수단 결제내역
23.9.4.월,반응 남기기 방문일 23.9.4.월 2023년 9월 4일 월요일 7번째 방문 인증 수단 결제내역
23.8.24.목,반응 남기기 방문일 23.8.24.목 2023년 8월 24일 목요일 6번째 방문 인증 수단 결제내역
23.7.27.목,반응 남기기 방문일 23.7.27.목 2023년 7월 27일 목요일 5번째 방문 인증 수단 결제내역
23.7.4.화,반응 남기기 방문일 23.7.4.화 2023년 7월 4일 화요일 4번째 방문 인증 수단 결제내역
23.5.30.화,반응 남기기 방문일 23.5.30.화 2023년 5월 30일 화요일 3번째 방문 인증 수단 결제내역
23.5.25.목,반응 남기기 방문일 23.5.25.목 2023년 5월 25일 목요일 2번째 방문 인증 수단 결제내역
23.5.9.화,반응 남기기 방문일 23.5.9.화 2023년 5월 9일 화요일 1번째 방문 인증 수단 결제내역
22.12.25.일,반응 남기기 방문일 22.12.25.일 2022년 12월 25일 일요일 1번째 방문 인증 수단 영수증
22.10.16.일,반응 남기기 방문일 22.10.16.일 2022년 10월 16일 일요일 1번째 방문 인증 수단 영수증
22.6.30.목,반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 1번째 방문 인증 수단 영수증
22.2.24.목,반응 남기기 방문일 22.2.24.목 2022년 2월 24일 목요일 1번째 방문 인증 수단 영수증
21.6.5.토,반응 남기기 방문일 21.6.5.토 2021년 6월 5일 토요일 1번째 방문 인증 수단 영수증
21.6.3.목,반응 남기기 방문일 21.6.3.목 2021년 6월 3일 목요일 1번째 방문 인증 수단 영수증
21.4.11.일,반응 남기기 방문일 21.4.11.일 2021년 4월 11일 일요일 1번째 방문 인증 수단 영수증
20.5.28.목,반응 남기기 방문일 20.5.28.목 2020년 5월 28일 목요일 1번째 방문 인증 수단 영수증
