date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
10.19.일,옆테이블보고 핫도그 먹는데 왜 비닐장갑을 주시나함....받아보니 핫도그가 겁나커요 ㅋㅋㅋㅋㅋㅋㅋ엄청 풍성하고 맛있어요ㅠㅠ 나초도 꿀맛..... 쿨한 분위기인데 직원분들이 친절하시기까지 함 그런데 딱 하나 아쉬운 건 콜라 먹을 때 부탁드린 스트로우가 종이라서 콜라 거품이 올라와서 그게 조금 아쉬워요ㅎㅎ ㅠㅠ 뭐 이건 제가 부탁한거라 상관없구요ㅎㅎ 그냥 맛있어서 너무 너무 괜찮습니다!! 가성비도 진짜 좋아요
10.4.토,미국식 핫도그를 너무 좋아하는데 완전히 취향저격입니다!! 일단 직접 만드는 소세지라 건강한 먹거리로도 손색이 없네요~ 감자튀김이랑 맥주도 너무 시원하고 맛있어요! 핫도그에 맥주한잔 마시기에 스트레스 날아갈만한 맛이에요~자주 방문겠습니다^-^
10.18.토,"성수동 주민입니다 지나가다 우연히 들렸는데 소시지랑 토핑이 미쳤습니다 양도 많고 맛이 진짜 대박이네요 집 앞이라 혼맥하러 왔는데 필바이젠? 처음 보는 맥주인데 맛이랑 에프터 너무 깔끔하네요 바 테이블 있어서 혼자 맥주 마시면서 유튜브 보기 좋아요 재방문 의사 58,000%!!"
10.17.금,생각보다 양이 많아서 놀랬어요!!!! 핫도그도 핫도그인데 특히 소세지가 진짜…👏👏👏 다들 성수오면 도그아웃 한 번 방문해뷰세요!!!
10.4.토,"제가 소세지 1급 발암물질 이어서 핫도그 안먹는데, 물어보니 여기는 직접 공장을 가지고 있대요, 돼지고기로 화학첨가물 없는 소세지로 만든대요. 그래서 소문듣고 와봤어요. 일반적인 케챱,머스타드 맛 이 아닌 진짜 맛 있는 핫도그를 영접했어요~~ 특히 빵에 발라져있는 신기한 가루 양념이 뭔지는 모르겠지만 끝맛을 한번 더 쳐주니 없어지는게 아쉽더라구요. 맥주랑 먹으니 끝도없이 들어가네요. 앞으로 핫도그는 무조건 여기서 먹겠어요!!!!!!!"
