date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
5.13.화,금남시장의 삼겹살집이자 백반집이자 반찬도 파는식당 재래시장안에 있지만 엄청 깔끔한 내부 거기에 화장실도 작지만 내부에 있음 삼겹살은 예약제 근처 정육점에서 좋은 고기를 받아서 판매하는 형태 삼겹살을 시켜도 엄청나게 맛난 맡반찬이 깔리는집 이날은 가지랑 도라지가 너무 맛있었음 된장찌개도 서비스로 주사는데 그 양도 어마어마 은은한 맛이리 밥없이 먹어도 맛있은 된찌스타일 이집은 쌈까지맛있음 집밥같은 집 삼겹살이 너무 맛있음
6.17.화,자극적이지 않으면서 친정엄마가 해주는 반찬 같아서 너무 맛있었어요~~~ 그리고 먹었던 반찬들 구매할 수 있구요. 반찬가게 이자 식당이에요.   삼겹살은 예약이더군오.
9.24.수,반응 남기기 방문일 9.24.수 2025년 9월 24일 수요일 2번째 방문 인증 수단 영수증
5.24.토,인천에서 압구정까지 나들이ㅋㅋ 근처 맛집 찾다가 금남시장 삼겹살 픽!!!!  여기 오길 참 잘했다👏👏👏  친절하신 사장님 내외분 정성스런 반찬이 계속 나오고 하나하나 너무 맛있어서 고기 나오기전 막걸리가 술술~~  그중 파김치가 킥👊  생삼겹살도 질이 너무 좋고 맛도 좋고 그래서 또 술이 술술~~~ 대낮부터 낮술..헤롱헤롱😵‍💫  너무 맛있게 잘먹었습니다 기분좋은 하루 마무리👍
8.24.일,청국장 맛있게 먹고 갑니다
4.21.월,생삼맛집 원래는 백반집 삼겹은 예약후 먹을수 있음 백반집이라 반찬이 너무 잘나옴 반찬은 판매까지 하는집인만큼 하나하나 다 맛있음 상추 깻잎이 아닌 여린열무를 쌈으로 주시는데 그게 진짜 별미 거기에 서비스 된장찌개 너무 맛있음 기치도 다 직접 담그사고 쌀밥도 좋은쌀 쓰시는듯 주인언니는 너무 친절핫고 인심도 좋으심 내부에 작지만 깨끗한 화장실도 있음 다음엔 고등어조림 먹으어 가야겠음 강추
3.9.일,약속이 어긋나서 혼자 점심을 해결하다. 시장골목에서 고등어조림을 먹으려 했으나 1인상은 안되어서 백반을 먹다. 반찬이 깔끔하여 앗있게 비웠다. 오늘 한끼도 건강을 챙기며 소화하다. 여러분도 건강하세요!!
24.11.30.토,맛집인가봐요 .남자사장님 무섭게 생겨서 그냥 나갈까 ...사람많은이유 있었네요 너무 맛았게 먹고 나온 ...감사합니다 먹다보니 생선새끼 ...이집 한동안 갈곳같아요 시장통이라 화장실좀 아쉬웠네요 ..
24.12.1.일,반응 남기기 방문일 24.12.1.일 2024년 12월 1일 일요일 1번째 방문 인증 수단 영수증
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 9번째 방문 인증 수단 영수증
2.10.월,반응 남기기 방문일 2.10.월 2025년 2월 10일 월요일 8번째 방문 인증 수단 영수증
24.1.3.수,"금호동 금남시장 내에 있는 맛있는 백반맛집인데요 이날 동태탕 먹으면서 엄마 생각나는 손맛에 감동스러운 곳이었어요 탕이 메인인데 반찬 그릇에 담긴 반찬들이 수북수북, 인심이 대박급이더라고요 반찬이 촉촉하니 메마르지도 않았어요 특히나 짜지 않은 간으로 집에서 하는 것보다 더 맛있는 반찬들이었나고나 할까요 이날 먹은 동태탕은 몇분만 더 끓여 먹어도 감칠맛이 풍부했는데, 동태로 많이 들어가고 바지락도 듬뿍, 배추를 쫑쫑 썰어 넣어 시원하게 국물맛을 내고 있었답니다 반찬 못지 않게 메인 메뉴도 엄청 많이 주셔서 2인분인지만 3인분 같은 양이 었어요 시원하면서도 맵지않은 칼칼함, 땀이 송글송글 맺히는 기분좋은 따끈한 뒷맛까지 겨울에 먹기 좋은 음식으로 추천드리고 싶네요 금남시장 맛집에서 백반급 반찬에 동태탕 먹었어요"
24.7.5.금,반찬이 그리울 때 혼자
24.2.19.월,반응 남기기 방문일 24.2.19.월 2024년 2월 19일 월요일 1번째 방문 인증 수단 영수증
23.11.7.화,아주머니 친절엄청친절 하세욤!!! 집밥이네용!!^^
23.6.27.화,밑반찬 등 정갈하고 깔끔하며 간도 쎄지않아 식사하기 좋은 곳입니다 보통 이 식당에 가면 정식을 먹어요
23.7.15.토,반응 남기기 방문일 23.7.15.토 2023년 7월 15일 토요일 1번째 방문 인증 수단 영수증
23.7.22.토,반응 남기기 방문일 23.7.22.토 2023년 7월 22일 토요일 1번째 방문 인증 수단 영수증
23.1.12.목,밑반찬 잘나와서 조아요
22.12.17.토,반응 남기기 방문일 22.12.17.토 2022년 12월 17일 토요일 1번째 방문 인증 수단 영수증
22.10.22.토,백반 좋아하시는분들 강추
22.10.19.수,반응 남기기 방문일 22.10.19.수 2022년 10월 19일 수요일 1번째 방문 인증 수단 영수증
22.11.14.월,반응 남기기 방문일 22.11.14.월 2022년 11월 14일 월요일 2번째 방문 인증 수단 영수증
