date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
8.25.월,타코샐러드 너어무 맛있어요.🥗 타코러버라면 강추추추 양도 많고 인기맛집인 이유알겠더라구요!
5.28.수,잘 먹었습니다 ㅎ 제 입맛에는 가벼웠어요 자극적이지는 않아서 가볍게 먹기에는 괜찮은데 강렬한 멕시칸 타코 를 좋아 하는 저는 아쉽..네요 착한 타코 맛
9.14.일,가격도 생각보다 저렴하고 소스가 살짝 매콤하면서 고기가 부드러워요
7.6.일,다양하게 먹고 싶어서 이거저거 주문했더니. 2인이 먹다 배가 터지는 줄 알았어요. 포장운 처음이였는대 꼼꼼하게 가득담아 주셔서 집에서 편하게 먹을 수 있었어요. 남은 것은 다음날 살짝 돌려 커피랑 먹으니 간단하면서 든든한 식사가 되었어요. 다음에도 포장할때는 조금 넉넉하게 주문해야겠어요. ㅎ
6.21.토,볼이 먹고싶어서 시켰는데 -양 넉넉 -아늑한 가게 -저녁 시간 되니 사람 계속 들어옴
6.27.금,"항상 깔끔하고 맛있습니다~:) 특히 부리또하고 샐러드보울, 부리또보울 가성비도 좋고 양도 딱 좋아요~매장도 깨끗해서 먹을 때 기분 좋습니다~"
5.31.토,친구들과 타코먹고싶어서 성수도 맛집 검색하고 찾아왔어요^^기대이상으로 넘맛있었어요. 직원분들도 친절하고 양도많고 매장도 깨끗해요. 다음에 또 방문할게요^^
3.19.수,"서울 성수동 멕시코🇲🇽 요리 맛집  타코🌮, 브리또 등 정갈하게 멕시칸 요리를 즐길 수 있는 곳,  브리또🌯는 재료가 제대로 세절🥬되어 있어서 베어먹기에도 편했다.  보울🥗은 양도 많고 구성이 알차고 밸런스가 좋았다.  감튀🍟는 쵹쵹하이 파삭한 냉동같지 않은 신선한 맛이었다.  재방문 의사 : 115 😃"
4.24.목,맥시코 요리를 참 좋아하는데 가격 대비 훌륭합니다.  파히타는 2-3인 정도 되는데 모자라시면 서브나 사이드로 너무나 다양한 음식들이 많으니 꼭 드셔보세요.  매장도 쾌적하고 셀프 코너에 여러가지 소스도 구비돼 있으니 취향에 맞게 가져다 드시면 좋습니다.  서울숲 다녀오시면서 들려보세요.
7.18.금,리뷰 잘 안남기는데 맛있습니다!
7.1.화,포크 부리또볼 추천해요 야채 고기 밸런스 너무 좋고 맛있습니다.
3.8.토,이사가서 너무 오랜만에 들렀는데 여전히 너므 너므 맛있다.
3.11.화,"친구랑 점심시간에 같이 간단하게 먹고 싶어서 방문했는데, 친구가 여기 메뉴는 다 맛있다고 할 정도로 맛있었어요☺️  그리고 제가 짐이 좀 있어서 점심시간에 4인테이블에 앉아서 친구 기다리는데 알바?분은 자리 옮겨달라고 했다가 사장?님 같은 분이 그냥 앉아 계셔도 된다고 말씀해주셔서 감사했어요ㅎㅎ  저도 점심시간이라 2인테이블에 앉아서 기다리고 싶었는데 짐을 둘 공간은 따로 있지 않더라구요ㅠㅠ  그래도 센스있는 사장님 덕분에 맛있게 잘 먹구 갑니다~! 회사동료분들이 뭐 먹고 왔냐고 물어봐서 말씀 드렸더니 다음에 먹으러가봐야겠다고 하시네요ㅋㅋㅋ🥳"
24.12.17.화,너무 맛있어요! 부리또볼만 먹는 친구 데려가본 건데 타코로 부리또로 싸 먹어도 넘 맛있대요😄
4.5.토,반응 남기기 방문일 4.5.토 2025년 4월 5일 토요일 1번째 방문 인증 수단 영수증
24.8.14.수,"두번째 방문으로 뜨지만 ㅜㅠ 배달, 포장, 방문 15회 이상. 데려간 사람들 모두 맛있다고 함. 실패없는 도쎄❤️ 지방사는 친구 가끔씩 여기 생각난다고 할정도 ㅎ 앞으로 리뷰 잘 써야지 ㅜㅜ 저번에 친구랑 와서 화이타 먹었는데 너무 맛있었어요!!(사진참조)"
24.9.28.토,입짧은 아이와 성수 갈때마다 가는 곳입니다 . 다 맛있습니다 . 몇년째 그대로 인곳을 좋아하는데 …인테리어든 …맛이든 .. 몇년째 변함이 거의 없어 가면 늘 맛있게 먹고 오는 곳입니다 . ^^ .
24.11.15.금,서울숲에서 돗자리 펴고 먹으려고 타코 포장했는데 너무 맛있어서 종종 생각나요ㅎㅎ 직원분도 친절하시고 주문한 메뉴도 빠르게 나와서 좋았습니다! 포장도 깔끔하게 해주셔서 먹기 편했어요 :)
24.11.6.수,반응 남기기 방문일 24.11.6.수 2024년 11월 6일 수요일 1번째 방문 인증 수단 영수증
24.8.19.월,"점심식사 시간에 가끔 방문하는 곳입니다.  부담스럽지 않게 데일리로 멕시칸 음식을 먹을 수 있는 곳이예요. 브리또, 타코, 퀘사디아, 샐러드볼의 멕시칸 음식이 있습니다.  종류별로 치킨, 비프, 포크 등 다양한 종류의 고기 재료를 사용한 메뉴가 았어 다양하지만 가볍게 즐기기 좋아요.  테이블은 그날 그날 상황이 다른데 식사 피크시간에 자리가 모자라서 10분 정도 기다려야하는 날도 있고 한산한 날도 있고 날에 따라 편차가 좀 있는 편입니다."
24.9.23.월,여기 진짜 진짜 맛있어요~~!!! 늘 오는곳인데 진짜 찐맛집🥹❤️❤️ 제 최애 타코집이에요☺️❤️❤️ 소스 진짜 ㅠㅠ 나쵸 대박 ㅠㅠ 나쵸도 타코도 샐러드도 다 맛있는집! 꼭가세요 절대 후회안해요👍🏻❤️
24.9.23.월,나초가 기름/수분을 먹은 듯 눅눅하고 바삭하게 잘라지지 않고 구부려도 둥그렇게 구부려져서 아쉬웠어요
