date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.24.수,돈카츠가 먹고싶어서 방문했습니다! 이름대로 돈카츠가 맛있네요☺️ 새우카츠도 맛있습니다 추천드립니다!
3.28.금,"적어도 이주에 한 번은 방문하는 것 같아요,,! 가성비가심비 둘다 만족할 수 있는 곳이에요 고기 질도 좋고 맛도있고 사장님도 친절하시고! 맛있게 먹을 수 있었습니당!☺️ 다음에 또 올게요오!☺️"
8.15.금,돈가스 집인데 가라아게도 진짜 맛있어요 크고 진짜 가라아게 맛집
4.14.월,"오늘은 저녁에 방문했어요! 늘 낮에만 왔었는데, 저녁에 와서 먹어도 여전히 맛있었습니다☺️ 일주일에 한 두번은 꼭 먹어야해요!☺️"
4.10.목,거의 주에 한번씩은 꼭 오는 것 같아요! 언제나 먹어도 맛있고 질리지도 않고 무엇보다 사장님이 친절해서 너무 좋아요!☺️ 주에 한 번씩은 먹어줘야하는 돈경돈까스 정말 맛있습니다!☺️🫶🏻
10.16.목,반응 남기기 방문일 10.16.목 2025년 10월 16일 목요일 1번째 방문 인증 수단 영수증
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 1번째 방문 인증 수단 영수증
8.4.월,돈까스가 너무너무 맛있습니다~~~!!
