date,content
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
24.11.25.월,반응 남기기 방문일 24.11.25.월 2024년 11월 25일 월요일 1번째 방문 인증 수단 영수증
7.18.금,음식도 금방 나오고 무엇보다 맛있는데 가격이 사기입니다 성수땅에서 돈까스가 칠천원이라니~~~ 아쉬운건 어두워서 대충 지나가면 닫혀있는 가게처럼 보여요ㅠ 영업중 푯말이 있어서 긴가민가하면서 들어갔네요 영업중이라는게 팍팍 티나야 사람들이 올거 같아요
2.14.금,반응 남기기 방문일 2.14.금 2025년 2월 14일 금요일 3번째 방문 인증 수단 영수증
24.12.11.수,반응 남기기 방문일 24.12.11.수 2024년 12월 11일 수요일 1번째 방문 인증 수단 영수증
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 1번째 방문 인증 수단 영수증
24.2.26.월,고기가 좀 얇은 편.. 가성비대비 괜찮아요
23.12.5.화,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 23.12.5.화 2023년 12월 5일 화요일 2번째 방문 인증 수단 결제내역
23.12.4.월,보통의 맛 괜찮아요 몇번 방문 한곳 임니다.
23.10.27.금,쫄면 먹고 싶을 때 가는데 맛있어여. 돈까스 카레도 맛있구요
23.6.7.수,카레도 넉넉하게 주시고 돈가스도 맛있어요!
23.6.26.월,아들과 맛있게 먹었습니다~
23.4.21.금,반응 남기기 방문일 23.4.21.금 2023년 4월 21일 금요일 7번째 방문 인증 수단 영수증
22.11.18.금,반응 남기기 방문일 22.11.18.금 2022년 11월 18일 금요일 1번째 방문 인증 수단 영수증
22.11.30.수,반응 남기기 방문일 22.11.30.수 2022년 11월 30일 수요일 2번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 2번째 방문 인증 수단 영수증
22.11.17.목,반응 남기기 방문일 22.11.17.목 2022년 11월 17일 목요일 2번째 방문 인증 수단 영수증
22.8.16.화,반응 남기기 방문일 22.8.16.화 2022년 8월 16일 화요일 1번째 방문 인증 수단 영수증
22.8.16.화,반응 남기기 방문일 22.8.16.화 2022년 8월 16일 화요일 1번째 방문 인증 수단 영수증
22.8.16.화,반응 남기기 방문일 22.8.16.화 2022년 8월 16일 화요일 1번째 방문 인증 수단 영수증
22.6.23.목,좋아요 좋아요 좋아요 좋아요 좋아요
22.5.25.수,좋아요 좋아요 좋아요 좋아요
22.4.27.수,돈카스랑 쫄면 맛있어요
22.3.2.수,반응 남기기 방문일 22.3.2.수 2022년 3월 2일 수요일 1번째 방문 인증 수단 영수증
22.2.17.목,깨끗해서 항상 잘 이용중입니다 ㅎㅎ!
21.10.26.화,가격 저렴하고 맛납니다
21.10.19.화,반응 남기기 방문일 21.10.19.화 2021년 10월 19일 화요일 3번째 방문 인증 수단 영수증
21.8.27.금,그냥저냥 소소한 맛
21.8.17.화,옛날 카레를 먹어보고싶다면 정말 강추 회사근처라 우연히 왔는데 너무 든든하게 잘먹고갔습니다 사장님도 친절하시고 돈가스도 엄청 부드럽고 무엇보다 카레가 진하고 맛있네요 ㅎㅎ 또 들리겠습니다
21.4.26.월,옛날 돈까스 맛집~~!! 쫄면도 맛있어요~~~!!
21.3.16.화,반응 남기기 방문일 21.3.16.화 2021년 3월 16일 화요일 1번째 방문 인증 수단 영수증
21.1.20.수,반응 남기기 방문일 21.1.20.수 2021년 1월 20일 수요일 2번째 방문 인증 수단 영수증
20.8.19.수,돈랑카랑 추천해요 짱
20.8.25.화,반응 남기기 방문일 20.8.25.화 2020년 8월 25일 화요일 1번째 방문 인증 수단 영수증
20.6.29.월,돈 랑 카 랑 추천해요
20.7.1.수,반응 남기기 방문일 20.7.1.수 2020년 7월 1일 수요일 1번째 방문 인증 수단 영수증
20.6.4.목,#성수 #맛집 #돈랑카랑 #돈까스 #쫄면 영업을 한동안 안하셔서 폐업한 가게인 줄 알았는뎅 기회가 되서 먹어봤어요. 매장이 좁지만 사장님 부부도 좋으시고 돈까스도 맛나요~~?? 금액을 조금 더 올려서 모듬도 있었음 좋았을텐데 아쉽네요.
20.5.11.월,돈랑카랑 맛이 아 줗아요
