date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
6.19.목,35년동안 먹어본 돈가스중에 제일 맛있어요. 특히 기름을 엄청 깔끔하게 관리하시는게 돈가스 상태에서 느껴져요. 집 앞에 있는 가게라 자주 시켜먹다가 처음으로 리뷰 남겨봅니당.. 절대 없어지면 안돼요ㅠㅠ!!♥♥
6.13.금,사진을 못찍은게 ㅜㅜ 너무 맛있는 곳입니다. 쟁에두고 에어후라이어에 데워 먹습니다. 고기 질도 너무 좋아서 가족들 식사로 너무 딱입니다^^ 후회하는건 이가게를 너무 늦게 알았다는거!!!! 주변에 추천을 많이하고 있어요
3.25.화,돈까스.함박 맛있어여~♡ 친절해요~♡
5.17.토,왜이제서야 이곳을 알았는지 후회가 될정도로 맛있습니다~~~정말 맛있습니다!!
4.8.화,기름도 깨끗하고 넘 고소하고 맛있어요. 부스러기까지 탈탈 털어먹는 집
3.18.화,2번째 먹는건데 진짜 너무 맛잇어요 튀김이 바삭하고 너무 신선해요
3.6.목,이사온 후로 처음 먹어봤는데 진짜 맛있어요! 눅눅해지지 않도록 포장도 신경써주고 바삭바삭 갓 튀겨서 맛있게 먹엇어요
24.10.17.목,돈까스.함박 맛집~♡ 항상친절해여~~~^^
24.8.29.목,반응 남기기 방문일 24.8.29.목 2024년 8월 29일 목요일 1번째 방문 인증 수단 영수증
24.9.24.화,돈까스 맛있어여~~ 함박도~굿굿굿 친절해요~♡
24.11.13.수,이번에도 아주 맛있게 잘먹었습니다^^
24.10.5.토,사장님 친절하시고 매장도 튀김집인데 기름하나없이 엄청 깨끗했고 양도푸짐하고 맛있었습니다👍
24.8.17.토,주변 돈까스집 중에서 가장 맛있습니다. 고기도 두툼하구요. 그리고 주방이 너무 깨끗해요!
24.11.9.토,반응 남기기 방문일 24.11.9.토 2024년 11월 9일 토요일 10번째 방문 인증 수단 포장주문
24.9.30.월,맛은 기본이고 매번 친절하게 대해주셔서 감사합니다!
24.3.30.토,응봉 돈까스 맛집 있어 너무 좋네요^^ 도시락으로 주문해서 산으로 소풍가도 참 좋을것 같습니다 저는 내려오는길에 발견하여 용산공원에 가서 맛있게 먹었습니다 겉은 빠삭빠삭 부드러운 고기에 바로해주신 신선한 맛 너무 좋았습니다 집이 가까웠으면 더 자주갔을텐데 응봉산방문 기념품샵같은 꼭들러야하는 맛집입니다^^
24.7.22.월,응봉동 최고 가성비 맛집으로 추천합니다. 많은 분들이 드셔보셨으면 좋겠어요. 요즘 경기와 물가에 어디가도 이가격에 이튀김 퀄리티의 돈가스를 먹기 쉽지 않습미다.  사장님 제발 돈쭐나세요 😁
24.9.3.화,항상 맛있게 먹고있습니다. 번창하세요^^
24.8.15.목,"돈가스가 맛있어요. 가성비도 좋고요. 도시락세트도 있지만 돈가스, 새우튀김, 생선가스, 치즈돈가스, 치킨가스만 시켜도 좋네요."
24.10.11.금,포장해가서 맛있게 먹었어요
24.8.7.수,맛있는 음식 감사합니다!
24.9.13.금,반응 남기기 방문일 24.9.13.금 2024년 9월 13일 금요일 5번째 방문 인증 수단 영수증
24.6.12.수,항상 맛있게 먹고있습니다
24.5.6.월,맛있어요 바삭하고 가성비 넘 좋아요
24.5.6.월,포장해서 맛있게 잘 먹었습니다
24.6.14.금,반응 남기기 방문일 24.6.14.금 2024년 6월 14일 금요일 4번째 방문 인증 수단 영수증
24.5.20.월,반응 남기기 방문일 24.5.20.월 2024년 5월 20일 월요일 4번째 방문 인증 수단 영수증
24.2.23.금,반응 남기기 방문일 24.2.23.금 2024년 2월 23일 금요일 1번째 방문 인증 수단 포장주문
