date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.25.목,이전 직장 앞에 생겨서 몇년전 우연히 접한 돌매등인데 한번 먹어보고 너어어어어무 맛있어서 이직하고도 회사가 많이 멀어졌는데도 찾아오는 맛집입니다. 제가 리뷰 절대 안쓰는데 정말 강추에요!!! 전직장 사람들이 저보고 여기 투자했냐고 할 정도입니다 ㅋㅋㅋㅋㅋㅋ 전직장분들도 자주 방문하는 맛집이에요! 정말 한번만 와보세요 양이 엄청 많고 뼈도 스르륵 발라지고 너무너무너무 맛있어요!!! 꼭 와보세요 ㅎㅎ
