date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.13.월,깔끔하고 맛있어요! 동네 분식집 이제 여기 고정입니당
8.20.수,입맛 없는 더운 여름에 먹기 딱 좋은 냉면이에요! 양도 푸짐하게 주셔서 잘먹었습니다 ㅎㅎ 다음에는 다른메뉴 먹어보러 오려구요 사장님도 친절하세요 ~~
6.11.수,김밥 떡볶이 국물 다 맛있어요  사장님친절하시고 혼자가도 부담스럽지 않게 식사할 수 있는 편안한곳입니다 특히 김밥이 크기도 내용물도 딱 좋고 엄마느낌이 나는 포근한맛이라 자꾸 생각이 납니다  한줄포장도 정성스레 해주셔서 항상 감사합니다
10.2.목,반응 남기기 방문일 10.2.목 2025년 10월 2일 목요일 2번째 방문 인증 수단 영수증
5.8.목,야채김밥 깻잎떡볶이 먹었는데 참 맛나요>_< 가게도 깨끗하고 음식도 깨끗해요! 감사해요!
4.4.금,집에서 만들어주는 분식 먹는 것같은 정겨운 맛👍🏻
4.12.토,가성비가 너무 좋고 혼밥하기 좋은 곳. 사장님도 친절하세요. 또 올게요-
3.22.토,김밥 맛있어서 종종 포장해갑니다!
3.18.화,반응 남기기 방문일 3.18.화 2025년 3월 18일 화요일 1번째 방문 인증 수단 영수증
2.27.목,리뷰가 좋아서 방문 했는데 김밥 라면 다 맛있네요 ! 혼밥 하기 좋습니다 ~~ 다음에 또 방문 할게용 !
1.22.수,메뉴 전반적으로 맛있습니다! 라면이랑 떡만두국도 추천합니다!
24.12.23.월,혼밥하기좋은 상왕십리역 김밥맛집 동글동글입니다❣️
5.15.목,반응 남기기 방문일 5.15.목 2025년 5월 15일 목요일 1번째 방문 인증 수단 영수증
24.10.22.화,잔치국수가 먹고싶을때마다 항상 여기가 생각나요 매장도 엄청 깨끗하고 혼밥하는 사람도 많아서 편하개 혼밥할때 너무 좋아요 음식도 너무 맛있어요 특히 김밥이 진짜 너무... 항상 기끔씩 생각나는 상왕십리 맛집!!!
3.14.금,반응 남기기 방문일 3.14.금 2025년 3월 14일 금요일 1번째 방문 인증 수단 영수증
1.7.화,김밥 맛있어요 동글동글이란 이름 답게 김밥 맛집^^
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 1번째 방문 인증 수단 영수증
24.11.5.화,양도 많구 친절하시고 넘 좋아요!🫶
1.3.금,반응 남기기 방문일 1.3.금 2025년 1월 3일 금요일 12번째 방문 인증 수단 결제내역
24.10.22.화,비오는 아침 최고의 선택✨ 뜨끈하니 우동 너무 맛있고 얼큰했습니다 김밥집은 김밥이 맛있어야하는데 진짜 김밥맛집..!! 잘먹었습니당😚
24.9.30.월,멸추 김밥은 매콤해서 맛있고 참치김밥도 맛있어요!! 깻잎이랑 같이 먹는 떡볶이도 달달해서 맛나네용~
24.9.24.화,떡볶이가 땡겨서 방문 했어요!! 양도 푸짐하고 맛있어요!! 다음에도 방문 할게요!!
24.12.16.월,반응 남기기 방문일 24.12.16.월 2024년 12월 16일 월요일 1번째 방문 인증 수단 영수증
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 1번째 방문 인증 수단 영수증
24.4.20.토,동네 지나가며 꼭 들려야지 했었는데 냉면 생각에 처음 왔는데 솜씨 좋은 엄마 집밥이에요🤍💛 물냉면 잔치국수 진짜 맛있어요. 김밥 속도 꽉차있어요. 육수부터 다 직접 준비하시고 매장 내도 너무너무 깨끗해서 기분 좋게 잘 먹고 갑니당! 번창하세요 또 먹으러 올게요!
24.10.8.화,안에 테이블에 여유가 있어서 바로 들어갔어요. 음식이 맛있습니다! #김밥맛집
24.7.1.월,상왕십리역 김밥 맛집 동글동글입니다👍🏻 사장님 혼자 운영하셔서 점심시간엔 손님이 몰리면 조금 기다릴수 있어요! 하지만 기다린만큼 정성들여서 김밥 만들어주십니다!
24.4.15.월,혼밥하기 좋아요! 참치김밥하고 냄비라면 주문했는데 짱맛이에요☺️ 특히나 참치김밥 진짜 맛있네요. 참치가 진짜 많이 들어가있어요.  #동글동글 #김밥맛집 #혼밥 #상왕십리맛집 #왕십리맛집
24.7.29.월,김밥 생각나면 갑니다. 야채김밥 맛있어요
