date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
8.29.금,금호동 토박이 친구가 추천해준 금호역 동네언니 방문했는데 골뱅이탕 국물이 시원칼칼하고 속이 풀리는맛이여서 술이 술술 들어갑니다. 육전도 부드럽고 맛있었으며 골뱅이무침 양념이 또 기가 막히네요 면이 쫄면이여서 더 쫄깃하고 입에 착착 감기는 맛이였어요 사장님도 친절하시네요 추천합니다.
4.5.토,3호선 금호역서 금란시장쪽으로 내려가다보면 길가지만 살짝 안쪽에 위치~지나치지 않고 잘 들어가야합니다~근데 한번 들어가면 골뱅이와 이슬이에 젖어서 만취되서 나오는 불쌍사(!)가 생길 수 있으니 조심 하셔야 합니다~ㅎㅎ~
5.16.금,추적추적 비오는 날에 아주 잘 어울리는 집이죠 ㅎ 2차로 와서 골뱅이 무침에 간단히 한잔 하고 갑니다 간만에 왔는데 여전히 맛있고 친절하시네요 잘 먹고 갑니다
24.11.20.수,골뱅이 맛집이네요 국물도 끝내주네요 차를 가져와 소주를 못해 아쉬웠어요
3.13.목,반응 남기기 방문일 3.13.목 2025년 3월 13일 목요일 1번째 방문 인증 수단 결제내역
24.11.29.금,골뱅이탕이랑 무침 맛있어요~
24.10.11.금,항상 가는 2차장소~ 편안한 분위기라 좋습니다
3.12.수,반응 남기기 방문일 3.12.수 2025년 3월 12일 수요일 4번째 방문 인증 수단 영수증
24.10.10.목,골뱅이 진짜 크고 맛있더라구요
24.9.18.수,쟁반골뱅이 맛나요~~~다만 약간의 텁텁함이 있습니다. 자리는 좁지만 아늑해요
24.6.6.목,골뱅이무침 너무 맛있어요…👍 다음엔 탕도 먹을래요
24.1.9.화,포장해서 집에서 먹었는데 크..... 술안좋아하지만 먹다 튀어나가서 맥걸리를 집어오게 맹드는 맛이에요 대식가 혼자 먹기에 딱 좋은 양 그리고 사장님이 맛잘알인걸 알게만드는 조합 칭찬합니다
24.6.18.화,반응 남기기 방문일 24.6.18.화 2024년 6월 18일 화요일 2번째 방문 인증 수단 영수증
24.6.14.금,반응 남기기 방문일 24.6.14.금 2024년 6월 14일 금요일 3번째 방문 인증 수단 영수증
23.9.23.토,넘나 친절💓 맛에 분위기까지 더해져 더 맛! 다만 화장실이 무서움ㅇㅅㅇ
23.8.22.화,매운 철판낙지볶음이 땡긴다면 동네언니로ㅎ
23.9.8.금,골뱅이 전문점 맛나요
23.10.20.금,굿굿굿 👍 👍 👍 👍 👍
23.12.30.토,반응 남기기 방문일 23.12.30.토 2023년 12월 30일 토요일 1번째 방문 인증 수단 영수증
23.9.19.화,금호동 맛집인것같아요  굿굿굿
23.5.4.목,통골뱅이탕 완죤 션합니다 육전진쨔 마싯어요 골뱅이 팅글팅글 주먹밥까지 사랑스런 동네언니~~ㅎㅎㅎ
23.5.27.토,반응 남기기 방문일 23.5.27.토 2023년 5월 27일 토요일 1번째 방문 인증 수단 결제내역
23.5.27.토,골뱅이가 친절하고 사장님이 신선하고 맛있으셔요
23.4.5.수,육전 맛집이에요 파채에 싸 먹으면 맛있어요 골뱅이탕도 맛있지만 육전도 추천드려요 서비스로 국물도 주시고 비오는날 한잔 하기 좋은 술집입니다~~
22.12.22.목,이틀 연속 방문 ㅎ 첫날엔 골뱅이탕을 둘째날엔 골뱅이무침 세트를.. 다 맛있게 잘 먹었네요 골뱅이무침과 육전의 조화가 참 좋네요 앞으로 자주 방문하게 될듯하네요 흥하시길~
23.4.22.토,골뱅이탕 괜츈 문어숙회는 진심 보물 다락방 갬성이 좋아요
22.12.10.토,골뱅이를 다양하게 즐길수있는곳
22.12.27.화,무침은 양배추로 양을 채우고 그나마 탕이 국물이 깔끔 동네라 리뷰보고 갔는데 육전도 수입소고기인가 냄새 나서 안 먹음 전체적으로 실망 실망
22.12.17.토,반응 남기기 방문일 22.12.17.토 2022년 12월 17일 토요일 1번째 방문 인증 수단 영수증
22.9.6.화,먹다 찍어서 별로인데 골뱅이탕도 엄청 션하고 맛있어요~
22.10.15.토,애정하는 통골뱅이맛집 !
22.10.18.화,말 그대로 동네에서 한잔하기 좋은 곳입니다
23.1.25.수,반응 남기기 방문일 23.1.25.수 2023년 1월 25일 수요일 1번째 방문 인증 수단 영수증
22.8.19.금,반응 남기기 방문일 22.8.19.금 2022년 8월 19일 금요일 1번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 1번째 방문 인증 수단 영수증
22.6.18.토,반응 남기기 방문일 22.6.18.토 2022년 6월 18일 토요일 1번째 방문 인증 수단 영수증
21.12.9.목,"친구 따라 골뱅이집 갔다가~ 인생 골뱅이 먹게 되었네요~~👍 👍 👍 👍 매콤새콤 입맛이 확~~~~~~~~~~~~~살아나는 골뱅이 무침, 시원하고 깔끔한 골뱅이탕까지~~너무 맛있어서 벨트 풀고 먹었어요.ㅋㅋㅋㅋ사진 보니 또 침이 고이네요(먹느라 찍은 사진은 1장뿐^^;;) 위생상태도 너무 마음에 들어서 안심하고 먹을 수 있어서 좋았어요. 💕💕 강추강추"
21.11.26.금,모듬탕 국물은 간간한 편...소면사리 넣어 먹어도 맛있어요
22.1.14.금,반응 남기기 방문일 22.1.14.금 2022년 1월 14일 금요일 1번째 방문 인증 수단 영수증
21.11.26.금,한번 가봤으니 됐다
22.3.25.금,반응 남기기 방문일 22.3.25.금 2022년 3월 25일 금요일 1번째 방문 인증 수단 영수증
21.3.17.수,"사장님이 두 분이신 것 같았는데 짱 친절하셔요👍🥰👍🥰남자친구나 저나 금호역은 살면서 첨 가 본 곳인데ㅋㅋㅋ골뱅이 먹으러라도 또 금호역 와야겠다고 할 정도로 넘 맛있고 양도 많고 좋았어요!😢😢리뷰에 양이 적거나 가성비가 그저그렇다는 글들이 있는데 대식가인 저와 남자친구가 먹었을 땐 완전 배부르게 잘 먹었어요!! 2~3인용 골뱅이탕과 육전,셀프날치알주먹밥 먹었는데도요!!ㅋㅋㅋㅋ담엔 사리 넣어서 먹을거에요☺☺ 오래 영업해주세용 번창하세여❣❣#금호역맛집 #소주를부르는 #8090브금짱짱"
21.5.19.수,"골뱅이무침,계란말이,육전 다 맛있어요~ 사장님도 친절~! 찾아올 보람 있어요"
21.5.8.토,백골뱅이탕 너무 맛있네요~ 골뱅이무침도 짱 맛나요~ 강추!!~^♡^~
21.5.8.토,반응 남기기 방문일 21.5.8.토 2021년 5월 8일 토요일 1번째 방문 인증 수단 영수증
21.2.9.화,가성비는 좀 떨어지지만 맛있어요
21.2.22.월,맛나요 매장은 좀 작아요
20.10.6.화,"안 먹어본 사람은 있어도, 한번 맛본 사람은 없다. 금호동 옥수동 사람들 얼른 가봐여"
21.4.7.수,반응 남기기 방문일 21.4.7.수 2021년 4월 7일 수요일 1번째 방문 인증 수단 영수증
21.4.7.수,반응 남기기 방문일 21.4.7.수 2021년 4월 7일 수요일 1번째 방문 인증 수단 영수증
